Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_desc_sort,1.00,1.00,260.77,981.16,260.77,717.39,3.00,4.65,0.00,0.00
int_desc_sort,2.00,1.00,271.10,967.37,271.10,696.27,0.00,4.10,0.00,0.00
int_desc_sort,3.00,1.00,269.99,1013.98,269.99,743.99,0.00,4.10,0.00,0.00
int_desc_sort,4.00,1.00,269.00,910.02,269.00,641.02,0.00,4.10,0.00,0.00
int_desc_sort,5.00,1.00,276.00,934.97,276.00,658.97,0.00,4.03,0.00,0.00
int_desc_sort,6.00,1.00,274.00,890.02,273.00,615.02,2.00,5817.06,0.00,0.00
int_desc_sort,7.00,1.00,266.00,931.00,266.00,665.00,0.00,4.10,0.00,0.00
int_desc_sort,8.00,1.00,265.00,831.99,265.00,566.99,0.00,4.10,0.00,0.00
int_simple_filter,1.00,1.00,5052.22,5772.61,5052.22,717.39,3.00,0.22,0.00,0.00
int_simple_filter,2.00,1.00,5031.08,5727.35,5031.08,696.27,0.00,0.22,0.00,0.00
int_simple_filter,3.00,1.00,4937.02,5681.01,4937.02,743.99,0.00,0.23,0.00,0.00
int_simple_filter,4.00,1.00,4940.41,5581.43,4940.41,641.02,0.00,0.23,0.00,0.00
int_simple_filter,5.00,1.00,5021.78,5680.75,5021.78,658.97,0.00,0.22,0.00,0.00
int_simple_filter,6.00,1.00,5069.13,5685.15,5068.13,615.02,2.00,5813.46,0.00,0.00
int_simple_filter,7.00,1.00,4947.84,5612.84,4947.84,665.00,0.00,0.22,0.00,0.00
char_desc_sort,1.00,1.00,256.80,979.16,256.80,719.37,3.00,4.18,0.00,0.00
char_desc_sort,2.00,1.00,259.08,906.39,259.08,647.31,0.00,4.10,0.00,0.00
char_desc_sort,3.00,1.00,265.00,943.97,265.00,678.97,0.00,4.18,0.00,0.00
char_desc_sort,4.00,1.00,264.01,992.02,264.01,728.01,0.00,4.18,0.00,0.00
char_desc_sort,5.00,1.00,262.99,877.99,262.99,615.00,0.00,4.18,0.00,0.00
char_desc_sort,6.00,1.00,265.01,885.00,264.01,618.99,2.00,5923.05,0.00,0.00
char_desc_sort,7.00,1.00,259.99,830.02,259.99,570.03,0.00,4.18,0.00,0.00
char_desc_sort,8.00,1.00,263.00,1190.95,263.00,927.95,0.00,4.18,0.00,0.00
char_simple_filter,1.00,1.00,5057.03,5779.39,5057.03,719.37,3.00,0.22,0.00,0.00
char_simple_filter,2.00,1.00,5116.43,5763.74,5116.43,647.31,0.00,0.21,0.00,0.00
char_simple_filter,3.00,1.00,4964.09,5643.06,4964.09,678.97,0.00,0.22,0.00,0.00
char_simple_filter,4.00,1.00,4912.96,5640.97,4912.96,728.01,0.00,0.23,0.00,0.00
char_simple_filter,5.00,1.00,5050.13,5665.13,5050.13,615.00,0.00,0.22,0.00,0.00
char_simple_filter,6.00,1.00,5074.99,5694.98,5073.99,618.99,2.00,5919.09,0.00,0.00
char_simple_filter,7.00,1.00,5053.04,5623.07,5053.04,570.03,0.00,0.22,0.00,0.00
