Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_column_insert,1,1,0.00,720.39,0.00,717.39,3.00,0.00,0.00,0.00
int_column_insert,2,1,0.00,696.27,0.00,696.27,0.00,0.00,0.00,0.00
int_column_insert,3,1,0.00,743.99,0.00,743.99,0.00,0.00,0.00,0.00
int_column_insert,4,1,0.00,641.02,0.00,641.02,0.00,0.00,0.00,0.00
int_column_insert,5,1,0.00,658.97,0.00,658.97,0.00,0.00,0.00,0.00
int_column_insert,6,1,1.00,617.02,0.00,615.02,2.00,5813.24,0.00,0.00
int_column_insert,7,1,0.00,665.00,0.00,665.00,0.00,0.00,0.00,0.00
int_column_insert,8,1,0.00,566.99,0.00,566.99,0.00,0.00,0.00,0.00
int_column_insert,9,1,0.00,703.99,0.00,703.99,0.00,0.00,0.00,0.00
int_column_insert,10,1,0.00,696.01,0.00,696.01,0.00,0.00,0.00,0.00
int_column_insert,11,1,0.00,652.00,0.00,652.00,0.00,0.00,0.00,0.00
int_column_select_int_desc_sort,1,1,260.77,260.77,260.77,0.00,0.00,4.65,0.00,0.00
int_column_select_int_desc_sort,2,1,271.10,271.10,271.10,0.00,0.00,4.10,0.00,0.00
int_column_select_int_desc_sort,3,1,269.99,269.99,269.99,0.00,0.00,4.10,0.00,0.00
int_column_select_int_desc_sort,4,1,269.00,269.00,269.00,0.00,0.00,4.10,0.00,0.00
int_column_select_int_desc_sort,5,1,276.00,276.00,276.00,0.00,0.00,4.03,0.00,0.00
int_column_select_int_desc_sort,6,1,273.00,273.00,273.00,0.00,0.00,3.82,0.00,0.00
int_column_select_int_desc_sort,7,1,266.00,266.00,266.00,0.00,0.00,4.10,0.00,0.00
int_column_select_int_desc_sort,8,1,265.00,265.00,265.00,0.00,0.00,4.10,0.00,0.00
int_column_select_int_simple_filter,1,1,5052.22,5052.22,5052.22,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,2,1,5031.08,5031.08,5031.08,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,3,1,4937.02,4937.02,4937.02,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,4,1,4940.41,4940.41,4940.41,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,5,1,5021.78,5021.78,5021.78,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,6,1,5068.13,5068.13,5068.13,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,7,1,4947.84,4947.84,4947.84,0.00,0.00,0.22,0.00,0.00
char_column_insert,1,1,0.00,722.36,0.00,719.37,3.00,0.00,0.00,0.00
char_column_insert,2,1,0.00,647.31,0.00,647.31,0.00,0.00,0.00,0.00
char_column_insert,3,1,0.00,678.97,0.00,678.97,0.00,0.00,0.00,0.00
char_column_insert,4,1,0.00,728.01,0.00,728.01,0.00,0.00,0.00,0.00
char_column_insert,5,1,0.00,615.00,0.00,615.00,0.00,0.00,0.00,0.00
char_column_insert,6,1,1.00,620.99,0.00,618.99,2.00,5918.87,0.00,0.00
char_column_insert,7,1,0.00,570.03,0.00,570.03,0.00,0.00,0.00,0.00
char_column_insert,8,1,0.00,927.95,0.00,927.95,0.00,0.00,0.00,0.00
char_column_insert,9,1,0.00,1169.96,0.00,1169.96,0.00,0.00,0.00,0.00
char_column_insert,10,1,0.00,1165.04,0.00,1165.04,0.00,0.00,0.00,0.00
char_column_select_char_desc_sort,1,1,256.80,256.80,256.80,0.00,0.00,4.18,0.00,0.00
char_column_select_char_desc_sort,2,1,259.08,259.08,259.08,0.00,0.00,4.10,0.00,0.00
char_column_select_char_desc_sort,3,1,265.00,265.00,265.00,0.00,0.00,4.18,0.00,0.00
char_column_select_char_desc_sort,4,1,264.01,264.01,264.01,0.00,0.00,4.18,0.00,0.00
char_column_select_char_desc_sort,5,1,262.99,262.99,262.99,0.00,0.00,4.18,0.00,0.00
char_column_select_char_desc_sort,6,1,264.01,264.01,264.01,0.00,0.00,4.18,0.00,0.00
char_column_select_char_desc_sort,7,1,259.99,259.99,259.99,0.00,0.00,4.18,0.00,0.00
char_column_select_char_desc_sort,8,1,263.00,263.00,263.00,0.00,0.00,4.18,0.00,0.00
char_column_select_char_simple_filter,1,1,5057.03,5057.03,5057.03,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,2,1,5116.43,5116.43,5116.43,0.00,0.00,0.21,0.00,0.00
char_column_select_char_simple_filter,3,1,4964.09,4964.09,4964.09,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,4,1,4912.96,4912.96,4912.96,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,5,1,5050.13,5050.13,5050.13,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,6,1,5073.99,5073.99,5073.99,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,7,1,5053.04,5053.04,5053.04,0.00,0.00,0.22,0.00,0.00
