Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_column_insert,3,4,0.00,2859.18,0.00,713.80,2145.38,0.00,0.00,0.00
int_column_insert,6,4,1.33,2703.04,0.00,681.09,2021.94,5709.50,2.33,0.00
int_column_insert,9,4,0.00,2725.34,0.00,681.33,2044.00,0.00,0.00,0.00
int_column_insert,12,4,1.33,2409.31,0.00,601.99,1807.31,6247.39,0.00,0.00
int_column_insert,15,4,0.00,2350.01,0.00,589.00,1761.01,0.00,0.67,0.00
int_column_insert,18,4,0.00,2813.35,0.00,703.34,2110.02,0.00,0.00,0.00
int_column_insert,21,4,1.33,2659.59,0.00,690.98,1968.61,6247.39,4.00,0.00
int_column_insert,24,4,0.00,2637.40,0.00,659.35,1978.05,0.00,0.00,0.00
int_column_insert,27,4,1.33,2553.59,0.00,640.98,1912.61,6135.91,1.33,0.00
int_column_insert,30,4,0.00,2519.05,0.00,629.68,1889.37,0.00,0.00,0.00
int_column_insert,33,4,1.33,2618.29,0.00,674.99,1943.30,6247.39,3.33,0.00
int_column_insert,36,4,0.00,2889.33,0.00,722.33,2167.00,0.00,0.00,0.00
int_column_insert,39,4,1.33,2503.68,0.00,629.34,1874.34,5918.87,1.67,0.00
int_column_insert,42,4,0.00,2489.39,0.00,622.35,1867.04,0.00,0.00,0.00
int_column_insert,45,4,1.33,2987.54,0.00,750.64,2236.91,6360.91,1.67,0.00
int_column_insert,48,4,1.33,3117.29,0.00,778.99,2338.30,5124.81,0.00,0.00
int_column_insert,51,4,0.00,3217.90,0.00,807.31,2410.59,0.00,1.33,0.00
int_column_insert,54,4,1.33,3552.24,0.00,908.06,2644.18,4768.67,5.00,0.00
int_column_insert,57,4,0.00,3277.37,0.00,819.34,2458.03,0.00,0.00,0.00
int_column_insert,60,4,1.33,2587.66,0.00,654.33,1933.33,4943.53,2.67,0.00
int_column_insert,63,4,0.00,2670.64,0.00,667.66,2002.98,0.00,0.00,0.00
int_column_select_int_desc_sort,3,4,484.90,484.90,484.90,0.00,0.00,11.65,0.00,0.00
int_column_select_int_desc_sort,6,4,494.63,494.63,494.63,0.00,0.00,11.45,0.00,0.00
int_column_select_int_desc_sort,9,4,501.70,501.70,501.70,0.00,0.00,11.45,0.00,0.00
int_column_select_int_desc_sort,12,4,513.31,513.64,513.64,0.00,0.00,11.04,0.00,0.00
int_column_select_int_desc_sort,15,4,520.34,520.01,520.01,0.00,0.00,10.84,0.00,0.00
int_column_select_int_desc_sort,18,4,518.82,518.82,518.82,0.00,0.00,10.84,0.00,0.00
int_column_select_int_desc_sort,21,4,504.08,504.08,504.08,0.00,0.00,11.04,0.00,0.00
int_column_select_int_desc_sort,24,4,509.45,509.45,509.45,0.00,0.00,11.04,0.00,0.00
int_column_select_int_desc_sort,27,4,513.98,513.98,513.98,0.00,0.00,10.65,0.00,0.00
int_column_select_int_desc_sort,30,4,504.02,504.02,504.02,0.00,0.00,11.04,0.00,0.00
int_column_select_int_desc_sort,33,4,503.00,503.00,503.00,0.00,0.00,11.24,0.00,0.00
int_column_select_int_desc_sort,36,4,511.67,511.67,511.67,0.00,0.00,11.24,0.00,0.00
int_column_select_int_desc_sort,39,4,498.99,498.99,498.99,0.00,0.00,11.24,0.00,0.00
int_column_select_int_desc_sort,42,4,518.67,518.67,518.67,0.00,0.00,10.84,0.00,0.00
int_column_select_int_desc_sort,45,4,511.13,511.13,511.13,0.00,0.00,11.04,0.00,0.00
int_column_select_int_desc_sort,48,4,507.82,507.82,507.82,0.00,0.00,11.04,0.00,0.00
int_column_select_int_desc_sort,51,4,523.65,523.98,523.98,0.00,0.00,10.65,0.00,0.00
int_column_select_int_desc_sort,54,4,520.72,520.39,520.39,0.00,0.00,10.46,0.00,0.00
int_column_select_int_desc_sort,57,4,496.68,496.68,496.68,0.00,0.00,11.45,0.00,0.00
int_column_select_int_desc_sort,60,4,494.32,494.32,494.32,0.00,0.00,11.45,0.00,0.00
int_column_select_int_simple_filter,3,4,13169.94,13169.94,13169.94,0.00,0.00,0.45,0.00,0.00
int_column_select_int_simple_filter,6,4,13984.04,13984.04,13984.04,0.00,0.00,0.42,0.00,0.00
int_column_select_int_simple_filter,9,4,13951.53,13951.53,13951.53,0.00,0.00,0.43,0.00,0.00
int_column_select_int_simple_filter,12,4,13587.15,13587.15,13587.15,0.00,0.00,0.43,0.00,0.00
int_column_select_int_simple_filter,15,4,13075.27,13075.27,13075.27,0.00,0.00,0.45,0.00,0.00
int_column_select_int_simple_filter,18,4,13163.59,13163.59,13163.59,0.00,0.00,0.44,0.00,0.00
int_column_select_int_simple_filter,21,4,13217.41,13217.41,13217.41,0.00,0.00,0.44,0.00,0.00
int_column_select_int_simple_filter,24,4,13978.50,13978.50,13978.50,0.00,0.00,0.42,0.00,0.00
int_column_select_int_simple_filter,27,4,13875.76,13876.10,13876.10,0.00,0.00,0.42,0.00,0.00
int_column_select_int_simple_filter,30,4,13333.43,13333.10,13333.10,0.00,0.00,0.43,0.00,0.00
int_column_select_int_simple_filter,33,4,13227.70,13227.70,13227.70,0.00,0.00,0.44,0.00,0.00
int_column_select_int_simple_filter,36,4,13247.31,13247.31,13247.31,0.00,0.00,0.43,0.00,0.00
int_column_select_int_simple_filter,39,4,13167.14,13167.14,13167.14,0.00,0.00,0.44,0.00,0.00
int_column_select_int_simple_filter,42,4,13378.83,13378.83,13378.83,0.00,0.00,0.43,0.00,0.00
int_column_select_int_simple_filter,45,4,13275.66,13275.66,13275.66,0.00,0.00,0.43,0.00,0.00
int_column_select_int_simple_filter,48,4,13918.15,13918.15,13918.15,0.00,0.00,0.42,0.00,0.00
int_column_select_int_simple_filter,51,4,13162.53,13162.53,13162.53,0.00,0.00,0.42,0.00,0.00
int_column_select_int_simple_filter,54,4,13256.40,13256.40,13256.40,0.00,0.00,0.43,0.00,0.00
int_column_select_int_simple_filter,57,4,13192.66,13192.66,13192.66,0.00,0.00,0.44,0.00,0.00
int_column_select_int_simple_filter,60,4,13208.78,13208.78,13208.78,0.00,0.00,0.43,0.00,0.00
char_column_insert,3,4,0.00,2657.66,0.00,664.42,1993.25,0.00,0.00,0.00
char_column_insert,6,4,0.00,2276.49,0.00,569.12,1707.37,0.00,0.00,0.00
char_column_insert,9,4,1.33,2462.55,0.00,622.64,1839.91,6476.48,1.33,0.00
char_column_insert,12,4,1.33,3340.05,0.00,838.68,2501.37,5507.54,1.00,0.00
char_column_insert,15,4,0.00,2589.72,0.00,647.35,1942.38,0.00,0.00,0.00
char_column_insert,18,4,0.00,2480.02,0.00,620.00,1860.01,0.00,0.00,0.00
char_column_insert,21,4,1.33,2722.64,0.00,687.33,2035.32,6360.91,1.33,0.00
char_column_insert,24,4,0.00,2833.33,0.00,708.33,2125.00,0.00,0.00,0.00
