Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_desc_sort,1.00,1.00,260.78,1271.90,260.78,1008.13,3.00,4.10,0.00,0.00
int_desc_sort,2.00,1.00,263.08,1270.49,263.08,1007.41,0.00,4.33,0.00,0.00
int_desc_sort,3.00,1.00,271.00,1254.03,271.00,983.03,0.00,4.10,0.00,0.00
int_desc_sort,4.00,1.00,267.00,1259.00,267.00,992.00,0.00,4.25,0.00,0.00
int_desc_sort,5.00,1.00,271.00,1230.99,270.00,958.99,2.00,3986.89,0.00,0.00
int_desc_sort,6.00,1.00,268.00,1291.01,268.00,1023.01,0.00,4.10,0.00,0.00
int_desc_sort,7.00,1.00,269.00,1256.98,269.00,987.98,0.00,4.10,0.00,0.00
int_desc_sort,8.00,1.00,264.02,1283.04,264.02,1019.02,0.00,4.25,0.00,0.00
int_simple_filter,1.00,1.00,4875.52,5886.64,4875.52,1008.13,3.00,0.23,0.00,0.00
int_simple_filter,2.00,1.00,5076.22,6083.63,5076.22,1007.41,0.00,0.22,0.00,0.00
int_simple_filter,3.00,1.00,5014.96,5997.99,5014.96,983.03,0.00,0.22,0.00,0.00
int_simple_filter,4.00,1.00,5078.98,6070.98,5078.98,992.00,0.00,0.22,0.00,0.00
int_simple_filter,5.00,1.00,5064.15,6024.14,5063.15,958.99,2.00,3983.08,0.00,0.00
int_simple_filter,6.00,1.00,5060.97,6083.98,5060.97,1023.01,0.00,0.22,0.00,0.00
int_simple_filter,7.00,1.00,5066.61,6055.59,5067.61,987.98,0.00,0.22,0.00,0.00
char_desc_sort,1.00,1.00,254.78,1225.91,254.78,968.13,3.00,4.25,0.00,0.00
char_desc_sort,2.00,1.00,263.09,1225.53,263.09,962.44,0.00,4.18,0.00,0.00
char_desc_sort,3.00,1.00,255.00,1210.00,255.00,955.00,0.00,4.65,0.00,0.00
char_desc_sort,4.00,1.00,264.00,1281.97,264.00,1017.97,0.00,4.18,0.00,0.00
char_desc_sort,5.00,1.00,262.00,1242.01,261.00,979.01,2.00,4133.09,0.00,0.00
char_desc_sort,6.00,1.00,263.00,1261.02,263.00,998.02,0.00,4.18,0.00,0.00
char_desc_sort,7.00,1.00,251.00,1275.96,251.00,1024.96,0.00,4.74,0.00,0.00
char_desc_sort,8.00,1.00,259.99,1241.01,259.99,981.02,0.00,4.18,0.00,0.00
char_simple_filter,1.00,1.00,5039.65,6010.78,5039.65,968.13,3.00,0.22,0.00,0.00
char_simple_filter,2.00,1.00,5005.67,5968.11,5005.67,962.44,0.00,0.22,0.00,0.00
char_simple_filter,3.00,1.00,5111.52,6066.52,5111.52,955.00,0.00,0.22,0.00,0.00
char_simple_filter,4.00,1.00,4975.94,5993.91,4975.94,1017.97,0.00,0.23,0.00,0.00
char_simple_filter,5.00,1.00,5099.08,6079.09,5098.08,979.01,2.00,4129.13,0.00,0.00
char_simple_filter,6.00,1.00,5011.85,6009.87,5011.85,998.02,0.00,0.22,0.00,0.00
char_simple_filter,7.00,1.00,5007.63,6032.59,5007.63,1024.96,0.00,0.22,0.00,0.00
