Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_column_insert,1,1,0.00,1011.12,0.00,1008.13,3.00,0.00,0.00,0.00
int_column_insert,2,1,0.00,1007.41,0.00,1007.41,0.00,0.00,0.00,0.00
int_column_insert,3,1,0.00,983.03,0.00,983.03,0.00,0.00,0.00,0.00
int_column_insert,4,1,0.00,992.00,0.00,992.00,0.00,0.00,0.00,0.00
int_column_insert,5,1,1.00,960.99,0.00,958.99,2.00,3982.86,0.00,0.00
int_column_insert,6,1,0.00,1023.01,0.00,1023.01,0.00,0.00,0.00,0.00
int_column_insert,7,1,0.00,987.98,0.00,987.98,0.00,0.00,0.00,0.00
int_column_insert,8,1,0.00,1019.02,0.00,1019.02,0.00,0.00,0.00,0.00
int_column_select_int_desc_sort,1,1,260.78,260.78,260.78,0.00,0.00,4.10,0.00,0.00
int_column_select_int_desc_sort,2,1,263.08,263.08,263.08,0.00,0.00,4.33,0.00,0.00
int_column_select_int_desc_sort,3,1,271.00,271.00,271.00,0.00,0.00,4.10,0.00,0.00
int_column_select_int_desc_sort,4,1,267.00,267.00,267.00,0.00,0.00,4.25,0.00,0.00
int_column_select_int_desc_sort,5,1,270.00,270.00,270.00,0.00,0.00,4.03,0.00,0.00
int_column_select_int_desc_sort,6,1,268.00,268.00,268.00,0.00,0.00,4.10,0.00,0.00
int_column_select_int_desc_sort,7,1,269.00,269.00,269.00,0.00,0.00,4.10,0.00,0.00
int_column_select_int_desc_sort,8,1,264.02,264.02,264.02,0.00,0.00,4.25,0.00,0.00
int_column_select_int_simple_filter,1,1,4875.52,4875.52,4875.52,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,2,1,5076.22,5076.22,5076.22,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,3,1,5014.96,5014.96,5014.96,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,4,1,5078.98,5078.98,5078.98,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,5,1,5063.15,5063.15,5063.15,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,6,1,5060.97,5060.97,5060.97,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,7,1,5066.61,5067.61,5067.61,0.00,0.00,0.22,0.00,0.00
char_column_insert,1,1,0.00,971.13,0.00,968.13,3.00,0.00,0.00,0.00
char_column_insert,2,1,0.00,962.44,0.00,962.44,0.00,0.00,0.00,0.00
char_column_insert,3,1,0.00,955.00,0.00,955.00,0.00,0.00,0.00,0.00
char_column_insert,4,1,0.00,1017.97,0.00,1017.97,0.00,0.00,0.00,0.00
char_column_insert,5,1,1.00,981.01,0.00,979.01,2.00,4128.91,0.00,0.00
char_column_insert,6,1,0.00,998.02,0.00,998.02,0.00,0.00,0.00,0.00
char_column_insert,7,1,0.00,1024.96,0.00,1024.96,0.00,0.00,0.00,0.00
char_column_insert,8,1,0.00,981.02,0.00,981.02,0.00,0.00,0.00,0.00
char_column_select_char_desc_sort,1,1,254.78,254.78,254.78,0.00,0.00,4.25,0.00,0.00
char_column_select_char_desc_sort,2,1,263.09,263.09,263.09,0.00,0.00,4.18,0.00,0.00
char_column_select_char_desc_sort,3,1,255.00,255.00,255.00,0.00,0.00,4.65,0.00,0.00
char_column_select_char_desc_sort,4,1,264.00,264.00,264.00,0.00,0.00,4.18,0.00,0.00
char_column_select_char_desc_sort,5,1,261.00,261.00,261.00,0.00,0.00,4.18,0.00,0.00
char_column_select_char_desc_sort,6,1,263.00,263.00,263.00,0.00,0.00,4.18,0.00,0.00
char_column_select_char_desc_sort,7,1,251.00,251.00,251.00,0.00,0.00,4.74,0.00,0.00
char_column_select_char_desc_sort,8,1,259.99,259.99,259.99,0.00,0.00,4.18,0.00,0.00
char_column_select_char_simple_filter,1,1,5039.65,5039.65,5039.65,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,2,1,5005.67,5005.67,5005.67,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,3,1,5111.52,5111.52,5111.52,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,4,1,4975.94,4975.94,4975.94,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,5,1,5098.08,5098.08,5098.08,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,6,1,5011.85,5011.85,5011.85,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,7,1,5007.63,5007.63,5007.63,0.00,0.00,0.22,0.00,0.00
