Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_column_insert,1,1,0.00,1168.93,0.00,1165.94,3.00,0.00,0.00,0.00
int_column_insert,2,1,0.00,1183.45,0.00,1183.45,0.00,0.00,0.00,0.00
int_column_insert,3,1,0.00,1213.04,0.00,1213.04,0.00,0.00,0.00,0.00
int_column_insert,4,1,1.00,1193.02,0.00,1191.02,2.00,3326.55,0.00,0.00
int_column_insert,5,1,0.00,1264.95,0.00,1264.95,0.00,0.00,0.00,0.00
int_column_insert,6,1,0.00,1189.08,0.00,1189.08,0.00,0.00,0.00,0.00
int_column_insert,7,1,1.00,1147.96,0.00,1145.96,2.00,3326.55,0.00,0.00
int_column_insert,8,1,0.00,1225.96,0.00,1225.96,0.00,0.00,0.00,0.00
int_column_insert,9,1,0.00,1205.05,0.00,1205.05,0.00,0.00,0.00,0.00
int_column_select_int_desc_sort,1,1,257.77,257.77,257.77,0.00,0.00,5.67,0.00,0.00
int_column_select_int_desc_sort,2,1,264.10,264.10,264.10,0.00,0.00,4.18,0.00,0.00
int_column_select_int_desc_sort,3,1,262.00,262.00,262.00,0.00,0.00,4.18,0.00,0.00
int_column_select_int_desc_sort,4,1,258.99,258.99,258.99,0.00,0.00,4.18,0.00,0.00
int_column_select_int_desc_sort,5,1,261.00,261.00,261.00,0.00,0.00,4.65,0.00,0.00
int_column_select_int_desc_sort,6,1,261.00,261.00,261.00,0.00,0.00,4.25,0.00,0.00
int_column_select_int_desc_sort,7,1,261.00,261.00,261.00,0.00,0.00,4.10,0.00,0.00
int_column_select_int_desc_sort,8,1,259.00,259.00,259.00,0.00,0.00,4.25,0.00,0.00
int_column_select_int_simple_filter,1,1,4761.60,4761.60,4761.60,0.00,0.00,0.24,0.00,0.00
int_column_select_int_simple_filter,2,1,4910.96,4910.96,4910.96,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,3,1,4932.00,4932.00,4932.00,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,4,1,4940.05,4940.05,4940.05,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,5,1,4871.67,4871.67,4871.67,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,6,1,4933.32,4933.32,4933.32,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,7,1,4895.12,4895.12,4895.12,0.00,0.00,0.24,0.00,0.00
char_column_insert,1,1,0.00,1113.98,0.00,1110.98,3.00,0.00,0.00,0.00
char_column_insert,2,1,0.00,1097.44,0.00,1097.44,0.00,0.00,0.00,0.00
char_column_insert,3,1,0.00,1068.95,0.00,1068.95,0.00,0.00,0.00,0.00
char_column_insert,4,1,1.00,1026.99,0.00,1024.99,2.00,3706.08,0.00,0.00
char_column_insert,5,1,0.00,1108.01,0.00,1108.01,0.00,0.00,0.00,0.00
char_column_insert,6,1,0.00,1085.99,0.00,1085.99,0.00,0.00,0.00,0.00
char_column_insert,7,1,0.00,1118.01,0.00,1118.01,0.00,0.00,0.00,0.00
char_column_insert,8,1,1.00,1051.99,0.00,1049.99,2.00,3639.94,0.00,0.00
char_column_insert,9,1,0.00,1110.04,0.00,1110.04,0.00,0.00,0.00,0.00
char_column_insert,10,1,0.00,1160.94,0.00,1160.94,0.00,0.00,0.00,0.00
char_column_select_char_desc_sort,1,1,255.79,255.79,255.79,0.00,0.00,4.25,0.00,0.00
char_column_select_char_desc_sort,2,1,258.08,258.08,258.08,0.00,0.00,4.25,0.00,0.00
char_column_select_char_desc_sort,3,1,259.00,259.00,259.00,0.00,0.00,4.25,0.00,0.00
char_column_select_char_desc_sort,4,1,260.00,260.00,260.00,0.00,0.00,4.25,0.00,0.00
char_column_select_char_desc_sort,5,1,259.00,259.00,259.00,0.00,0.00,4.25,0.00,0.00
char_column_select_char_desc_sort,6,1,255.99,255.99,255.99,0.00,0.00,4.25,0.00,0.00
char_column_select_char_desc_sort,7,1,258.01,258.01,258.01,0.00,0.00,4.25,0.00,0.00
char_column_select_char_desc_sort,8,1,256.00,256.00,256.00,0.00,0.00,4.25,0.00,0.00
char_column_select_char_simple_filter,1,1,4875.41,4875.41,4875.41,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,2,1,5027.15,5027.15,5027.15,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,3,1,4922.15,4922.15,4922.15,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,4,1,4887.82,4887.82,4887.82,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,5,1,4933.01,4933.01,4933.01,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,6,1,4873.01,4873.01,4873.01,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,7,1,4938.02,4939.02,4939.02,0.00,0.00,0.23,0.00,0.00
