Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_desc_sort,1.00,1.00,267.79,884.26,267.79,613.48,3.00,4.10,0.00,0.00
int_desc_sort,2.00,1.00,267.08,777.29,267.08,510.21,0.00,4.10,0.00,0.00
int_desc_sort,3.00,1.00,268.99,742.98,268.99,473.99,0.00,4.10,0.00,0.00
int_desc_sort,4.00,1.00,233.01,735.01,233.01,502.00,0.00,4.91,0.00,0.00
int_desc_sort,5.00,1.00,224.99,726.95,224.99,501.96,0.00,4.82,0.00,0.00
int_desc_sort,6.00,1.00,269.02,741.02,269.02,472.00,0.00,3.82,0.00,0.00
int_desc_sort,7.00,1.00,270.98,778.03,270.98,507.05,0.00,4.03,0.00,0.00
int_desc_sort,8.00,1.00,270.00,759.99,269.00,488.99,2.00,7758.29,0.00,0.00
int_simple_filter,1.00,1.00,5077.37,5693.84,5077.37,613.48,3.00,0.22,0.00,0.00
int_simple_filter,2.00,1.00,5050.12,5560.33,5050.12,510.21,0.00,0.22,0.00,0.00
int_simple_filter,3.00,1.00,4994.07,5468.06,4994.07,473.99,0.00,0.23,0.00,0.00
int_simple_filter,4.00,1.00,5013.60,5515.60,5013.60,502.00,0.00,0.23,0.00,0.00
int_simple_filter,5.00,1.00,5032.39,5534.35,5032.39,501.96,0.00,0.22,0.00,0.00
int_simple_filter,6.00,1.00,4970.97,5442.97,4970.97,472.00,0.00,0.22,0.00,0.00
int_simple_filter,7.00,1.00,5008.59,5515.64,5008.59,507.05,0.00,0.23,0.00,0.00
char_desc_sort,1.00,1.00,260.80,653.45,260.80,389.65,3.00,4.18,0.00,0.00
char_desc_sort,2.00,1.00,261.06,692.23,261.06,431.17,0.00,4.18,0.00,0.00
char_desc_sort,3.00,1.00,259.00,654.02,259.00,395.02,0.00,4.18,0.00,0.00
char_desc_sort,4.00,1.00,260.00,692.00,260.00,432.00,0.00,4.18,0.00,0.00
char_desc_sort,5.00,1.00,262.00,749.98,262.00,487.98,0.00,4.18,0.00,0.00
char_desc_sort,6.00,1.00,264.00,708.00,264.00,444.00,0.00,3.96,0.00,0.00
char_desc_sort,7.00,1.00,261.00,729.02,261.00,468.02,0.00,4.18,0.00,0.00
char_desc_sort,8.00,1.00,266.01,689.00,266.01,422.99,0.00,4.18,0.00,0.00
char_simple_filter,1.00,1.00,5066.38,5459.03,5066.38,389.65,3.00,0.22,0.00,0.00
char_simple_filter,2.00,1.00,4983.10,5414.27,4983.10,431.17,0.00,0.23,0.00,0.00
char_simple_filter,3.00,1.00,4953.77,5348.79,4953.77,395.02,0.00,0.23,0.00,0.00
char_simple_filter,4.00,1.00,5017.84,5449.84,5017.84,432.00,0.00,0.23,0.00,0.00
char_simple_filter,5.00,1.00,4938.08,5426.06,4938.08,487.98,0.00,0.23,0.00,0.00
char_simple_filter,6.00,1.00,4987.44,5431.44,4987.44,444.00,0.00,0.23,0.00,0.00
char_simple_filter,7.00,1.00,4886.83,5354.85,4886.83,468.02,0.00,0.23,0.00,0.00
