Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_column_insert,1,1,0.00,616.47,0.00,613.48,3.00,0.00,0.00,0.00
int_column_insert,2,1,0.00,510.21,0.00,510.21,0.00,0.00,0.00,0.00
int_column_insert,3,1,0.00,473.99,0.00,473.99,0.00,0.00,0.00,0.00
int_column_insert,4,1,0.00,502.00,0.00,502.00,0.00,0.00,0.00,0.00
int_column_insert,5,1,0.00,501.96,0.00,501.96,0.00,0.00,0.00,0.00
int_column_insert,6,1,0.00,472.00,0.00,472.00,0.00,0.00,0.00,0.00
int_column_insert,7,1,0.00,507.05,0.00,507.05,0.00,0.00,0.00,0.00
int_column_insert,8,1,1.00,490.99,0.00,488.99,2.00,7754.26,0.00,0.00
int_column_insert,9,1,0.00,533.99,0.00,533.99,0.00,0.00,0.00,0.00
int_column_insert,10,1,0.00,522.01,0.00,522.01,0.00,0.00,0.00,0.00
int_column_insert,11,1,0.00,480.98,0.00,480.98,0.00,0.00,0.00,0.00
int_column_insert,12,1,0.00,525.03,0.00,525.03,0.00,0.00,0.00,0.00
int_column_insert,13,1,0.00,567.99,0.00,567.99,0.00,0.00,0.00,0.00
int_column_insert,14,1,0.00,462.98,0.00,462.98,0.00,0.00,0.00,0.00
int_column_insert,15,1,0.00,464.02,0.00,464.02,0.00,0.00,0.00,0.00
int_column_select_int_desc_sort,1,1,267.79,267.79,267.79,0.00,0.00,4.10,0.00,0.00
int_column_select_int_desc_sort,2,1,267.08,267.08,267.08,0.00,0.00,4.10,0.00,0.00
int_column_select_int_desc_sort,3,1,268.99,268.99,268.99,0.00,0.00,4.10,0.00,0.00
int_column_select_int_desc_sort,4,1,233.01,233.01,233.01,0.00,0.00,4.91,0.00,0.00
int_column_select_int_desc_sort,5,1,224.99,224.99,224.99,0.00,0.00,4.82,0.00,0.00
int_column_select_int_desc_sort,6,1,269.02,269.02,269.02,0.00,0.00,3.82,0.00,0.00
int_column_select_int_desc_sort,7,1,270.98,270.98,270.98,0.00,0.00,4.03,0.00,0.00
int_column_select_int_desc_sort,8,1,269.00,269.00,269.00,0.00,0.00,4.03,0.00,0.00
int_column_select_int_simple_filter,1,1,5077.37,5077.37,5077.37,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,2,1,5050.12,5050.12,5050.12,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,3,1,4994.07,4994.07,4994.07,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,4,1,5013.60,5013.60,5013.60,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,5,1,5032.39,5032.39,5032.39,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,6,1,4970.97,4970.97,4970.97,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,7,1,5008.59,5008.59,5008.59,0.00,0.00,0.23,0.00,0.00
char_column_insert,1,1,0.00,392.65,0.00,389.65,3.00,0.00,0.00,0.00
char_column_insert,2,1,0.00,431.17,0.00,431.17,0.00,0.00,0.00,0.00
char_column_insert,3,1,0.00,395.02,0.00,395.02,0.00,0.00,0.00,0.00
char_column_insert,4,1,0.00,432.00,0.00,432.00,0.00,0.00,0.00,0.00
char_column_insert,5,1,0.00,487.98,0.00,487.98,0.00,0.00,0.00,0.00
char_column_insert,6,1,0.00,444.00,0.00,444.00,0.00,0.00,0.00,0.00
char_column_insert,7,1,0.00,468.02,0.00,468.02,0.00,0.00,0.00,0.00
char_column_insert,8,1,0.00,422.99,0.00,422.99,0.00,0.00,0.00,0.00
char_column_insert,9,1,0.00,409.99,0.00,409.99,0.00,0.00,0.00,0.00
char_column_select_char_desc_sort,1,1,260.80,260.80,260.80,0.00,0.00,4.18,0.00,0.00
char_column_select_char_desc_sort,2,1,261.06,261.06,261.06,0.00,0.00,4.18,0.00,0.00
char_column_select_char_desc_sort,3,1,259.00,259.00,259.00,0.00,0.00,4.18,0.00,0.00
char_column_select_char_desc_sort,4,1,260.00,260.00,260.00,0.00,0.00,4.18,0.00,0.00
char_column_select_char_desc_sort,5,1,262.00,262.00,262.00,0.00,0.00,4.18,0.00,0.00
char_column_select_char_desc_sort,6,1,264.00,264.00,264.00,0.00,0.00,3.96,0.00,0.00
char_column_select_char_desc_sort,7,1,261.00,261.00,261.00,0.00,0.00,4.18,0.00,0.00
char_column_select_char_desc_sort,8,1,266.01,266.01,266.01,0.00,0.00,4.18,0.00,0.00
char_column_select_char_simple_filter,1,1,5066.38,5066.38,5066.38,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,2,1,4983.10,4983.10,4983.10,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,3,1,4953.77,4953.77,4953.77,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,4,1,5017.84,5017.84,5017.84,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,5,1,4938.08,4938.08,4938.08,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,6,1,4987.44,4987.44,4987.44,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,7,1,4886.83,4886.83,4886.83,0.00,0.00,0.23,0.00,0.00
