Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_column_insert,1,1,0.00,1248.85,0.00,1245.85,3.00,0.00,0.00,0.00
int_column_insert,2,1,0.00,1303.61,0.00,1303.61,0.00,0.00,0.00,0.00
int_column_insert,3,1,0.00,1272.95,0.00,1272.95,0.00,0.00,0.00,0.00
int_column_insert,4,1,1.00,1250.01,0.00,1248.01,2.00,3151.62,0.00,0.00
int_column_insert,5,1,0.00,1298.03,0.00,1298.03,0.00,0.00,0.00,0.00
int_column_insert,6,1,0.00,1294.93,0.00,1294.93,0.00,0.00,0.00,0.00
int_column_insert,7,1,1.00,1236.03,0.00,1234.03,2.00,3095.38,0.00,0.00
int_column_insert,8,1,0.00,1288.95,0.00,1288.95,0.00,0.00,0.00,0.00
int_column_insert,9,1,0.00,1275.06,0.00,1275.06,0.00,0.00,0.00,0.00
int_column_select_int_desc_sort,1,1,264.79,264.79,264.79,0.00,0.00,4.18,0.00,0.00
int_column_select_int_desc_sort,2,1,270.08,270.08,270.08,0.00,0.00,3.96,0.00,0.00
int_column_select_int_desc_sort,3,1,265.01,265.01,265.01,0.00,0.00,4.10,0.00,0.00
int_column_select_int_desc_sort,4,1,265.99,265.99,265.99,0.00,0.00,4.10,0.00,0.00
int_column_select_int_desc_sort,5,1,268.01,268.01,268.01,0.00,0.00,4.10,0.00,0.00
int_column_select_int_desc_sort,6,1,266.00,266.00,266.00,0.00,0.00,4.10,0.00,0.00
int_column_select_int_desc_sort,7,1,269.99,269.99,269.99,0.00,0.00,3.82,0.00,0.00
int_column_select_int_desc_sort,8,1,272.01,272.01,272.01,0.00,0.00,4.03,0.00,0.00
int_column_select_int_simple_filter,1,1,5015.20,5015.20,5015.20,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,2,1,5021.35,5021.35,5021.35,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,3,1,4987.04,4987.04,4987.04,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,4,1,4999.18,4999.18,4999.18,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,5,1,5046.57,5046.57,5046.57,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,6,1,4987.25,4987.25,4987.25,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,7,1,4952.05,4952.05,4952.05,0.00,0.00,0.23,0.00,0.00
char_column_insert,1,1,0.00,1256.63,0.00,1253.63,3.00,0.00,0.00,0.00
char_column_insert,2,1,0.00,1278.71,0.00,1278.71,0.00,0.00,0.00,0.00
char_column_insert,3,1,0.00,1246.94,0.00,1246.94,0.00,0.00,0.00,0.00
char_column_insert,4,1,1.00,1234.14,0.00,1232.14,2.00,3151.62,0.00,0.00
char_column_insert,5,1,0.00,1267.92,0.00,1267.92,0.00,0.00,0.00,0.00
char_column_insert,6,1,0.00,1269.04,0.00,1269.04,0.00,0.00,0.00,0.00
char_column_insert,7,1,1.00,1211.94,0.00,1209.94,2.00,3151.62,0.00,0.00
char_column_insert,8,1,0.00,1266.11,0.00,1266.11,0.00,0.00,0.00,0.00
char_column_insert,9,1,0.00,1239.96,0.00,1239.96,0.00,0.00,0.00,0.00
char_column_select_char_desc_sort,1,1,254.79,254.79,254.79,0.00,0.00,4.25,0.00,0.00
char_column_select_char_desc_sort,2,1,261.09,261.09,261.09,0.00,0.00,4.25,0.00,0.00
char_column_select_char_desc_sort,3,1,256.00,256.00,256.00,0.00,0.00,4.41,0.00,0.00
char_column_select_char_desc_sort,4,1,258.00,258.00,258.00,0.00,0.00,4.25,0.00,0.00
char_column_select_char_desc_sort,5,1,257.99,257.99,257.99,0.00,0.00,4.25,0.00,0.00
char_column_select_char_desc_sort,6,1,260.01,260.01,260.01,0.00,0.00,4.18,0.00,0.00
char_column_select_char_desc_sort,7,1,258.00,258.00,258.00,0.00,0.00,4.18,0.00,0.00
char_column_select_char_desc_sort,8,1,258.00,258.00,258.00,0.00,0.00,4.10,0.00,0.00
char_column_select_char_simple_filter,1,1,4903.87,4903.87,4903.87,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,2,1,4942.12,4942.12,4942.12,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,3,1,4930.63,4930.63,4930.63,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,4,1,5043.35,5043.35,5043.35,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,5,1,4913.99,4913.99,4913.99,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,6,1,4919.00,4919.00,4919.00,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,7,1,5049.03,5049.03,5049.03,0.00,0.00,0.21,0.00,0.00
char_column_select_char_simple_filter,8,1,4949.84,4949.84,4949.84,0.00,0.00,0.23,0.00,0.00
