Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_column_insert,1,1,0.00,1102.96,0.00,1099.97,3.00,0.00,0.00,0.00
int_column_insert,2,1,0.00,1075.44,0.00,1075.44,0.00,0.00,0.00,0.00
int_column_insert,3,1,0.00,1104.02,0.00,1104.02,0.00,0.00,0.00,0.00
int_column_insert,4,1,0.00,1137.02,0.00,1137.02,0.00,0.00,0.00,0.00
int_column_insert,5,1,1.00,1061.98,0.00,1059.98,2.00,4517.90,0.00,0.00
int_column_insert,6,1,0.00,1137.96,0.00,1137.96,0.00,0.00,0.00,0.00
int_column_insert,7,1,0.00,1138.02,0.00,1138.02,0.00,0.00,0.00,0.00
int_column_insert,8,1,0.00,1112.04,0.00,1112.04,0.00,0.00,0.00,0.00
int_column_select_int_desc_sort,1,1,212.82,212.82,212.82,0.00,0.00,5.09,0.00,0.00
int_column_select_int_desc_sort,2,1,215.07,215.07,215.07,0.00,0.00,5.00,0.00,0.00
int_column_select_int_desc_sort,3,1,186.00,186.00,186.00,0.00,0.00,5.99,0.00,0.00
int_column_select_int_desc_sort,4,1,183.99,183.99,183.99,0.00,0.00,5.99,0.00,0.00
int_column_select_int_desc_sort,5,1,213.01,214.01,214.01,0.00,0.00,5.57,0.00,0.00
int_column_select_int_desc_sort,6,1,212.00,211.00,211.00,0.00,0.00,5.18,0.00,0.00
int_column_select_int_desc_sort,7,1,221.00,221.00,221.00,0.00,0.00,4.74,0.00,0.00
int_column_select_int_desc_sort,8,1,217.00,217.00,217.00,0.00,0.00,5.00,0.00,0.00
int_column_select_int_simple_filter,1,1,4985.55,4985.55,4985.55,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,2,1,5041.13,5041.13,5041.13,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,3,1,4984.97,4984.97,4984.97,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,4,1,4892.99,4892.99,4892.99,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,5,1,5012.02,5012.02,5012.02,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,6,1,4945.12,4945.12,4945.12,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,7,1,4993.84,4993.84,4993.84,0.00,0.00,0.22,0.00,0.00
char_column_insert,1,1,0.00,1093.93,0.00,1090.94,3.00,0.00,0.00,0.00
char_column_insert,2,1,0.00,1048.49,0.00,1048.49,0.00,0.00,0.00,0.00
char_column_insert,3,1,0.00,1070.99,0.00,1070.99,0.00,0.00,0.00,0.00
char_column_insert,4,1,0.00,1148.00,0.00,1148.00,0.00,0.00,0.00,0.00
char_column_insert,5,1,1.00,1060.03,0.00,1058.03,2.00,4599.99,0.00,0.00
char_column_insert,6,1,0.00,1111.94,0.00,1111.94,0.00,0.00,0.00,0.00
char_column_insert,7,1,0.00,1134.00,0.00,1134.00,0.00,0.00,0.00,0.00
char_column_insert,8,1,0.00,1104.04,0.00,1104.04,0.00,0.00,0.00,0.00
char_column_insert,9,1,0.00,1103.97,0.00,1103.97,0.00,0.00,0.00,0.00
char_column_select_char_desc_sort,1,1,210.83,210.83,210.83,0.00,0.00,4.91,0.00,0.00
char_column_select_char_desc_sort,2,1,214.06,214.06,214.06,0.00,0.00,4.91,0.00,0.00
char_column_select_char_desc_sort,3,1,214.00,214.00,214.00,0.00,0.00,5.18,0.00,0.00
char_column_select_char_desc_sort,4,1,211.00,211.00,211.00,0.00,0.00,5.18,0.00,0.00
char_column_select_char_desc_sort,5,1,215.01,216.01,216.01,0.00,0.00,5.09,0.00,0.00
char_column_select_char_desc_sort,6,1,212.99,211.99,211.99,0.00,0.00,4.82,0.00,0.00
char_column_select_char_desc_sort,7,1,213.01,213.01,213.01,0.00,0.00,4.82,0.00,0.00
char_column_select_char_desc_sort,8,1,213.99,213.99,213.99,0.00,0.00,5.09,0.00,0.00
char_column_select_char_simple_filter,1,1,4989.34,4989.34,4989.34,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,2,1,5086.79,5086.79,5086.79,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,3,1,5030.35,5030.35,5030.35,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,4,1,4971.67,4971.67,4971.67,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,5,1,5014.37,5014.37,5014.37,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,6,1,4942.10,4942.10,4942.10,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,7,1,4872.90,4872.90,4872.90,0.00,0.00,0.23,0.00,0.00
