Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
int_desc_sort,1,1,211.83,1031.08,211.83,816.25,3.00,5.67,0.00,0.00,819.25
int_desc_sort,2,1,219.07,1019.39,219.07,800.32,0.00,5.09,0.00,0.00,800.32
int_desc_sort,3,1,211.00,1031.02,211.00,820.02,0.00,5.28,0.00,0.00,820.02
int_desc_sort,4,1,219.00,1009.00,219.00,790.00,0.00,5.09,0.00,0.00,790.00
int_desc_sort,5,1,219.00,1000.00,219.00,781.00,0.00,4.91,0.00,0.00,781.00
int_desc_sort,6,1,220.00,1006.00,220.00,786.00,0.00,5.00,0.00,0.00,786.00
int_desc_sort,7,1,221.00,1021.02,220.00,799.02,2.00,6252.30,0.00,0.00,801.02
int_desc_sort,8,1,208.01,1129.99,208.01,921.98,0.00,5.99,0.00,0.00,921.98
int_simple_filter,1,1,4777.58,5596.83,4777.58,816.25,3.00,0.23,0.00,0.00,819.25
int_simple_filter,2,1,5017.87,5818.19,5017.87,800.32,0.00,0.23,0.00,0.00,800.32
int_simple_filter,3,1,5051.77,5871.79,5051.77,820.02,0.00,0.22,0.00,0.00,820.02
int_simple_filter,4,1,5126.00,5916.00,5126.00,790.00,0.00,0.21,0.00,0.00,790.00
int_simple_filter,5,1,5089.12,5870.12,5089.12,781.00,0.00,0.22,0.00,0.00,781.00
int_simple_filter,6,1,5087.16,5873.16,5087.16,786.00,0.00,0.22,0.00,0.00,786.00
int_simple_filter,7,1,5102.02,5902.04,5101.02,799.02,2.00,6247.61,0.00,0.00,801.02
char_desc_sort,1,1,208.83,1196.92,208.83,985.09,3.00,5.18,0.00,0.00,988.09
char_desc_sort,2,1,211.07,1318.57,211.07,1107.50,0.00,5.77,0.00,0.00,1107.50
char_desc_sort,3,1,211.99,1077.01,211.99,865.02,0.00,4.82,0.00,0.00,865.02
char_desc_sort,4,1,217.01,1162.02,217.01,945.01,0.00,4.82,0.00,0.00,945.01
char_desc_sort,5,1,211.00,1048.01,211.00,837.01,0.00,5.09,0.00,0.00,837.01
char_desc_sort,6,1,214.00,975.98,213.00,760.98,2.00,5317.55,0.00,0.00,762.98
char_desc_sort,7,1,220.00,1155.01,220.00,935.01,0.00,4.74,0.00,0.00,935.01
char_desc_sort,8,1,216.00,1164.97,216.00,948.97,0.00,5.18,0.00,0.00,948.97
char_simple_filter,1,1,4943.41,5931.50,4943.41,985.09,3.00,0.23,0.00,0.00,988.09
char_simple_filter,2,1,4999.32,6106.82,4999.32,1107.50,0.00,0.22,0.00,0.00,1107.50
char_simple_filter,3,1,5028.09,5893.11,5028.09,865.02,0.00,0.22,0.00,0.00,865.02
char_simple_filter,4,1,4913.88,5858.89,4913.88,945.01,0.00,0.23,0.00,0.00,945.01
char_simple_filter,5,1,5053.65,5890.66,5053.65,837.01,0.00,0.22,0.00,0.00,837.01
char_simple_filter,6,1,5129.96,5891.94,5128.96,760.98,2.00,5312.94,0.00,0.00,762.98
char_simple_filter,7,1,5071.31,6006.32,5071.31,935.01,0.00,0.22,0.00,0.00,935.01
