Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_column_insert,1,1,0.00,819.25,0.00,816.25,3.00,0.00,0.00,0.00
int_column_insert,2,1,0.00,800.32,0.00,800.32,0.00,0.00,0.00,0.00
int_column_insert,3,1,0.00,820.02,0.00,820.02,0.00,0.00,0.00,0.00
int_column_insert,4,1,0.00,790.00,0.00,790.00,0.00,0.00,0.00,0.00
int_column_insert,5,1,0.00,781.00,0.00,781.00,0.00,0.00,0.00,0.00
int_column_insert,6,1,0.00,786.00,0.00,786.00,0.00,0.00,0.00,0.00
int_column_insert,7,1,1.00,801.02,0.00,799.02,2.00,6247.39,0.00,0.00
int_column_insert,8,1,0.00,921.98,0.00,921.98,0.00,0.00,0.00,0.00
int_column_insert,9,1,0.00,813.01,0.00,813.01,0.00,0.00,0.00,0.00
int_column_insert,10,1,0.00,822.98,0.00,822.98,0.00,0.00,0.00,0.00
int_column_insert,11,1,0.00,873.96,0.00,873.96,0.00,0.00,0.00,0.00
int_column_insert,12,1,0.00,934.02,0.00,934.02,0.00,0.00,0.00,0.00
int_column_select_int_desc_sort,1,1,211.83,211.83,211.83,0.00,0.00,5.67,0.00,0.00
int_column_select_int_desc_sort,2,1,219.07,219.07,219.07,0.00,0.00,5.09,0.00,0.00
int_column_select_int_desc_sort,3,1,211.00,211.00,211.00,0.00,0.00,5.28,0.00,0.00
int_column_select_int_desc_sort,4,1,219.00,219.00,219.00,0.00,0.00,5.09,0.00,0.00
int_column_select_int_desc_sort,5,1,219.00,219.00,219.00,0.00,0.00,4.91,0.00,0.00
int_column_select_int_desc_sort,6,1,220.00,220.00,220.00,0.00,0.00,5.00,0.00,0.00
int_column_select_int_desc_sort,7,1,220.00,220.00,220.00,0.00,0.00,4.91,0.00,0.00
int_column_select_int_desc_sort,8,1,208.01,208.01,208.01,0.00,0.00,5.99,0.00,0.00
int_column_select_int_simple_filter,1,1,4777.58,4777.58,4777.58,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,2,1,5017.87,5017.87,5017.87,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,3,1,5051.77,5051.77,5051.77,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,4,1,5126.00,5126.00,5126.00,0.00,0.00,0.21,0.00,0.00
int_column_select_int_simple_filter,5,1,5089.12,5089.12,5089.12,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,6,1,5087.16,5087.16,5087.16,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,7,1,5101.02,5101.02,5101.02,0.00,0.00,0.22,0.00,0.00
char_column_insert,1,1,0.00,988.09,0.00,985.09,3.00,0.00,0.00,0.00
char_column_insert,2,1,0.00,1107.50,0.00,1107.50,0.00,0.00,0.00,0.00
char_column_insert,3,1,0.00,865.02,0.00,865.02,0.00,0.00,0.00,0.00
char_column_insert,4,1,0.00,945.01,0.00,945.01,0.00,0.00,0.00,0.00
char_column_insert,5,1,0.00,837.01,0.00,837.01,0.00,0.00,0.00,0.00
char_column_insert,6,1,1.00,762.98,0.00,760.98,2.00,5312.73,0.00,0.00
char_column_insert,7,1,0.00,935.01,0.00,935.01,0.00,0.00,0.00,0.00
char_column_insert,8,1,0.00,948.97,0.00,948.97,0.00,0.00,0.00,0.00
char_column_insert,9,1,0.00,937.04,0.00,937.04,0.00,0.00,0.00,0.00
char_column_insert,10,1,0.00,876.99,0.00,876.99,0.00,0.00,0.00,0.00
char_column_select_char_desc_sort,1,1,208.83,208.83,208.83,0.00,0.00,5.18,0.00,0.00
char_column_select_char_desc_sort,2,1,211.07,211.07,211.07,0.00,0.00,5.77,0.00,0.00
char_column_select_char_desc_sort,3,1,211.99,211.99,211.99,0.00,0.00,4.82,0.00,0.00
char_column_select_char_desc_sort,4,1,217.01,217.01,217.01,0.00,0.00,4.82,0.00,0.00
char_column_select_char_desc_sort,5,1,211.00,211.00,211.00,0.00,0.00,5.09,0.00,0.00
char_column_select_char_desc_sort,6,1,213.00,213.00,213.00,0.00,0.00,4.82,0.00,0.00
char_column_select_char_desc_sort,7,1,220.00,220.00,220.00,0.00,0.00,4.74,0.00,0.00
char_column_select_char_desc_sort,8,1,216.00,216.00,216.00,0.00,0.00,5.18,0.00,0.00
char_column_select_char_simple_filter,1,1,4943.41,4943.41,4943.41,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,2,1,4999.32,4999.32,4999.32,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,3,1,5028.09,5028.09,5028.09,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,4,1,4913.88,4913.88,4913.88,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,5,1,5053.65,5053.65,5053.65,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,6,1,5128.96,5128.96,5128.96,0.00,0.00,0.21,0.00,0.00
char_column_select_char_simple_filter,7,1,5071.31,5071.31,5071.31,0.00,0.00,0.22,0.00,0.00
