Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
int_desc_sort,1,1,211.82,1365.70,211.82,1150.88,3.00,5.18,0.00,0.00,1153.88
int_desc_sort,2,1,219.08,1294.65,219.08,1075.57,0.00,5.00,0.00,0.00,1075.57
int_desc_sort,3,1,214.99,1296.94,214.99,1081.95,0.00,5.09,0.00,0.00,1081.95
int_desc_sort,4,1,219.01,1187.04,219.01,968.03,0.00,4.74,0.00,0.00,968.03
int_desc_sort,5,1,213.00,1016.00,212.00,802.00,2.00,4860.40,0.00,0.00,804.00
int_desc_sort,6,1,224.00,1128.96,224.00,904.96,0.00,4.82,0.00,0.00,904.96
int_desc_sort,7,1,217.00,935.03,217.00,718.03,0.00,5.09,0.00,0.00,718.03
int_desc_sort,8,1,218.00,871.00,218.00,653.00,0.00,4.74,0.00,0.00,653.00
int_simple_filter,1,1,4921.43,6075.31,4921.43,1150.88,3.00,0.22,0.00,0.00,1153.88
int_simple_filter,2,1,4690.43,5766.00,4690.43,1075.57,0.00,0.23,0.00,0.00,1075.57
int_simple_filter,3,1,5003.72,6085.67,5003.72,1081.95,0.00,0.22,0.00,0.00,1081.95
int_simple_filter,4,1,5019.07,5987.10,5019.07,968.03,0.00,0.22,0.00,0.00,968.03
int_simple_filter,5,1,5093.55,5896.55,5092.55,802.00,2.00,4855.53,0.00,0.00,804.00
int_simple_filter,6,1,5033.40,5938.36,5033.40,904.96,0.00,0.22,0.00,0.00,904.96
int_simple_filter,7,1,4964.84,5682.87,4964.84,718.03,0.00,0.23,0.00,0.00,718.03
char_desc_sort,1,1,208.83,876.24,208.83,664.41,3.00,5.09,0.00,0.00,667.41
char_desc_sort,2,1,211.06,917.35,211.06,706.29,0.00,5.37,0.00,0.00,706.29
char_desc_sort,3,1,211.00,988.01,211.00,777.01,0.00,4.91,0.00,0.00,777.01
char_desc_sort,4,1,210.99,1023.00,210.99,812.01,0.00,5.09,0.00,0.00,812.01
char_desc_sort,5,1,213.00,915.97,213.00,702.97,0.00,4.91,0.00,0.00,702.97
char_desc_sort,6,1,213.00,930.03,213.00,717.03,0.00,5.18,0.00,0.00,717.03
char_desc_sort,7,1,212.01,977.00,211.01,763.99,2.00,6840.87,0.00,0.00,765.99
char_desc_sort,8,1,215.00,976.00,215.00,761.00,0.00,5.09,0.00,0.00,761.00
char_simple_filter,1,1,4933.60,5601.01,4933.60,664.41,3.00,0.23,0.00,0.00,667.41
char_simple_filter,2,1,5030.01,5736.30,5030.01,706.29,0.00,0.22,0.00,0.00,706.29
char_simple_filter,3,1,5068.04,5845.05,5068.04,777.01,0.00,0.22,0.00,0.00,777.01
char_simple_filter,4,1,5106.96,5918.97,5106.96,812.01,0.00,0.22,0.00,0.00,812.01
char_simple_filter,5,1,4926.66,5629.63,4926.66,702.97,0.00,0.23,0.00,0.00,702.97
char_simple_filter,6,1,5029.32,5746.35,5029.32,717.03,0.00,0.22,0.00,0.00,717.03
char_simple_filter,7,1,5058.01,5823.00,5057.01,763.99,2.00,6836.18,0.00,0.00,765.99
