Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
int_desc_sort,1,1,211.84,941.25,211.84,726.41,3.00,5.09,0.00,0.00,729.41
int_desc_sort,2,1,220.05,1023.35,220.05,803.30,0.00,5.09,0.00,0.00,803.30
int_desc_sort,3,1,212.00,946.98,212.00,734.98,0.00,5.09,0.00,0.00,734.98
int_desc_sort,4,1,214.02,956.98,214.02,742.96,0.00,5.67,0.00,0.00,742.96
int_desc_sort,5,1,214.99,944.03,214.99,729.04,0.00,5.09,0.00,0.00,729.04
int_desc_sort,6,1,213.00,917.03,213.00,704.03,0.00,5.09,0.00,0.00,704.03
int_desc_sort,7,1,221.01,902.98,220.01,680.97,2.00,6718.97,0.00,0.00,682.97
int_desc_sort,8,1,216.99,1007.97,216.99,790.98,0.00,5.00,0.00,0.00,790.98
int_simple_filter,1,1,4852.63,5582.04,4852.63,726.41,3.00,0.23,0.00,0.00,729.41
int_simple_filter,2,1,4977.22,5780.52,4977.22,803.30,0.00,0.23,0.00,0.00,803.30
int_simple_filter,3,1,4978.95,5713.93,4978.95,734.98,0.00,0.23,0.00,0.00,734.98
int_simple_filter,4,1,4935.72,5678.68,4935.72,742.96,0.00,0.23,0.00,0.00,742.96
int_simple_filter,5,1,4883.26,5612.30,4883.26,729.04,0.00,0.23,0.00,0.00,729.04
int_simple_filter,6,1,4944.58,5648.61,4944.58,704.03,0.00,0.23,0.00,0.00,704.03
int_simple_filter,7,1,4971.02,5652.99,4970.02,680.97,2.00,6714.20,0.00,0.00,682.97
char_desc_sort,1,1,210.83,926.15,210.83,712.33,3.00,5.18,0.00,0.00,715.32
char_desc_sort,2,1,211.07,898.39,211.07,687.32,0.00,5.18,0.00,0.00,687.32
char_desc_sort,3,1,208.00,954.03,208.00,746.03,0.00,5.28,0.00,0.00,746.03
char_desc_sort,4,1,211.00,945.97,211.00,734.97,0.00,4.82,0.00,0.00,734.97
char_desc_sort,5,1,209.00,928.02,209.00,719.02,0.00,5.18,0.00,0.00,719.02
char_desc_sort,6,1,211.99,927.98,211.99,715.99,0.00,4.82,0.00,0.00,715.99
char_desc_sort,7,1,209.01,964.98,208.01,754.97,2.00,6841.14,0.00,0.00,756.97
char_desc_sort,8,1,208.99,917.02,208.99,708.03,0.00,5.18,0.00,0.00,708.03
char_simple_filter,1,1,4979.56,5694.88,4979.56,712.33,3.00,0.23,0.00,0.00,715.32
char_simple_filter,2,1,4979.80,5667.12,4979.80,687.32,0.00,0.23,0.00,0.00,687.32
char_simple_filter,3,1,4968.38,5714.41,4968.38,746.03,0.00,0.23,0.00,0.00,746.03
char_simple_filter,4,1,4993.50,5728.47,4993.50,734.97,0.00,0.23,0.00,0.00,734.97
char_simple_filter,5,1,4953.44,5672.46,4953.44,719.02,0.00,0.23,0.00,0.00,719.02
char_simple_filter,6,1,5009.51,5725.50,5009.51,715.99,0.00,0.23,0.00,0.00,715.99
char_simple_filter,7,1,4873.07,5629.04,4872.07,754.97,2.00,6836.19,0.00,0.00,756.97
