Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_column_insert,1,1,0.00,729.41,0.00,726.41,3.00,0.00,0.00,0.00
int_column_insert,2,1,0.00,803.30,0.00,803.30,0.00,0.00,0.00,0.00
int_column_insert,3,1,0.00,734.98,0.00,734.98,0.00,0.00,0.00,0.00
int_column_insert,4,1,0.00,742.96,0.00,742.96,0.00,0.00,0.00,0.00
int_column_insert,5,1,0.00,729.04,0.00,729.04,0.00,0.00,0.00,0.00
int_column_insert,6,1,0.00,704.03,0.00,704.03,0.00,0.00,0.00,0.00
int_column_insert,7,1,1.00,682.97,0.00,680.97,2.00,6713.97,0.00,0.00
int_column_insert,8,1,0.00,790.98,0.00,790.98,0.00,0.00,0.00,0.00
int_column_insert,9,1,0.00,781.00,0.00,781.00,0.00,0.00,0.00,0.00
int_column_insert,10,1,0.00,708.00,0.00,708.00,0.00,0.00,0.00,0.00
int_column_insert,11,1,0.00,715.02,0.00,715.02,0.00,0.00,0.00,0.00
int_column_insert,12,1,0.00,750.03,0.00,750.03,0.00,0.00,0.00,0.00
int_column_insert,13,1,0.00,752.93,0.00,752.93,0.00,0.00,0.00,0.00
int_column_select_int_desc_sort,1,1,211.84,211.84,211.84,0.00,0.00,5.09,0.00,0.00
int_column_select_int_desc_sort,2,1,220.05,220.05,220.05,0.00,0.00,5.09,0.00,0.00
int_column_select_int_desc_sort,3,1,212.00,212.00,212.00,0.00,0.00,5.09,0.00,0.00
int_column_select_int_desc_sort,4,1,214.02,214.02,214.02,0.00,0.00,5.67,0.00,0.00
int_column_select_int_desc_sort,5,1,214.99,214.99,214.99,0.00,0.00,5.09,0.00,0.00
int_column_select_int_desc_sort,6,1,213.00,213.00,213.00,0.00,0.00,5.09,0.00,0.00
int_column_select_int_desc_sort,7,1,220.01,220.01,220.01,0.00,0.00,5.00,0.00,0.00
int_column_select_int_desc_sort,8,1,216.99,216.99,216.99,0.00,0.00,5.00,0.00,0.00
int_column_select_int_simple_filter,1,1,4852.63,4852.63,4852.63,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,2,1,4977.22,4977.22,4977.22,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,3,1,4978.95,4978.95,4978.95,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,4,1,4935.72,4935.72,4935.72,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,5,1,4883.26,4883.26,4883.26,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,6,1,4944.58,4944.58,4944.58,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,7,1,4970.02,4970.02,4970.02,0.00,0.00,0.23,0.00,0.00
char_column_insert,1,1,0.00,715.32,0.00,712.33,3.00,0.00,0.00,0.00
char_column_insert,2,1,0.00,687.32,0.00,687.32,0.00,0.00,0.00,0.00
char_column_insert,3,1,0.00,746.03,0.00,746.03,0.00,0.00,0.00,0.00
char_column_insert,4,1,0.00,734.97,0.00,734.97,0.00,0.00,0.00,0.00
char_column_insert,5,1,0.00,719.02,0.00,719.02,0.00,0.00,0.00,0.00
char_column_insert,6,1,0.00,715.99,0.00,715.99,0.00,0.00,0.00,0.00
char_column_insert,7,1,1.00,756.97,0.00,754.97,2.00,6835.96,0.00,0.00
char_column_insert,8,1,0.00,708.03,0.00,708.03,0.00,0.00,0.00,0.00
char_column_insert,9,1,0.00,722.00,0.00,722.00,0.00,0.00,0.00,0.00
char_column_insert,10,1,0.00,730.00,0.00,730.00,0.00,0.00,0.00,0.00
char_column_insert,11,1,0.00,742.00,0.00,742.00,0.00,0.00,0.00,0.00
char_column_insert,12,1,0.00,814.96,0.00,814.96,0.00,0.00,0.00,0.00
char_column_insert,13,1,0.00,805.03,0.00,805.03,0.00,0.00,0.00,0.00
char_column_select_char_desc_sort,1,1,210.83,210.83,210.83,0.00,0.00,5.18,0.00,0.00
char_column_select_char_desc_sort,2,1,211.07,211.07,211.07,0.00,0.00,5.18,0.00,0.00
char_column_select_char_desc_sort,3,1,208.00,208.00,208.00,0.00,0.00,5.28,0.00,0.00
char_column_select_char_desc_sort,4,1,211.00,211.00,211.00,0.00,0.00,4.82,0.00,0.00
char_column_select_char_desc_sort,5,1,209.00,209.00,209.00,0.00,0.00,5.18,0.00,0.00
char_column_select_char_desc_sort,6,1,211.99,211.99,211.99,0.00,0.00,4.82,0.00,0.00
char_column_select_char_desc_sort,7,1,208.01,208.01,208.01,0.00,0.00,5.18,0.00,0.00
char_column_select_char_desc_sort,8,1,208.99,208.99,208.99,0.00,0.00,5.18,0.00,0.00
char_column_select_char_simple_filter,1,1,4979.56,4979.56,4979.56,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,2,1,4979.80,4979.80,4979.80,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,3,1,4968.38,4968.38,4968.38,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,4,1,4993.50,4993.50,4993.50,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,5,1,4953.44,4953.44,4953.44,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,6,1,5009.51,5009.51,5009.51,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,7,1,4872.07,4872.07,4872.07,0.00,0.00,0.23,0.00,0.00
