Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_column_insert,1,1,0.00,1235.77,0.00,1232.77,3.00,0.00,0.00,0.00
int_column_insert,2,1,0.00,1290.58,0.00,1290.58,0.00,0.00,0.00,0.00
int_column_insert,3,1,0.00,1241.99,0.00,1241.99,0.00,0.00,0.00,0.00
int_column_insert,4,1,1.00,1234.96,0.00,1233.96,1.00,3982.86,0.00,0.00
int_column_insert,5,1,0.00,1166.11,0.00,1165.11,1.00,0.00,0.00,0.00
int_column_insert,6,1,0.00,1262.99,0.00,1262.99,0.00,0.00,0.00,0.00
int_column_insert,7,1,0.00,1271.01,0.00,1271.01,0.00,0.00,0.00,0.00
int_column_insert,8,1,0.00,1282.01,0.00,1282.01,0.00,0.00,0.00,0.00
int_column_select_int_desc_sort,1,1,217.82,217.82,217.82,0.00,0.00,5.09,0.00,0.00
int_column_select_int_desc_sort,2,1,217.07,217.07,217.07,0.00,0.00,4.82,0.00,0.00
int_column_select_int_desc_sort,3,1,218.00,218.00,218.00,0.00,0.00,5.09,0.00,0.00
int_column_select_int_desc_sort,4,1,221.00,221.00,221.00,0.00,0.00,4.74,0.00,0.00
int_column_select_int_desc_sort,5,1,214.00,214.00,214.00,0.00,0.00,5.09,0.00,0.00
int_column_select_int_desc_sort,6,1,219.00,219.00,219.00,0.00,0.00,5.09,0.00,0.00
int_column_select_int_desc_sort,7,1,219.00,219.00,219.00,0.00,0.00,5.09,0.00,0.00
int_column_select_int_desc_sort,8,1,215.00,215.00,215.00,0.00,0.00,5.09,0.00,0.00
int_column_select_int_simple_filter,1,1,4988.42,4988.42,4988.42,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,2,1,5019.26,5019.26,5019.26,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,3,1,5030.66,5030.66,5030.66,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,4,1,5020.99,5020.99,5020.99,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,5,1,4991.20,4991.20,4991.20,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,6,1,5090.28,5090.28,5090.28,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,7,1,5023.88,5023.88,5023.88,0.00,0.00,0.22,0.00,0.00
char_column_insert,1,1,0.00,1251.82,0.00,1248.83,3.00,0.00,0.00,0.00
char_column_insert,2,1,0.00,1249.54,0.00,1249.54,0.00,0.00,0.00,0.00
char_column_insert,3,1,0.00,1178.08,0.00,1178.08,0.00,0.00,0.00,0.00
char_column_insert,4,1,0.00,1196.96,0.00,1196.96,0.00,0.00,0.00,0.00
char_column_insert,5,1,1.00,1239.04,0.00,1237.04,2.00,4128.91,0.00,0.00
char_column_insert,6,1,0.00,1271.95,0.00,1271.95,0.00,0.00,0.00,0.00
char_column_insert,7,1,0.00,1251.98,0.00,1251.98,0.00,0.00,0.00,0.00
char_column_insert,8,1,0.00,1260.98,0.00,1260.98,0.00,0.00,0.00,0.00
char_column_select_char_desc_sort,1,1,208.84,208.84,208.84,0.00,0.00,4.91,0.00,0.00
char_column_select_char_desc_sort,2,1,210.06,210.06,210.06,0.00,0.00,5.18,0.00,0.00
char_column_select_char_desc_sort,3,1,210.01,210.01,210.01,0.00,0.00,5.18,0.00,0.00
char_column_select_char_desc_sort,4,1,211.00,211.00,211.00,0.00,0.00,5.18,0.00,0.00
char_column_select_char_desc_sort,5,1,212.00,212.00,212.00,0.00,0.00,4.82,0.00,0.00
char_column_select_char_desc_sort,6,1,210.01,210.01,210.01,0.00,0.00,5.18,0.00,0.00
char_column_select_char_desc_sort,7,1,211.99,211.99,211.99,0.00,0.00,5.00,0.00,0.00
char_column_select_char_desc_sort,8,1,212.00,212.00,212.00,0.00,0.00,5.18,0.00,0.00
char_column_select_char_simple_filter,1,1,5000.52,5000.52,5000.52,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,2,1,4993.23,4993.23,4993.23,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,3,1,4989.80,4989.80,4989.80,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,4,1,4996.17,4996.17,4996.17,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,5,1,4989.97,4989.97,4989.97,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,6,1,5021.99,5021.99,5021.99,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,7,1,5027.93,5027.93,5027.93,0.00,0.00,0.22,0.00,0.00
