Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,1,1,0.00,934.14,0.00,930.14,4.00,0.00,0.00,0.00
int_queries_insert,2,1,0.00,838.38,0.00,838.38,0.00,0.00,0.00,0.00
int_queries_insert,3,1,0.00,871.02,0.00,871.02,0.00,0.00,0.00,0.00
int_queries_insert,4,1,0.00,913.01,0.00,913.01,0.00,0.00,0.00,0.00
int_queries_insert,5,1,0.00,919.94,0.00,919.94,0.00,0.00,0.00,0.00
int_queries_insert,6,1,0.00,786.98,0.00,786.98,0.00,0.00,0.00,0.00
int_queries_insert,7,1,0.00,819.04,0.00,819.04,0.00,0.00,0.00,0.00
int_queries_insert,8,1,0.00,891.00,0.00,891.00,0.00,0.00,0.00,0.00
int_queries_insert,9,1,0.00,858.98,0.00,858.98,0.00,0.00,0.00,0.00
int_queries_insert,10,1,0.00,718.03,0.00,718.03,0.00,0.00,0.00,0.00
int_queries_insert,11,1,0.00,759.97,0.00,759.97,0.00,0.00,0.00,0.00
int_queries_select,1,1,94.93,94.93,94.93,0.00,0.00,10.46,0.00,0.00
int_queries_select,2,1,95.02,95.02,95.02,0.00,0.00,10.46,0.00,0.00
int_queries_select,3,1,97.01,97.01,97.01,0.00,0.00,10.46,0.00,0.00
int_queries_select,4,1,95.99,95.99,95.99,0.00,0.00,10.65,0.00,0.00
int_queries_select,5,1,96.00,96.00,96.00,0.00,0.00,10.46,0.00,0.00
int_queries_select,6,1,97.01,97.01,97.01,0.00,0.00,10.46,0.00,0.00
int_queries_select,7,1,95.00,95.00,95.00,0.00,0.00,10.65,0.00,0.00
int_queries_select,8,1,96.00,96.00,96.00,0.00,0.00,10.65,0.00,0.00
varchar_queries_1_insert,1,1,0.00,868.23,0.00,864.23,4.00,0.00,0.00,0.00
varchar_queries_1_insert,2,1,0.00,942.39,0.00,942.39,0.00,0.00,0.00,0.00
varchar_queries_1_insert,3,1,0.00,873.99,0.00,873.99,0.00,0.00,0.00,0.00
varchar_queries_1_insert,4,1,0.00,831.00,0.00,831.00,0.00,0.00,0.00,0.00
varchar_queries_1_insert,5,1,0.00,861.00,0.00,861.00,0.00,0.00,0.00,0.00
varchar_queries_1_insert,6,1,0.00,876.99,0.00,876.99,0.00,0.00,0.00,0.00
varchar_queries_1_insert,7,1,0.00,809.03,0.00,809.03,0.00,0.00,0.00,0.00
varchar_queries_1_insert,8,1,0.00,884.99,0.00,884.99,0.00,0.00,0.00,0.00
varchar_queries_1_insert,9,1,0.00,943.01,0.00,943.01,0.00,0.00,0.00,0.00
varchar_queries_1_insert,10,1,0.00,959.00,0.00,959.00,0.00,0.00,0.00,0.00
varchar_queries_1_insert,11,1,0.00,884.97,0.00,884.97,0.00,0.00,0.00,0.00
varchar_queries_1_insert,12,1,0.00,1031.06,0.00,1031.06,0.00,0.00,0.00,0.00
varchar_queries_1_insert,13,1,0.00,962.00,0.00,962.00,0.00,0.00,0.00,0.00
