Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,1,1,0.00,753.36,0.00,749.37,4.00,0.00,0.00,0.00
int_queries_insert,2,1,0.00,797.32,0.00,797.32,0.00,0.00,0.00,0.00
int_queries_insert,3,1,0.00,843.00,0.00,843.00,0.00,0.00,0.00,0.00
int_queries_insert,4,1,1.00,1008.97,0.00,1006.97,2.00,3448.53,0.00,0.00
int_queries_insert,5,1,0.00,1025.06,0.00,1025.06,0.00,0.00,0.00,0.00
int_queries_insert,6,1,0.00,1054.98,0.00,1054.98,0.00,0.00,0.00,0.00
int_queries_insert,7,1,1.00,1024.90,0.00,1022.90,2.00,2680.11,0.00,0.00
int_queries_insert,8,1,0.00,940.10,0.00,940.10,0.00,0.00,0.00,0.00
int_queries_insert,9,1,0.00,871.96,0.00,871.96,0.00,0.00,0.00,0.00
int_queries_select,1,1,442.72,442.72,442.72,0.00,0.00,2.30,0.00,0.00
int_queries_select,2,1,447.09,447.09,447.09,0.00,0.00,2.26,0.00,0.00
int_queries_select,3,1,453.00,453.00,453.00,0.00,0.00,2.22,0.00,0.00
int_queries_select,4,1,450.99,450.99,450.99,0.00,0.00,2.22,0.00,0.00
int_queries_select,5,1,449.00,449.00,449.00,0.00,0.00,2.26,0.00,0.00
int_queries_select,6,1,449.00,449.00,449.00,0.00,0.00,2.26,0.00,0.00
int_queries_select,7,1,448.95,448.95,448.95,0.00,0.00,2.26,0.00,0.00
int_queries_select,8,1,449.05,449.05,449.05,0.00,0.00,2.26,0.00,0.00
varchar_queries_length_1_insert,1,1,0.00,792.32,0.00,788.32,4.00,0.00,0.00,0.00
varchar_queries_length_1_insert,2,1,0.00,810.32,0.00,810.32,0.00,0.00,0.00,0.00
varchar_queries_length_1_insert,3,1,0.00,779.01,0.00,779.01,0.00,0.00,0.00,0.00
varchar_queries_length_1_insert,4,1,1.00,736.99,0.00,734.99,2.00,3511.19,0.00,0.00
varchar_queries_length_1_insert,5,1,0.00,754.02,0.00,754.02,0.00,0.00,0.00,0.00
varchar_queries_length_1_insert,6,1,0.00,768.02,0.00,768.02,0.00,0.00,0.00,0.00
varchar_queries_length_1_insert,7,1,0.00,791.98,0.00,791.98,0.00,0.00,0.00,0.00
varchar_queries_length_1_insert,8,1,1.00,810.98,0.00,808.98,2.00,3639.94,0.00,0.00
varchar_queries_length_1_insert,9,1,0.00,812.06,0.00,812.06,0.00,0.00,0.00,0.00
varchar_queries_length_1_insert,10,1,0.00,815.96,0.00,815.96,0.00,0.00,0.00,0.00
varchar_queries_length_1_select,1,1,389.65,389.65,389.65,0.00,0.00,2.61,0.00,0.00
varchar_queries_length_1_select,2,1,394.15,394.15,394.15,0.00,0.00,2.57,0.00,0.00
varchar_queries_length_1_select,3,1,391.04,391.04,391.04,0.00,0.00,2.61,0.00,0.00
varchar_queries_length_1_select,4,1,393.95,393.95,393.95,0.00,0.00,2.61,0.00,0.00
varchar_queries_length_1_select,5,1,393.05,393.05,393.05,0.00,0.00,2.61,0.00,0.00
varchar_queries_length_1_select,6,1,392.96,392.96,392.96,0.00,0.00,2.61,0.00,0.00
varchar_queries_length_1_select,7,1,393.99,393.99,393.99,0.00,0.00,2.57,0.00,0.00
varchar_queries_length_1_select,8,1,395.03,395.03,395.03,0.00,0.00,2.57,0.00,0.00
varchar_queries_length_64_insert,1,1,0.00,942.11,0.00,938.12,4.00,0.00,0.00,0.00
varchar_queries_length_64_insert,2,1,0.00,983.45,0.00,983.45,0.00,0.00,0.00,0.00
varchar_queries_length_64_insert,3,1,1.00,965.01,0.00,963.01,2.00,2880.27,0.00,0.00
varchar_queries_length_64_insert,4,1,0.00,881.01,0.00,881.01,0.00,0.00,0.00,0.00
varchar_queries_length_64_insert,5,1,0.00,964.99,0.00,964.99,0.00,0.00,0.00,0.00
varchar_queries_length_64_insert,6,1,0.00,850.01,0.00,850.01,0.00,0.00,0.00,0.00
varchar_queries_length_64_insert,7,1,1.00,867.02,0.00,865.02,2.00,3151.62,0.00,0.00
varchar_queries_length_64_insert,8,1,0.00,906.00,0.00,906.00,0.00,0.00,0.00,0.00
varchar_queries_length_64_insert,9,1,0.00,898.96,0.00,898.96,0.00,0.00,0.00,0.00
varchar_queries_length_64_select,1,1,302.80,302.80,302.80,0.00,0.00,3.30,0.00,0.00
varchar_queries_length_64_select,2,1,305.06,305.06,305.06,0.00,0.00,3.30,0.00,0.00
varchar_queries_length_64_select,3,1,308.01,308.01,308.01,0.00,0.00,3.30,0.00,0.00
varchar_queries_length_64_select,4,1,307.00,307.00,307.00,0.00,0.00,3.30,0.00,0.00
varchar_queries_length_64_select,5,1,308.97,308.97,308.97,0.00,0.00,3.25,0.00,0.00
varchar_queries_length_64_select,6,1,307.01,307.01,307.01,0.00,0.00,3.30,0.00,0.00
varchar_queries_length_64_select,7,1,308.02,308.02,308.02,0.00,0.00,3.30,0.00,0.00
varchar_queries_length_64_select,8,1,308.98,308.98,308.98,0.00,0.00,3.30,0.00,0.00
