Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries,3.00,4.00,523.86,3325.67,523.86,699.12,2102.69,8.43,0.00,0.00
int_queries,6.00,4.00,542.04,3405.34,540.71,719.41,2145.22,3990.70,1.33,0.00
int_queries,9.00,4.00,531.33,3356.78,530.00,716.36,2110.42,3990.99,3.33,0.00
int_queries,12.00,4.00,540.00,3488.22,538.67,739.30,2210.24,3781.26,0.33,0.00
int_queries,15.00,4.00,540.33,3108.42,540.33,642.02,1926.07,7.84,0.00,0.00
int_queries,18.00,4.00,541.66,3164.31,540.33,657.33,1966.65,4445.11,0.00,0.00
int_queries,21.00,4.00,537.66,3348.67,536.33,707.00,2105.34,4063.21,1.33,0.00
int_queries,24.00,4.00,542.66,3882.87,541.33,839.30,2502.24,3519.03,1.33,0.00
int_queries,27.00,4.00,541.66,4061.11,540.33,883.36,2637.41,3159.46,0.67,0.00
int_queries,30.00,4.00,538.66,4197.32,538.66,914.66,2743.99,7.84,0.00,0.00
int_queries,33.00,4.00,539.33,4125.89,538.00,911.31,2676.59,3103.22,2.00,0.00
int_queries,36.00,4.00,539.33,3617.02,538.00,775.34,2303.68,3216.72,2.33,0.00
int_queries,39.00,4.00,541.66,3639.42,540.33,778.69,2320.40,3713.92,1.33,0.00
int_queries,42.00,4.00,540.33,3960.94,539.00,857.98,2563.95,3456.37,0.67,0.00
int_queries,45.00,4.00,544.99,3754.76,543.66,805.36,2405.74,3216.58,0.33,0.00
int_queries,48.00,4.00,541.66,3719.84,540.33,799.29,2380.22,3647.78,1.67,0.00
int_queries,51.00,4.00,539.66,3843.43,538.33,828.69,2476.41,3456.37,1.00,0.00
int_queries,54.00,4.00,537.33,3723.91,537.33,796.65,2389.94,7.84,0.00,0.00
int_queries,57.00,4.00,542.66,3937.12,541.33,851.36,2544.42,3519.03,1.00,0.00
int_queries,60.00,4.00,540.00,3785.65,538.67,815.00,2431.99,3394.83,1.33,0.00
varchar_queries_length_1,3.00,4.00,790.42,4267.85,790.42,868.02,2609.40,5.28,0.00,0.00
