Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,3,4,0.00,2801.81,0.00,699.12,2102.69,0.00,0.00,0.00
int_queries_insert,6,4,1.33,2864.63,0.00,719.41,2145.22,3982.86,1.33,0.00
int_queries_insert,9,4,1.33,2826.78,0.00,716.36,2110.42,3982.86,3.33,0.00
int_queries_insert,12,4,1.33,2949.55,0.00,739.30,2210.24,3773.42,0.33,0.00
int_queries_insert,15,4,0.00,2568.09,0.00,642.02,1926.07,0.00,0.00,0.00
int_queries_insert,18,4,1.33,2623.98,0.00,657.33,1966.65,4437.27,0.00,0.00
int_queries_insert,21,4,1.33,2812.34,0.00,707.00,2105.34,4055.23,1.33,0.00
int_queries_insert,24,4,1.33,3341.54,0.00,839.30,2502.24,3511.19,1.33,0.00
int_queries_insert,27,4,1.33,3520.78,0.00,883.36,2637.41,3151.62,0.67,0.00
int_queries_insert,30,4,0.00,3658.66,0.00,914.66,2743.99,0.00,0.00,0.00
int_queries_insert,33,4,1.33,3587.89,0.00,911.31,2676.59,3095.38,2.00,0.00
int_queries_insert,36,4,1.33,3079.02,0.00,775.34,2303.68,3208.88,2.33,0.00
int_queries_insert,39,4,1.33,3099.09,0.00,778.69,2320.40,3706.08,1.33,0.00
int_queries_insert,42,4,1.33,3421.94,0.00,857.98,2563.95,3448.53,0.67,0.00
int_queries_insert,45,4,1.33,3211.10,0.00,805.36,2405.74,3208.88,0.33,0.00
int_queries_insert,48,4,1.33,3179.51,0.00,799.29,2380.22,3639.94,1.67,0.00
int_queries_insert,51,4,1.33,3305.10,0.00,828.69,2476.41,3448.53,1.00,0.00
int_queries_insert,54,4,0.00,3186.58,0.00,796.65,2389.94,0.00,0.00,0.00
int_queries_insert,57,4,1.33,3395.79,0.00,851.36,2544.42,3511.19,1.00,0.00
int_queries_insert,60,4,1.33,3246.98,0.00,815.00,2431.99,3386.99,1.33,0.00
int_queries_select,3,4,523.86,523.86,523.86,0.00,0.00,8.43,0.00,0.00
int_queries_select,6,4,540.71,540.71,540.71,0.00,0.00,7.84,0.00,0.00
int_queries_select,9,4,530.00,530.00,530.00,0.00,0.00,8.13,0.00,0.00
int_queries_select,12,4,538.67,538.67,538.67,0.00,0.00,7.84,0.00,0.00
int_queries_select,15,4,540.33,540.33,540.33,0.00,0.00,7.84,0.00,0.00
int_queries_select,18,4,540.33,540.33,540.33,0.00,0.00,7.84,0.00,0.00
int_queries_select,21,4,536.33,536.33,536.33,0.00,0.00,7.98,0.00,0.00
int_queries_select,24,4,541.33,541.33,541.33,0.00,0.00,7.84,0.00,0.00
int_queries_select,27,4,540.33,540.33,540.33,0.00,0.00,7.84,0.00,0.00
int_queries_select,30,4,538.66,538.66,538.66,0.00,0.00,7.84,0.00,0.00
int_queries_select,33,4,538.00,538.00,538.00,0.00,0.00,7.84,0.00,0.00
int_queries_select,36,4,538.00,538.00,538.00,0.00,0.00,7.84,0.00,0.00
int_queries_select,39,4,540.33,540.33,540.33,0.00,0.00,7.84,0.00,0.00
int_queries_select,42,4,539.00,539.00,539.00,0.00,0.00,7.84,0.00,0.00
int_queries_select,45,4,543.66,543.66,543.66,0.00,0.00,7.70,0.00,0.00
int_queries_select,48,4,540.33,540.33,540.33,0.00,0.00,7.84,0.00,0.00
int_queries_select,51,4,538.33,538.33,538.33,0.00,0.00,7.84,0.00,0.00
int_queries_select,54,4,537.33,537.33,537.33,0.00,0.00,7.84,0.00,0.00
int_queries_select,57,4,541.33,541.33,541.33,0.00,0.00,7.84,0.00,0.00
int_queries_select,60,4,538.67,538.67,538.67,0.00,0.00,7.84,0.00,0.00
varchar_queries_length_1_insert,3,4,0.00,3477.43,0.00,868.02,2609.40,0.00,0.00,0.00
varchar_queries_length_1_insert,6,4,1.33,3959.66,0.00,1479.58,2480.08,3208.88,8.00,0.00
varchar_queries_length_1_insert,9,4,1.33,3309.09,0.00,1748.71,1560.38,5124.81,1.67,0.00
varchar_queries_length_1_insert,12,4,1.00,3284.90,0.00,2024.61,1260.30,5409.26,0.67,0.00
varchar_queries_length_1_insert,15,4,0.67,3778.45,0.00,2014.73,1763.72,3982.86,2.00,0.00
varchar_queries_length_1_insert,18,4,1.00,4266.36,0.00,1732.34,2534.02,4943.53,2.00,0.00
varchar_queries_length_1_insert,21,4,0.67,3891.81,0.00,1451.60,2440.22,3386.99,1.00,0.00
