Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries,1.00,1.00,450.65,1387.83,450.65,933.18,4.00,2.22,0.00,0.00
int_queries,2.00,1.00,453.16,1367.51,453.16,914.35,0.00,2.30,0.00,0.00
int_queries,3.00,1.00,454.97,1344.98,454.97,890.01,0.00,2.26,0.00,0.00
int_queries,4.00,1.00,455.98,1272.97,454.98,815.99,2.00,3097.60,0.00,0.00
int_queries,5.00,1.00,454.00,1306.98,454.00,852.98,0.00,2.22,0.00,0.00
int_queries,6.00,1.00,456.01,1235.06,456.01,779.05,0.00,2.26,0.00,0.00
int_queries,7.00,1.00,454.99,1251.95,453.99,795.96,2.00,3450.75,0.00,0.00
int_queries,8.00,1.00,455.00,1328.02,455.00,873.02,0.00,2.22,0.00,0.00
varchar_queries_length_1,1.00,1.00,394.63,1317.78,394.63,919.15,4.00,2.57,0.00,0.00
varchar_queries_length_1,2.00,1.00,400.16,1263.51,400.16,863.35,0.00,2.57,0.00,0.00
varchar_queries_length_1,3.00,1.00,399.02,1281.05,399.02,882.03,0.00,2.52,0.00,0.00
varchar_queries_length_1,4.00,1.00,401.01,1350.96,400.01,948.95,2.00,3154.19,0.00,0.00
varchar_queries_length_1,5.00,1.00,399.97,1432.04,399.97,1032.07,0.00,2.52,0.00,0.00
varchar_queries_length_1,6.00,1.00,403.04,1425.05,402.04,1021.01,2.00,2780.91,0.00,0.00
varchar_queries_length_1,7.00,1.00,399.95,1384.94,399.95,984.99,0.00,2.52,0.00,0.00
varchar_queries_length_1,8.00,1.00,402.05,1331.06,402.05,929.01,0.00,2.52,0.00,0.00
varchar_queries_length_64,1.00,1.00,308.80,1149.06,308.80,836.26,4.00,3.25,0.00,0.00
varchar_queries_length_64,2.00,1.00,312.07,1157.44,312.07,845.37,0.00,3.25,0.00,0.00
varchar_queries_length_64,3.00,1.00,308.00,1237.01,308.00,929.01,0.00,3.36,0.00,0.00
varchar_queries_length_64,4.00,1.00,313.00,1169.01,312.00,855.01,2.00,3212.13,0.00,0.00
varchar_queries_length_64,5.00,1.00,311.96,1147.97,311.96,836.01,0.00,3.25,0.00,0.00
varchar_queries_length_64,6.00,1.00,311.04,1170.03,311.04,858.99,0.00,3.25,0.00,0.00
varchar_queries_length_64,7.00,1.00,314.00,1112.99,313.00,797.99,2.00,3390.24,0.00,0.00
varchar_queries_length_64,8.00,1.00,312.96,1215.96,312.96,903.00,0.00,3.25,0.00,0.00
