Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,1,1,0.00,937.18,0.00,933.18,4.00,0.00,0.00,0.00
int_queries_insert,2,1,0.00,914.35,0.00,914.35,0.00,0.00,0.00,0.00
int_queries_insert,3,1,0.00,890.01,0.00,890.01,0.00,0.00,0.00,0.00
int_queries_insert,4,1,1.00,817.99,0.00,815.99,2.00,3095.38,0.00,0.00
int_queries_insert,5,1,0.00,852.98,0.00,852.98,0.00,0.00,0.00,0.00
int_queries_insert,6,1,0.00,779.05,0.00,779.05,0.00,0.00,0.00,0.00
int_queries_insert,7,1,1.00,797.96,0.00,795.96,2.00,3448.53,0.00,0.00
int_queries_insert,8,1,0.00,873.02,0.00,873.02,0.00,0.00,0.00,0.00
int_queries_insert,9,1,0.00,866.96,0.00,866.96,0.00,0.00,0.00,0.00
int_queries_select,1,1,450.65,450.65,450.65,0.00,0.00,2.22,0.00,0.00
int_queries_select,2,1,453.16,453.16,453.16,0.00,0.00,2.30,0.00,0.00
int_queries_select,3,1,454.97,454.97,454.97,0.00,0.00,2.26,0.00,0.00
int_queries_select,4,1,454.98,454.98,454.98,0.00,0.00,2.22,0.00,0.00
int_queries_select,5,1,454.00,454.00,454.00,0.00,0.00,2.22,0.00,0.00
int_queries_select,6,1,456.01,456.01,456.01,0.00,0.00,2.26,0.00,0.00
int_queries_select,7,1,453.99,453.99,453.99,0.00,0.00,2.22,0.00,0.00
int_queries_select,8,1,455.00,455.00,455.00,0.00,0.00,2.22,0.00,0.00
varchar_queries_length_1_insert,1,1,0.00,923.15,0.00,919.15,4.00,0.00,0.00,0.00
varchar_queries_length_1_insert,2,1,0.00,863.35,0.00,863.35,0.00,0.00,0.00,0.00
varchar_queries_length_1_insert,3,1,0.00,882.03,0.00,882.03,0.00,0.00,0.00,0.00
varchar_queries_length_1_insert,4,1,1.00,950.95,0.00,948.95,2.00,3151.62,0.00,0.00
varchar_queries_length_1_insert,5,1,0.00,1032.07,0.00,1032.07,0.00,0.00,0.00,0.00
varchar_queries_length_1_insert,6,1,1.00,1023.01,0.00,1021.01,2.00,2778.39,0.00,0.00
varchar_queries_length_1_insert,7,1,0.00,984.99,0.00,984.99,0.00,0.00,0.00,0.00
varchar_queries_length_1_insert,8,1,0.00,929.01,0.00,929.01,0.00,0.00,0.00,0.00
varchar_queries_length_1_select,1,1,394.63,394.63,394.63,0.00,0.00,2.57,0.00,0.00
varchar_queries_length_1_select,2,1,400.16,400.16,400.16,0.00,0.00,2.57,0.00,0.00
varchar_queries_length_1_select,3,1,399.02,399.02,399.02,0.00,0.00,2.52,0.00,0.00
varchar_queries_length_1_select,4,1,400.01,400.01,400.01,0.00,0.00,2.57,0.00,0.00
varchar_queries_length_1_select,5,1,399.97,399.97,399.97,0.00,0.00,2.52,0.00,0.00
varchar_queries_length_1_select,6,1,402.04,402.04,402.04,0.00,0.00,2.52,0.00,0.00
varchar_queries_length_1_select,7,1,399.95,399.95,399.95,0.00,0.00,2.52,0.00,0.00
varchar_queries_length_1_select,8,1,402.05,402.05,402.05,0.00,0.00,2.52,0.00,0.00
varchar_queries_length_64_insert,1,1,0.00,840.26,0.00,836.26,4.00,0.00,0.00,0.00
varchar_queries_length_64_insert,2,1,0.00,845.37,0.00,845.37,0.00,0.00,0.00,0.00
varchar_queries_length_64_insert,3,1,0.00,929.01,0.00,929.01,0.00,0.00,0.00,0.00
varchar_queries_length_64_insert,4,1,1.00,857.01,0.00,855.01,2.00,3208.88,0.00,0.00
varchar_queries_length_64_insert,5,1,0.00,836.01,0.00,836.01,0.00,0.00,0.00,0.00
varchar_queries_length_64_insert,6,1,0.00,858.99,0.00,858.99,0.00,0.00,0.00,0.00
varchar_queries_length_64_insert,7,1,1.00,799.99,0.00,797.99,2.00,3386.99,0.00,0.00
varchar_queries_length_64_insert,8,1,0.00,903.00,0.00,903.00,0.00,0.00,0.00,0.00
varchar_queries_length_64_insert,9,1,0.00,911.97,0.00,911.97,0.00,0.00,0.00,0.00
varchar_queries_length_64_select,1,1,308.80,308.80,308.80,0.00,0.00,3.25,0.00,0.00
varchar_queries_length_64_select,2,1,312.07,312.07,312.07,0.00,0.00,3.25,0.00,0.00
varchar_queries_length_64_select,3,1,308.00,308.00,308.00,0.00,0.00,3.36,0.00,0.00
varchar_queries_length_64_select,4,1,312.00,312.00,312.00,0.00,0.00,3.25,0.00,0.00
varchar_queries_length_64_select,5,1,311.96,311.96,311.96,0.00,0.00,3.25,0.00,0.00
varchar_queries_length_64_select,6,1,311.04,311.04,311.04,0.00,0.00,3.25,0.00,0.00
varchar_queries_length_64_select,7,1,313.00,313.00,313.00,0.00,0.00,3.25,0.00,0.00
varchar_queries_length_64_select,8,1,312.96,312.96,312.96,0.00,0.00,3.25,0.00,0.00
