Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
int_queries,1,1,452.65,1798.34,452.65,1341.70,4.00,2.22,0.00,0.00,1345.69
int_queries,2,1,455.11,1856.79,455.11,1401.68,0.00,2.22,0.00,0.00,1401.68
int_queries,3,1,461.04,1402.01,460.04,939.97,2.00,2047.96,0.00,0.00,941.97
int_queries,4,1,457.01,1451.10,457.01,994.09,0.00,2.22,0.00,0.00,994.09
int_queries,5,1,455.94,1669.90,454.94,1212.96,2.00,2731.03,0.00,0.00,1214.96
int_queries,6,1,456.05,1800.04,456.05,1343.99,0.00,2.22,0.00,0.00,1343.99
int_queries,7,1,457.96,1641.96,456.96,1183.00,2.00,2240.69,0.00,0.00,1185.00
int_queries,8,1,458.01,1802.95,458.01,1344.94,0.00,2.22,0.00,0.00,1344.94
varchar_queries_length_1,1,1,394.64,1767.20,394.64,1368.57,4.00,2.52,0.00,0.00,1372.56
varchar_queries_length_1,2,1,403.16,1783.87,403.16,1380.71,0.00,2.52,0.00,0.00,1380.71
varchar_queries_length_1,3,1,402.03,1741.03,401.03,1338.00,2.00,2048.26,0.00,0.00,1340.00
varchar_queries_length_1,4,1,398.99,1773.05,398.99,1374.06,0.00,2.52,0.00,0.00,1374.06
varchar_queries_length_1,5,1,400.00,1325.99,399.00,924.99,2.00,2085.43,0.00,0.00,926.99
varchar_queries_length_1,6,1,400.96,1339.98,400.96,939.02,0.00,2.52,0.00,0.00,939.02
varchar_queries_length_1,7,1,404.05,1511.03,403.05,1105.98,2.00,2882.79,0.00,0.00,1107.98
varchar_queries_length_1,8,1,401.95,1706.94,401.95,1304.99,0.00,2.52,0.00,0.00,1304.99
varchar_queries_length_64,1,1,307.72,1616.54,307.72,1304.83,4.00,3.30,0.00,0.00,1308.82
varchar_queries_length_64,2,1,310.14,1636.67,310.14,1326.53,0.00,3.30,0.00,0.00,1326.53
varchar_queries_length_64,3,1,311.00,1606.01,310.00,1294.01,2.00,2124.06,0.00,0.00,1296.01
varchar_queries_length_64,4,1,310.99,1245.99,310.99,935.00,0.00,3.25,0.00,0.00,935.00
varchar_queries_length_64,5,1,310.99,1279.97,309.99,967.98,2.00,2635.53,0.00,0.00,969.98
varchar_queries_length_64,6,1,314.01,1480.07,314.01,1166.06,0.00,3.25,0.00,0.00,1166.06
varchar_queries_length_64,7,1,314.00,1667.99,314.00,1353.99,0.00,3.25,0.00,0.00,1353.99
varchar_queries_length_64,8,1,312.03,1596.06,311.03,1283.03,2.00,2323.80,0.00,0.00,1285.03
