Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries,1.00,1.00,437.60,1152.97,437.60,711.38,4.00,2.35,0.00,0.00
int_queries,2.00,1.00,444.15,1201.42,444.15,757.27,0.00,2.30,0.00,0.00
int_queries,3.00,1.00,437.00,1191.00,437.00,754.00,0.00,2.43,0.00,0.00
int_queries,4.00,1.00,439.00,1126.06,438.00,686.06,2.00,3775.90,0.00,0.00
int_queries,5.00,1.00,438.00,1155.92,438.00,717.92,0.00,2.39,0.00,0.00
int_queries,6.00,1.00,441.99,1193.06,441.99,751.07,0.00,2.35,0.00,0.00
int_queries,7.00,1.00,442.00,1172.96,442.00,730.96,0.00,2.30,0.00,0.00
int_queries,8.00,1.00,442.00,1187.03,441.00,744.03,2.00,3844.28,0.00,0.00
varchar_queries_length_1,1.00,1.00,383.65,1068.03,383.65,680.38,4.00,2.66,0.00,0.00
varchar_queries_length_1,2.00,1.00,390.13,1113.46,390.13,723.33,0.00,2.61,0.00,0.00
varchar_queries_length_1,3.00,1.00,385.00,1072.00,385.00,687.00,0.00,2.71,0.00,0.00
varchar_queries_length_1,4.00,1.00,389.00,1086.01,389.00,697.01,0.00,2.61,0.00,0.00
varchar_queries_length_1,5.00,1.00,381.00,1072.97,380.00,690.97,2.00,3985.57,0.00,0.00
varchar_queries_length_1,6.00,1.00,390.00,1087.00,390.00,697.00,0.00,2.61,0.00,0.00
varchar_queries_length_1,7.00,1.00,387.99,1165.97,387.99,777.98,0.00,2.61,0.00,0.00
varchar_queries_length_1,8.00,1.00,392.00,1051.98,391.00,658.98,2.00,3914.40,0.00,0.00
varchar_queries_length_64,1.00,1.00,299.72,1154.94,299.72,851.23,4.00,3.43,0.00,0.00
varchar_queries_length_64,2.00,1.00,303.11,1064.41,303.11,761.30,0.00,3.36,0.00,0.00
varchar_queries_length_64,3.00,1.00,299.00,1069.03,299.00,770.03,0.00,3.49,0.00,0.00
varchar_queries_length_64,4.00,1.00,294.00,973.00,293.00,678.00,2.00,3579.17,0.00,0.00
varchar_queries_length_64,5.00,1.00,303.00,1196.01,303.00,893.01,0.00,3.49,0.00,0.00
varchar_queries_length_64,6.00,1.00,302.00,1042.99,302.00,740.99,0.00,3.49,0.00,0.00
varchar_queries_length_64,7.00,1.00,304.00,1021.02,304.00,717.02,0.00,3.30,0.00,0.00
varchar_queries_length_64,8.00,1.00,305.00,970.93,304.00,664.93,2.00,3643.30,0.00,0.00
