Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,1,1,0.00,715.37,0.00,711.38,4.00,0.00,0.00,0.00
int_queries_insert,2,1,0.00,757.27,0.00,757.27,0.00,0.00,0.00,0.00
int_queries_insert,3,1,0.00,754.00,0.00,754.00,0.00,0.00,0.00,0.00
int_queries_insert,4,1,1.00,688.06,0.00,686.06,2.00,3773.42,0.00,0.00
int_queries_insert,5,1,0.00,717.92,0.00,717.92,0.00,0.00,0.00,0.00
int_queries_insert,6,1,0.00,751.07,0.00,751.07,0.00,0.00,0.00,0.00
int_queries_insert,7,1,0.00,730.96,0.00,730.96,0.00,0.00,0.00,0.00
int_queries_insert,8,1,1.00,746.03,0.00,744.03,2.00,3841.98,0.00,0.00
int_queries_insert,9,1,0.00,711.98,0.00,711.98,0.00,0.00,0.00,0.00
int_queries_insert,10,1,0.00,727.02,0.00,727.02,0.00,0.00,0.00,0.00
int_queries_insert,11,1,0.00,714.95,0.00,714.95,0.00,0.00,0.00,0.00
int_queries_select,1,1,437.60,437.60,437.60,0.00,0.00,2.35,0.00,0.00
int_queries_select,2,1,444.15,444.15,444.15,0.00,0.00,2.30,0.00,0.00
int_queries_select,3,1,437.00,437.00,437.00,0.00,0.00,2.43,0.00,0.00
int_queries_select,4,1,438.00,438.00,438.00,0.00,0.00,2.48,0.00,0.00
int_queries_select,5,1,438.00,438.00,438.00,0.00,0.00,2.39,0.00,0.00
int_queries_select,6,1,441.99,441.99,441.99,0.00,0.00,2.35,0.00,0.00
int_queries_select,7,1,442.00,442.00,442.00,0.00,0.00,2.30,0.00,0.00
int_queries_select,8,1,441.00,441.00,441.00,0.00,0.00,2.30,0.00,0.00
varchar_queries_length_1_insert,1,1,0.00,684.38,0.00,680.38,4.00,0.00,0.00,0.00
varchar_queries_length_1_insert,2,1,0.00,723.33,0.00,723.33,0.00,0.00,0.00,0.00
varchar_queries_length_1_insert,3,1,0.00,687.00,0.00,687.00,0.00,0.00,0.00,0.00
varchar_queries_length_1_insert,4,1,0.00,697.01,0.00,697.01,0.00,0.00,0.00,0.00
varchar_queries_length_1_insert,5,1,1.00,692.97,0.00,690.97,2.00,3982.86,0.00,0.00
varchar_queries_length_1_insert,6,1,0.00,697.00,0.00,697.00,0.00,0.00,0.00,0.00
varchar_queries_length_1_insert,7,1,0.00,777.98,0.00,777.98,0.00,0.00,0.00,0.00
varchar_queries_length_1_insert,8,1,1.00,660.98,0.00,658.98,2.00,3911.79,0.00,0.00
varchar_queries_length_1_insert,9,1,0.00,684.01,0.00,684.01,0.00,0.00,0.00,0.00
varchar_queries_length_1_insert,10,1,0.00,738.04,0.00,738.04,0.00,0.00,0.00,0.00
varchar_queries_length_1_insert,11,1,0.00,747.03,0.00,747.03,0.00,0.00,0.00,0.00
varchar_queries_length_1_select,1,1,383.65,383.65,383.65,0.00,0.00,2.66,0.00,0.00
varchar_queries_length_1_select,2,1,390.13,390.13,390.13,0.00,0.00,2.61,0.00,0.00
varchar_queries_length_1_select,3,1,385.00,385.00,385.00,0.00,0.00,2.71,0.00,0.00
varchar_queries_length_1_select,4,1,389.00,389.00,389.00,0.00,0.00,2.61,0.00,0.00
varchar_queries_length_1_select,5,1,380.00,380.00,380.00,0.00,0.00,2.71,0.00,0.00
varchar_queries_length_1_select,6,1,390.00,390.00,390.00,0.00,0.00,2.61,0.00,0.00
varchar_queries_length_1_select,7,1,387.99,387.99,387.99,0.00,0.00,2.61,0.00,0.00
varchar_queries_length_1_select,8,1,391.00,391.00,391.00,0.00,0.00,2.61,0.00,0.00
varchar_queries_length_64_insert,1,1,0.00,855.22,0.00,851.23,4.00,0.00,0.00,0.00
varchar_queries_length_64_insert,2,1,0.00,761.30,0.00,761.30,0.00,0.00,0.00,0.00
varchar_queries_length_64_insert,3,1,0.00,770.03,0.00,770.03,0.00,0.00,0.00,0.00
varchar_queries_length_64_insert,4,1,1.00,680.00,0.00,678.00,2.00,3574.99,0.00,0.00
varchar_queries_length_64_insert,5,1,0.00,893.01,0.00,893.01,0.00,0.00,0.00,0.00
varchar_queries_length_64_insert,6,1,0.00,740.99,0.00,740.99,0.00,0.00,0.00,0.00
varchar_queries_length_64_insert,7,1,0.00,717.02,0.00,717.02,0.00,0.00,0.00,0.00
varchar_queries_length_64_insert,8,1,1.00,666.93,0.00,664.93,2.00,3639.94,0.00,0.00
varchar_queries_length_64_insert,9,1,0.00,725.09,0.00,725.09,0.00,0.00,0.00,0.00
varchar_queries_length_64_insert,10,1,0.00,681.95,0.00,681.95,0.00,0.00,0.00,0.00
varchar_queries_length_64_insert,11,1,0.00,696.97,0.00,696.97,0.00,0.00,0.00,0.00
varchar_queries_length_64_select,1,1,299.72,299.72,299.72,0.00,0.00,3.43,0.00,0.00
varchar_queries_length_64_select,2,1,303.11,303.11,303.11,0.00,0.00,3.36,0.00,0.00
varchar_queries_length_64_select,3,1,299.00,299.00,299.00,0.00,0.00,3.49,0.00,0.00
varchar_queries_length_64_select,4,1,293.00,293.00,293.00,0.00,0.00,4.18,0.00,0.00
varchar_queries_length_64_select,5,1,303.00,303.00,303.00,0.00,0.00,3.49,0.00,0.00
varchar_queries_length_64_select,6,1,302.00,302.00,302.00,0.00,0.00,3.49,0.00,0.00
varchar_queries_length_64_select,7,1,304.00,304.00,304.00,0.00,0.00,3.30,0.00,0.00
varchar_queries_length_64_select,8,1,304.00,304.00,304.00,0.00,0.00,3.36,0.00,0.00
