Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,1,1,0.00,576.50,0.00,572.50,4.00,0.00,0.00,0.00
int_queries_insert,2,1,0.00,648.27,0.00,648.27,0.00,0.00,0.00,0.00
int_queries_insert,3,1,0.00,656.00,0.00,656.00,0.00,0.00,0.00,0.00
int_queries_insert,4,1,0.00,894.97,0.00,894.97,0.00,0.00,0.00,0.00
int_queries_insert,5,1,0.00,1069.00,0.00,1069.00,0.00,0.00,0.00,0.00
int_queries_insert,6,1,0.00,1037.94,0.00,1037.94,0.00,0.00,0.00,0.00
int_queries_insert,7,1,1.00,991.05,0.00,989.05,2.00,6135.91,0.00,0.00
int_queries_insert,8,1,0.00,965.03,0.00,965.03,0.00,0.00,0.00,0.00
int_queries_insert,9,1,0.00,723.97,0.00,723.97,0.00,0.00,0.00,0.00
int_queries_insert,10,1,0.00,701.02,0.00,701.02,0.00,0.00,0.00,0.00
int_queries_insert,11,1,0.00,700.01,0.00,700.01,0.00,0.00,0.00,0.00
int_queries_insert,12,1,0.00,648.01,0.00,648.01,0.00,0.00,0.00,0.00
int_queries_select,1,1,271.81,271.81,271.81,0.00,0.00,3.68,0.00,0.00
int_queries_select,2,1,273.04,273.04,273.04,0.00,0.00,3.68,0.00,0.00
int_queries_select,3,1,271.00,271.00,271.00,0.00,0.00,3.75,0.00,0.00
int_queries_select,4,1,275.03,275.03,275.03,0.00,0.00,3.68,0.00,0.00
int_queries_select,5,1,273.97,273.97,273.97,0.00,0.00,3.68,0.00,0.00
int_queries_select,6,1,275.02,275.02,275.02,0.00,0.00,3.68,0.00,0.00
int_queries_select,7,1,273.98,273.98,273.98,0.00,0.00,3.68,0.00,0.00
int_queries_select,8,1,274.00,274.00,274.00,0.00,0.00,3.68,0.00,0.00
varchar_queries_1_insert,1,1,0.00,803.18,0.00,799.19,4.00,0.00,0.00,0.00
varchar_queries_1_insert,2,1,0.00,655.34,0.00,655.34,0.00,0.00,0.00,0.00
varchar_queries_1_insert,3,1,0.00,637.01,0.00,637.01,0.00,0.00,0.00,0.00
varchar_queries_1_insert,4,1,0.00,648.02,0.00,648.02,0.00,0.00,0.00,0.00
varchar_queries_1_insert,5,1,0.00,629.01,0.00,629.01,0.00,0.00,0.00,0.00
varchar_queries_1_insert,6,1,0.00,653.00,0.00,653.00,0.00,0.00,0.00,0.00
varchar_queries_1_insert,7,1,0.00,648.00,0.00,648.00,0.00,0.00,0.00,0.00
varchar_queries_1_insert,8,1,1.00,571.98,0.00,569.98,2.00,7479.98,0.00,0.00
varchar_queries_1_insert,9,1,0.00,630.99,0.00,630.99,0.00,0.00,0.00,0.00
varchar_queries_1_insert,10,1,0.00,629.01,0.00,629.01,0.00,0.00,0.00,0.00
varchar_queries_1_insert,11,1,0.00,640.02,0.00,640.02,0.00,0.00,0.00,0.00
varchar_queries_1_insert,12,1,0.00,658.99,0.00,658.99,0.00,0.00,0.00,0.00
varchar_queries_1_insert,13,1,0.00,645.97,0.00,645.97,0.00,0.00,0.00,0.00
varchar_queries_1_insert,14,1,0.00,609.03,0.00,609.03,0.00,0.00,0.00,0.00
varchar_queries_1_insert,15,1,0.00,696.00,0.00,696.00,0.00,0.00,0.00,0.00
varchar_queries_1_select,1,1,238.78,238.78,238.78,0.00,0.00,4.18,0.00,0.00
varchar_queries_1_select,2,1,241.12,241.12,241.12,0.00,0.00,4.33,0.00,0.00
varchar_queries_1_select,3,1,242.97,242.97,242.97,0.00,0.00,4.18,0.00,0.00
varchar_queries_1_select,4,1,243.00,243.00,243.00,0.00,0.00,4.18,0.00,0.00
varchar_queries_1_select,5,1,243.00,243.00,243.00,0.00,0.00,4.18,0.00,0.00
varchar_queries_1_select,6,1,242.03,242.03,242.03,0.00,0.00,4.18,0.00,0.00
varchar_queries_1_select,7,1,243.00,243.00,243.00,0.00,0.00,4.18,0.00,0.00
varchar_queries_1_select,8,1,242.00,242.00,242.00,0.00,0.00,4.18,0.00,0.00
varchar_queries_64_insert,1,1,0.00,602.40,0.00,598.40,4.00,0.00,0.00,0.00
varchar_queries_64_insert,2,1,0.00,618.35,0.00,618.35,0.00,0.00,0.00,0.00
varchar_queries_64_insert,3,1,0.00,644.99,0.00,644.99,0.00,0.00,0.00,0.00
varchar_queries_64_insert,4,1,0.00,761.98,0.00,761.98,0.00,0.00,0.00,0.00
varchar_queries_64_insert,5,1,0.00,767.99,0.00,767.99,0.00,0.00,0.00,0.00
varchar_queries_64_insert,6,1,0.00,713.99,0.00,713.99,0.00,0.00,0.00,0.00
varchar_queries_64_insert,7,1,0.00,707.03,0.00,707.03,0.00,0.00,0.00,0.00
varchar_queries_64_insert,8,1,1.00,651.99,0.00,649.99,2.00,7346.49,0.00,0.00
varchar_queries_64_insert,9,1,0.00,626.02,0.00,626.02,0.00,0.00,0.00,0.00
varchar_queries_64_insert,10,1,0.00,576.98,0.00,576.98,0.00,0.00,0.00,0.00
varchar_queries_64_insert,11,1,0.00,698.02,0.00,698.02,0.00,0.00,0.00,0.00
varchar_queries_64_insert,12,1,0.00,670.99,0.00,670.99,0.00,0.00,0.00,0.00
varchar_queries_64_insert,13,1,0.00,598.00,0.00,598.00,0.00,0.00,0.00,0.00
varchar_queries_64_insert,14,1,0.00,667.98,0.00,667.98,0.00,0.00,0.00,0.00
varchar_queries_64_insert,15,1,0.00,636.02,0.00,636.02,0.00,0.00,0.00,0.00
varchar_queries_64_select,1,1,189.82,189.82,189.82,0.00,0.00,5.28,0.00,0.00
varchar_queries_64_select,2,1,191.08,191.08,191.08,0.00,0.00,5.57,0.00,0.00
varchar_queries_64_select,3,1,191.00,191.00,191.00,0.00,0.00,5.37,0.00,0.00
varchar_queries_64_select,4,1,192.02,192.02,192.02,0.00,0.00,5.28,0.00,0.00
varchar_queries_64_select,5,1,192.99,192.99,192.99,0.00,0.00,5.28,0.00,0.00
varchar_queries_64_select,6,1,191.00,191.00,191.00,0.00,0.00,5.28,0.00,0.00
varchar_queries_64_select,7,1,192.01,192.01,192.01,0.00,0.00,5.28,0.00,0.00
varchar_queries_64_select,8,1,191.01,191.01,191.01,0.00,0.00,5.28,0.00,0.00
