Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,1,1,0.00,937.12,0.00,933.12,4.00,0.00,0.00,0.00
int_queries_insert,2,1,0.00,968.48,0.00,968.48,0.00,0.00,0.00,0.00
int_queries_insert,3,1,1.00,973.90,0.00,971.90,2.00,2880.27,0.00,0.00
int_queries_insert,4,1,0.00,967.03,0.00,967.03,0.00,0.00,0.00,0.00
int_queries_insert,5,1,0.00,996.96,0.00,996.96,0.00,0.00,0.00,0.00
int_queries_insert,6,1,1.00,901.03,0.00,899.03,2.00,2932.60,0.00,0.00
int_queries_insert,7,1,0.00,976.01,0.00,976.01,0.00,0.00,0.00,0.00
int_queries_insert,8,1,0.00,1002.01,0.00,1002.01,0.00,0.00,0.00,0.00
int_queries_select,1,1,451.69,451.69,451.69,0.00,0.00,2.22,0.00,0.00
int_queries_select,2,1,456.12,456.12,456.12,0.00,0.00,2.22,0.00,0.00
int_queries_select,3,1,456.01,456.01,456.01,0.00,0.00,2.22,0.00,0.00
int_queries_select,4,1,454.96,454.96,454.96,0.00,0.00,2.26,0.00,0.00
int_queries_select,5,1,453.98,453.98,453.98,0.00,0.00,2.22,0.00,0.00
int_queries_select,6,1,454.06,454.06,454.06,0.00,0.00,2.26,0.00,0.00
int_queries_select,7,1,455.00,455.00,455.00,0.00,0.00,2.26,0.00,0.00
varchar_queries_1_insert,1,1,0.00,1034.01,0.00,1030.02,4.00,0.00,0.00,0.00
varchar_queries_1_insert,2,1,0.00,982.49,0.00,982.49,0.00,0.00,0.00,0.00
varchar_queries_1_insert,3,1,1.00,930.97,0.00,928.97,2.00,2828.87,0.00,0.00
varchar_queries_1_insert,4,1,0.00,984.98,0.00,984.98,0.00,0.00,0.00,0.00
varchar_queries_1_insert,5,1,0.00,953.96,0.00,953.96,0.00,0.00,0.00,0.00
varchar_queries_1_insert,6,1,1.00,928.03,0.00,926.03,2.00,2932.60,0.00,0.00
varchar_queries_1_insert,7,1,0.00,995.02,0.00,995.02,0.00,0.00,0.00,0.00
varchar_queries_1_insert,8,1,0.00,989.98,0.00,989.98,0.00,0.00,0.00,0.00
varchar_queries_1_select,1,1,393.65,393.65,393.65,0.00,0.00,2.57,0.00,0.00
varchar_queries_1_select,2,1,399.19,399.19,399.19,0.00,0.00,2.57,0.00,0.00
varchar_queries_1_select,3,1,399.00,399.00,399.00,0.00,0.00,2.57,0.00,0.00
varchar_queries_1_select,4,1,398.95,398.95,398.95,0.00,0.00,2.52,0.00,0.00
varchar_queries_1_select,5,1,397.02,397.02,397.02,0.00,0.00,2.57,0.00,0.00
varchar_queries_1_select,6,1,400.98,400.98,400.98,0.00,0.00,2.57,0.00,0.00
varchar_queries_1_select,7,1,399.00,399.00,399.00,0.00,0.00,2.57,0.00,0.00
varchar_queries_1_select,8,1,401.99,401.99,401.99,0.00,0.00,2.52,0.00,0.00
varchar_queries_64_insert,1,1,0.00,924.17,0.00,920.17,4.00,0.00,0.00,0.00
varchar_queries_64_insert,2,1,0.00,927.39,0.00,927.39,0.00,0.00,0.00,0.00
varchar_queries_64_insert,3,1,1.00,954.01,0.00,953.01,1.00,2985.89,0.00,0.00
varchar_queries_64_insert,4,1,0.00,982.99,0.00,981.99,1.00,0.00,0.00,0.00
varchar_queries_64_insert,5,1,0.00,933.96,0.00,933.96,0.00,0.00,0.00,0.00
varchar_queries_64_insert,6,1,1.00,912.99,0.00,910.99,2.00,2932.60,0.00,0.00
varchar_queries_64_insert,7,1,0.00,972.05,0.00,972.05,0.00,0.00,0.00,0.00
varchar_queries_64_insert,8,1,0.00,977.02,0.00,977.02,0.00,0.00,0.00,0.00
varchar_queries_64_select,1,1,305.74,305.74,305.74,0.00,0.00,3.30,0.00,0.00
varchar_queries_64_select,2,1,313.10,313.10,313.10,0.00,0.00,3.25,0.00,0.00
varchar_queries_64_select,3,1,311.00,311.00,311.00,0.00,0.00,3.30,0.00,0.00
varchar_queries_64_select,4,1,310.00,310.00,310.00,0.00,0.00,3.30,0.00,0.00
varchar_queries_64_select,5,1,310.00,310.00,310.00,0.00,0.00,3.30,0.00,0.00
varchar_queries_64_select,6,1,306.99,306.99,306.99,0.00,0.00,3.30,0.00,0.00
varchar_queries_64_select,7,1,310.03,310.03,310.03,0.00,0.00,3.25,0.00,0.00
varchar_queries_64_select,8,1,312.99,312.99,312.99,0.00,0.00,3.25,0.00,0.00
