Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
int_queries,1,1,444.70,1215.99,444.70,767.30,4.00,2.26,0.00,0.00,771.29
int_queries,2,1,451.11,1267.49,451.11,816.38,0.00,2.26,0.00,0.00,816.38
int_queries,3,1,448.95,1414.96,448.95,966.01,0.00,2.26,0.00,0.00,966.01
int_queries,4,1,446.03,1224.01,445.03,776.98,2.00,3269.49,0.00,0.00,778.98
int_queries,5,1,451.00,1162.96,451.00,711.96,0.00,2.26,0.00,0.00,711.96
int_queries,6,1,451.02,1117.04,451.02,666.02,0.00,2.26,0.00,0.00,666.02
int_queries,7,1,452.00,1128.98,452.00,676.98,0.00,2.22,0.00,0.00,676.98
int_queries,8,1,445.95,1057.96,444.95,611.01,2.00,4057.49,0.00,0.00,613.01
varchar_queries_1,1,1,394.74,883.32,394.74,484.59,4.00,2.57,0.00,0.00,488.58
varchar_queries_1,2,1,399.08,1028.33,399.08,629.25,0.00,2.57,0.00,0.00,629.25
varchar_queries_1,3,1,401.97,1029.94,401.97,627.97,0.00,2.52,0.00,0.00,627.97
varchar_queries_1,4,1,397.03,1028.06,397.03,631.03,0.00,2.57,0.00,0.00,631.03
varchar_queries_1,5,1,399.97,1004.98,398.97,604.01,2.00,4686.14,0.00,0.00,606.01
varchar_queries_1,6,1,394.03,1012.98,394.03,618.95,0.00,2.52,0.00,0.00,618.95
varchar_queries_1,7,1,399.95,1052.97,399.95,653.02,0.00,2.61,0.00,0.00,653.02
varchar_queries_1,8,1,400.01,1064.02,400.01,664.01,0.00,2.52,0.00,0.00,664.01
varchar_queries_64,1,1,308.80,1007.11,308.80,694.31,4.00,3.30,0.00,0.00,698.31
varchar_queries_64,2,1,311.02,1130.41,311.02,819.39,0.00,3.25,0.00,0.00,819.39
varchar_queries_64,3,1,311.01,1413.02,311.01,1102.01,0.00,3.30,0.00,0.00,1102.01
varchar_queries_64,4,1,311.01,1283.03,310.01,971.02,2.00,3154.92,0.00,0.00,973.02
varchar_queries_64,5,1,313.02,1370.02,313.02,1057.00,0.00,3.25,0.00,0.00,1057.00
varchar_queries_64,6,1,314.97,1285.00,313.97,969.03,2.00,2781.64,0.00,0.00,971.03
varchar_queries_64,7,1,311.00,1057.00,311.00,746.00,0.00,3.25,0.00,0.00,746.00
varchar_queries_64,8,1,303.01,1135.01,303.01,832.00,0.00,3.36,0.00,0.00,832.00
