Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,1,1,0.00,854.19,0.00,850.20,4.00,0.00,0.00,0.00
int_queries_insert,2,1,0.00,767.35,0.00,767.35,0.00,0.00,0.00,0.00
int_queries_insert,3,1,0.00,810.01,0.00,810.01,0.00,0.00,0.00,0.00
int_queries_insert,4,1,0.00,753.97,0.00,753.97,0.00,0.00,0.00,0.00
int_queries_insert,5,1,1.00,743.02,0.00,741.02,2.00,4055.23,0.00,0.00
int_queries_insert,6,1,0.00,785.04,0.00,785.04,0.00,0.00,0.00,0.00
int_queries_insert,7,1,0.00,842.01,0.00,842.01,0.00,0.00,0.00,0.00
int_queries_insert,8,1,0.00,807.98,0.00,807.98,0.00,0.00,0.00,0.00
int_queries_select,1,1,402.64,402.64,402.64,0.00,0.00,2.48,0.00,0.00
int_queries_select,2,1,406.15,406.15,406.15,0.00,0.00,2.52,0.00,0.00
int_queries_select,3,1,406.02,406.02,406.02,0.00,0.00,2.52,0.00,0.00
int_queries_select,4,1,407.00,407.00,407.00,0.00,0.00,2.48,0.00,0.00
int_queries_select,5,1,408.02,408.02,408.02,0.00,0.00,2.48,0.00,0.00
int_queries_select,6,1,406.00,406.00,406.00,0.00,0.00,2.52,0.00,0.00
int_queries_select,7,1,406.00,406.00,406.00,0.00,0.00,2.52,0.00,0.00
int_queries_select,8,1,407.96,407.96,407.96,0.00,0.00,2.48,0.00,0.00
varchar_queries_1_insert,1,1,0.00,778.33,0.00,774.33,4.00,0.00,0.00,0.00
varchar_queries_1_insert,2,1,0.00,856.34,0.00,856.34,0.00,0.00,0.00,0.00
varchar_queries_1_insert,3,1,0.00,781.96,0.00,781.96,0.00,0.00,0.00,0.00
varchar_queries_1_insert,4,1,0.00,769.03,0.00,769.03,0.00,0.00,0.00,0.00
varchar_queries_1_insert,5,1,1.00,804.99,0.00,802.99,2.00,4055.23,0.00,0.00
varchar_queries_1_insert,6,1,0.00,867.03,0.00,867.03,0.00,0.00,0.00,0.00
varchar_queries_1_insert,7,1,0.00,801.00,0.00,801.00,0.00,0.00,0.00,0.00
varchar_queries_1_insert,8,1,1.00,764.92,0.00,762.92,2.00,3911.79,0.00,0.00
varchar_queries_1_insert,9,1,0.00,805.09,0.00,805.09,0.00,0.00,0.00,0.00
varchar_queries_1_insert,10,1,0.00,782.96,0.00,782.96,0.00,0.00,0.00,0.00
varchar_queries_1_insert,11,1,0.00,862.01,0.00,862.01,0.00,0.00,0.00,0.00
varchar_queries_1_select,1,1,341.74,341.74,341.74,0.00,0.00,2.91,0.00,0.00
varchar_queries_1_select,2,1,357.06,357.06,357.06,0.00,0.00,2.81,0.00,0.00
varchar_queries_1_select,3,1,356.00,356.00,356.00,0.00,0.00,2.86,0.00,0.00
varchar_queries_1_select,4,1,354.00,354.00,354.00,0.00,0.00,2.86,0.00,0.00
varchar_queries_1_select,5,1,356.04,356.04,356.04,0.00,0.00,2.86,0.00,0.00
varchar_queries_1_select,6,1,353.96,353.96,353.96,0.00,0.00,2.86,0.00,0.00
varchar_queries_1_select,7,1,357.05,357.05,357.05,0.00,0.00,2.86,0.00,0.00
varchar_queries_1_select,8,1,358.00,358.00,358.00,0.00,0.00,2.81,0.00,0.00
varchar_queries_64_insert,1,1,0.00,1030.02,0.00,1026.03,4.00,0.00,0.00,0.00
varchar_queries_64_insert,2,1,0.00,930.44,0.00,930.44,0.00,0.00,0.00,0.00
varchar_queries_64_insert,3,1,0.00,839.97,0.00,839.97,0.00,0.00,0.00,0.00
varchar_queries_64_insert,4,1,1.00,815.97,0.00,813.97,2.00,3448.53,0.00,0.00
varchar_queries_64_insert,5,1,0.00,887.04,0.00,887.04,0.00,0.00,0.00,0.00
varchar_queries_64_insert,6,1,0.00,840.04,0.00,840.04,0.00,0.00,0.00,0.00
varchar_queries_64_insert,7,1,0.00,827.00,0.00,827.00,0.00,0.00,0.00,0.00
varchar_queries_64_insert,8,1,1.00,767.97,0.00,765.97,2.00,3841.98,0.00,0.00
varchar_queries_64_insert,9,1,0.00,900.01,0.00,900.01,0.00,0.00,0.00,0.00
varchar_queries_64_insert,10,1,0.00,862.04,0.00,862.04,0.00,0.00,0.00,0.00
varchar_queries_64_insert,11,1,0.00,808.00,0.00,808.00,0.00,0.00,0.00,0.00
varchar_queries_64_select,1,1,274.80,274.80,274.80,0.00,0.00,3.62,0.00,0.00
varchar_queries_64_select,2,1,277.06,277.06,277.06,0.00,0.00,3.68,0.00,0.00
varchar_queries_64_select,3,1,274.00,274.00,274.00,0.00,0.00,3.75,0.00,0.00
varchar_queries_64_select,4,1,277.03,277.03,277.03,0.00,0.00,3.68,0.00,0.00
varchar_queries_64_select,5,1,276.97,276.97,276.97,0.00,0.00,3.68,0.00,0.00
varchar_queries_64_select,6,1,276.99,276.99,276.99,0.00,0.00,3.62,0.00,0.00
varchar_queries_64_select,7,1,277.00,277.00,277.00,0.00,0.00,3.62,0.00,0.00
varchar_queries_64_select,8,1,278.03,278.03,278.03,0.00,0.00,3.62,0.00,0.00
