Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
int_queries,2,4,78.96,3593.16,78.96,876.55,2637.65,53.85,0.00,0.00,3514.20
int_queries,4,4,82.02,3896.86,82.02,953.71,2861.13,50.11,0.00,0.00,3814.84
int_queries,6,4,80.50,4206.48,80.50,1031.49,3094.48,51.94,0.00,0.00,4125.98
int_queries,8,4,80.50,4208.49,80.50,1032.00,3095.99,52.89,0.00,0.00,4127.99
int_queries,10,4,82.00,3820.20,82.00,934.55,2803.65,51.02,0.00,0.00,3738.20
int_queries,12,4,79.50,3993.35,79.50,978.46,2935.39,52.89,0.00,0.00,3913.85
int_queries,14,4,81.50,3839.60,81.50,939.53,2818.58,51.94,0.00,0.00,3758.10
int_queries,16,4,81.50,3805.34,81.50,930.96,2792.88,51.94,0.00,0.00,3723.84
int_queries,18,4,81.00,3923.05,81.00,960.51,2881.53,52.89,0.00,0.00,3842.05
varchar_queries_1,2,4,119.94,3440.13,119.94,828.05,2492.14,36.89,0.00,0.00,3320.19
varchar_queries_1,4,4,125.02,3349.43,125.02,806.23,2418.18,32.53,0.00,0.00,3224.41
varchar_queries_1,6,4,123.00,3383.51,123.00,815.00,2445.51,34.95,0.00,0.00,3260.51
varchar_queries_1,8,4,125.00,3398.93,125.00,818.48,2455.45,33.12,0.00,0.00,3273.93
varchar_queries_1,10,4,124.00,3419.56,124.00,824.01,2471.54,32.53,0.00,0.00,3295.56
varchar_queries_1,12,4,125.00,3533.51,125.00,852.00,2556.51,32.53,0.00,0.00,3408.51
varchar_queries_1,14,4,125.00,3418.92,125.00,823.48,2470.44,32.53,0.00,0.00,3293.92
varchar_queries_1,16,4,123.00,3371.09,123.00,812.02,2436.07,32.53,0.00,0.00,3248.09
varchar_queries_1,18,4,125.00,3449.04,125.00,831.01,2493.03,32.53,0.00,0.00,3324.04
varchar_queries_64,2,4,103.45,3507.48,103.45,849.01,2555.02,40.37,0.00,0.00,3404.03
varchar_queries_64,4,4,103.52,3602.56,103.52,874.76,2624.28,38.94,0.00,0.00,3499.04
varchar_queries_64,6,4,105.00,3621.08,105.00,879.02,2637.06,39.65,0.00,0.00,3516.08
varchar_queries_64,8,4,105.00,3652.88,105.00,886.97,2660.91,38.25,0.00,0.00,3547.88
varchar_queries_64,10,4,104.50,3680.64,104.50,894.03,2682.10,38.25,0.00,0.00,3576.14
varchar_queries_64,12,4,105.50,3541.56,105.50,859.02,2577.05,38.25,0.00,0.00,3436.06
varchar_queries_64,14,4,104.50,3676.51,104.50,893.00,2679.01,38.25,0.00,0.00,3572.01
varchar_queries_64,16,4,104.50,3548.40,104.50,860.97,2582.92,38.25,0.00,0.00,3443.90
varchar_queries_64,18,4,105.00,3708.93,105.00,900.98,2702.95,38.25,0.00,0.00,3603.93
