Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
int_queries,2,4,74.96,3877.10,74.96,948.54,2853.60,57.87,0.00,0.00,3802.14
int_queries,4,4,78.52,3975.36,78.52,974.21,2922.63,53.85,0.00,0.00,3896.84
int_queries,6,4,80.50,3865.40,80.50,946.48,2838.43,52.89,0.00,0.00,3784.90
int_queries,8,4,78.00,3822.57,78.00,936.02,2808.55,54.83,0.00,0.00,3744.57
int_queries,10,4,79.00,3889.61,79.00,952.53,2858.08,55.82,0.00,0.00,3810.61
int_queries,12,4,83.00,3822.99,83.00,935.00,2804.99,49.21,0.00,0.00,3739.99
int_queries,14,4,79.00,3722.90,79.00,910.98,2732.93,55.82,0.00,0.00,3643.90
int_queries,16,4,81.00,3751.21,81.00,917.55,2752.66,51.02,0.00,0.00,3670.21
int_queries,18,4,78.50,3792.55,78.50,928.51,2785.54,54.83,0.00,0.00,3714.05
varchar_queries_1,2,4,122.44,3560.73,122.44,857.57,2580.71,33.12,0.00,0.00,3438.29
varchar_queries_1,4,4,125.52,3642.37,125.52,879.21,2637.64,33.12,0.00,0.00,3516.85
varchar_queries_1,6,4,125.00,3506.94,125.00,845.48,2536.45,32.53,0.00,0.00,3381.94
varchar_queries_1,8,4,123.50,3495.56,123.50,843.02,2529.05,32.53,0.00,0.00,3372.06
varchar_queries_1,10,4,124.00,3436.97,124.00,827.99,2484.98,33.72,0.00,0.00,3312.97
varchar_queries_1,12,4,121.50,3415.94,121.50,823.99,2470.46,34.95,0.00,0.00,3294.44
varchar_queries_1,14,4,125.50,3438.14,125.50,828.04,2484.61,32.53,0.00,0.00,3312.64
varchar_queries_1,16,4,124.00,3571.35,124.00,861.96,2585.39,32.53,0.00,0.00,3447.35
varchar_queries_1,18,4,121.00,3637.53,121.00,879.01,2637.53,42.61,0.00,0.00,3516.53
varchar_queries_64,2,4,103.45,3505.61,103.45,848.54,2553.62,39.65,0.00,0.00,3402.16
varchar_queries_64,4,4,103.52,3474.61,103.52,842.77,2528.32,40.37,0.00,0.00,3371.09
varchar_queries_64,6,4,105.50,3435.38,105.50,832.47,2497.41,38.25,0.00,0.00,3329.88
varchar_queries_64,8,4,105.50,3553.49,105.50,862.00,2585.99,38.25,0.00,0.00,3447.99
varchar_queries_64,10,4,103.00,3548.97,103.00,861.49,2584.48,40.37,0.00,0.00,3445.97
varchar_queries_64,12,4,103.50,3449.56,103.50,836.51,2509.54,41.85,0.00,0.00,3346.06
varchar_queries_64,14,4,105.00,3517.04,105.00,853.01,2559.03,38.25,0.00,0.00,3412.04
varchar_queries_64,16,4,106.00,3551.90,106.00,861.48,2584.43,38.25,0.00,0.00,3445.90
varchar_queries_64,18,4,105.00,3507.14,105.00,850.53,2551.60,38.25,0.00,0.00,3402.14
