Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,2,4,0.00,3802.14,0.00,948.54,2853.60,0.00,0.00,0.00
int_queries_insert,4,4,0.00,3896.84,0.00,974.21,2922.63,0.00,0.00,0.00
int_queries_insert,6,4,0.00,3784.90,0.00,946.48,2838.43,0.00,0.00,0.00
int_queries_insert,8,4,0.00,3744.57,0.00,936.02,2808.55,0.00,0.00,0.00
int_queries_insert,10,4,0.00,3810.61,0.00,952.53,2858.08,0.00,0.00,0.00
int_queries_insert,12,4,0.00,3739.99,0.00,935.00,2804.99,0.00,0.00,0.00
int_queries_insert,14,4,0.00,3643.90,0.00,910.98,2732.93,0.00,0.00,0.00
int_queries_insert,16,4,0.00,3670.21,0.00,917.55,2752.66,0.00,0.00,0.00
int_queries_insert,18,4,0.00,3714.05,0.00,928.51,2785.54,0.00,0.00,0.00
int_queries_insert,20,4,0.00,3693.72,0.00,923.43,2770.29,0.00,0.00,0.00
int_queries_insert,22,4,0.00,3720.14,0.00,930.03,2790.10,0.00,0.00,0.00
int_queries_select,2,4,74.96,74.96,74.96,0.00,0.00,57.87,0.00,0.00
int_queries_select,4,4,78.52,78.52,78.52,0.00,0.00,53.85,0.00,0.00
int_queries_select,6,4,80.50,80.50,80.50,0.00,0.00,52.89,0.00,0.00
int_queries_select,8,4,78.00,78.00,78.00,0.00,0.00,54.83,0.00,0.00
int_queries_select,10,4,79.00,79.00,79.00,0.00,0.00,55.82,0.00,0.00
int_queries_select,12,4,83.00,83.00,83.00,0.00,0.00,49.21,0.00,0.00
int_queries_select,14,4,79.00,79.00,79.00,0.00,0.00,55.82,0.00,0.00
int_queries_select,16,4,81.00,81.00,81.00,0.00,0.00,51.02,0.00,0.00
int_queries_select,18,4,78.50,78.50,78.50,0.00,0.00,54.83,0.00,0.00
varchar_queries_1_insert,2,4,0.00,3438.29,0.00,857.57,2580.71,0.00,0.00,0.00
varchar_queries_1_insert,4,4,0.00,3516.85,0.00,879.21,2637.64,0.00,0.00,0.00
varchar_queries_1_insert,6,4,0.00,3381.94,0.00,845.48,2536.45,0.00,0.00,0.00
varchar_queries_1_insert,8,4,0.00,3372.06,0.00,843.02,2529.05,0.00,0.00,0.00
varchar_queries_1_insert,10,4,0.00,3312.97,0.00,827.99,2484.98,0.00,0.00,0.00
varchar_queries_1_insert,12,4,0.00,3294.44,0.00,823.99,2470.46,0.00,0.00,0.00
varchar_queries_1_insert,14,4,0.00,3312.64,0.00,828.04,2484.61,0.00,0.00,0.00
varchar_queries_1_insert,16,4,0.00,3447.35,0.00,861.96,2585.39,0.00,0.00,0.00
varchar_queries_1_insert,18,4,0.00,3516.53,0.00,879.01,2637.53,0.00,0.00,0.00
varchar_queries_1_insert,20,4,0.00,3512.50,0.00,878.50,2634.00,0.00,0.00,0.00
varchar_queries_1_insert,22,4,0.00,3445.48,0.00,861.00,2584.49,0.00,0.00,0.00
varchar_queries_1_insert,24,4,0.00,3433.96,0.00,858.49,2575.47,0.00,0.00,0.00
varchar_queries_1_select,2,4,122.44,122.44,122.44,0.00,0.00,33.12,0.00,0.00
varchar_queries_1_select,4,4,125.52,125.52,125.52,0.00,0.00,33.12,0.00,0.00
varchar_queries_1_select,6,4,125.00,125.00,125.00,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,8,4,123.50,123.50,123.50,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,10,4,124.00,124.00,124.00,0.00,0.00,33.72,0.00,0.00
varchar_queries_1_select,12,4,121.50,121.50,121.50,0.00,0.00,34.95,0.00,0.00
varchar_queries_1_select,14,4,125.50,125.50,125.50,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,16,4,124.00,124.00,124.00,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,18,4,121.00,121.00,121.00,0.00,0.00,42.61,0.00,0.00
varchar_queries_64_insert,2,4,0.00,3402.16,0.00,848.54,2553.62,0.00,0.00,0.00
varchar_queries_64_insert,4,4,0.00,3371.09,0.00,842.77,2528.32,0.00,0.00,0.00
varchar_queries_64_insert,6,4,0.00,3329.88,0.00,832.47,2497.41,0.00,0.00,0.00
varchar_queries_64_insert,8,4,0.00,3447.99,0.00,862.00,2585.99,0.00,0.00,0.00
varchar_queries_64_insert,10,4,0.00,3445.97,0.00,861.49,2584.48,0.00,0.00,0.00
varchar_queries_64_insert,12,4,0.00,3346.06,0.00,836.51,2509.54,0.00,0.00,0.00
varchar_queries_64_insert,14,4,0.00,3412.04,0.00,853.01,2559.03,0.00,0.00,0.00
varchar_queries_64_insert,16,4,0.00,3445.90,0.00,861.48,2584.43,0.00,0.00,0.00
varchar_queries_64_insert,18,4,0.00,3402.14,0.00,850.53,2551.60,0.00,0.00,0.00
varchar_queries_64_insert,20,4,0.00,3311.80,0.00,827.95,2483.85,0.00,0.00,0.00
varchar_queries_64_insert,22,4,0.00,3317.58,0.00,829.52,2488.06,0.00,0.00,0.00
varchar_queries_64_insert,24,4,0.00,3410.47,0.00,852.49,2557.98,0.00,0.00,0.00
varchar_queries_64_insert,26,4,0.00,3292.11,0.00,823.03,2469.08,0.00,0.00,0.00
varchar_queries_64_select,2,4,103.45,103.45,103.45,0.00,0.00,39.65,0.00,0.00
varchar_queries_64_select,4,4,103.52,103.52,103.52,0.00,0.00,40.37,0.00,0.00
varchar_queries_64_select,6,4,105.50,105.50,105.50,0.00,0.00,38.25,0.00,0.00
varchar_queries_64_select,8,4,105.50,105.50,105.50,0.00,0.00,38.25,0.00,0.00
varchar_queries_64_select,10,4,103.00,103.00,103.00,0.00,0.00,40.37,0.00,0.00
varchar_queries_64_select,12,4,103.50,103.50,103.50,0.00,0.00,41.85,0.00,0.00
varchar_queries_64_select,14,4,105.00,105.00,105.00,0.00,0.00,38.25,0.00,0.00
varchar_queries_64_select,16,4,106.00,106.00,106.00,0.00,0.00,38.25,0.00,0.00
varchar_queries_64_select,18,4,105.00,105.00,105.00,0.00,0.00,38.25,0.00,0.00
