Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
int_queries,2,4,139.94,3518.28,139.94,842.59,2535.76,28.67,0.00,0.00,3378.34
int_queries,4,4,143.02,3663.76,143.02,880.19,2640.56,28.67,0.00,0.00,3520.74
int_queries,6,4,142.50,3640.49,142.50,874.50,2623.49,28.67,0.00,0.00,3497.99
int_queries,8,4,143.50,3615.54,143.50,868.01,2604.03,28.16,0.00,0.00,3472.04
int_queries,10,4,143.50,3679.45,143.50,883.99,2651.96,28.67,0.00,0.00,3535.95
int_queries,12,4,142.50,3556.60,142.50,853.52,2560.57,28.67,0.00,0.00,3414.10
int_queries,14,4,142.50,3372.52,142.50,807.50,2422.51,28.67,0.00,0.00,3230.02
int_queries,16,4,143.00,3533.03,143.00,847.51,2542.52,28.16,0.00,0.00,3390.03
int_queries,18,4,142.50,3352.50,142.50,802.50,2407.50,28.67,0.00,0.00,3210.00
varchar_queries_1,2,4,120.94,3425.19,120.94,824.06,2480.18,33.12,0.00,0.00,3304.25
varchar_queries_1,4,4,122.02,3354.87,122.02,808.21,2424.64,36.89,0.00,0.00,3232.85
varchar_queries_1,6,4,121.50,3315.57,121.50,798.52,2395.56,36.24,0.00,0.00,3194.07
varchar_queries_1,8,4,123.50,3353.51,123.50,807.50,2422.50,33.12,0.00,0.00,3230.01
varchar_queries_1,10,4,122.00,3225.96,122.00,775.99,2327.97,33.12,0.00,0.00,3103.96
varchar_queries_1,12,4,124.50,3328.41,124.50,800.98,2402.93,33.12,0.00,0.00,3203.91
varchar_queries_1,14,4,124.00,3278.15,124.00,788.54,2365.61,32.53,0.00,0.00,3154.15
varchar_queries_1,16,4,123.50,3271.41,123.50,786.98,2360.93,32.53,0.00,0.00,3147.91
varchar_queries_1,18,4,124.50,3272.45,124.50,786.99,2360.96,32.53,0.00,0.00,3147.95
varchar_queries_64,2,4,49.97,3134.43,49.97,769.12,2315.35,90.78,0.00,0.00,3084.46
varchar_queries_64,4,4,50.01,3173.19,50.01,780.67,2342.51,87.56,0.00,0.00,3123.18
varchar_queries_64,6,4,52.50,3226.12,52.50,793.53,2380.09,78.60,0.00,0.00,3173.62
varchar_queries_64,8,4,52.00,3318.01,52.00,816.50,2449.51,77.19,0.00,0.00,3266.01
varchar_queries_64,10,4,52.50,3060.50,52.50,752.00,2256.00,78.60,0.00,0.00,3008.00
varchar_queries_64,12,4,51.00,3118.38,51.00,766.97,2300.41,80.03,0.00,0.00,3067.38
varchar_queries_64,14,4,52.00,3054.52,52.00,750.51,2252.02,78.60,0.00,0.00,3002.52
varchar_queries_64,16,4,51.50,3057.60,51.50,751.53,2254.58,87.56,0.00,0.00,3006.10
varchar_queries_64,18,4,51.50,3089.43,51.50,759.48,2278.45,81.48,0.00,0.00,3037.93
