Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,2,4,0.00,3876.08,0.00,967.02,2909.06,0.00,0.00,0.00
int_queries_insert,4,4,0.00,4105.02,0.00,1026.26,3078.77,0.00,0.00,0.00
int_queries_insert,6,4,0.00,3962.05,0.00,990.51,2971.53,0.00,0.00,0.00
int_queries_insert,8,4,0.00,3995.91,0.00,998.98,2996.93,0.00,0.00,0.00
int_queries_insert,10,4,0.00,3457.83,0.00,864.46,2593.37,0.00,0.00,0.00
int_queries_insert,12,4,0.00,3036.10,0.00,759.02,2277.07,0.00,0.00,0.00
int_queries_insert,14,4,0.00,3086.98,0.00,772.00,2314.99,0.00,0.00,0.00
int_queries_insert,16,4,0.00,3225.00,0.00,806.00,2419.00,0.00,0.00,0.00
int_queries_insert,18,4,0.00,3334.04,0.00,833.51,2500.53,0.00,0.00,0.00
int_queries_insert,20,4,0.00,3232.10,0.00,808.03,2424.08,0.00,0.00,0.00
int_queries_insert,22,4,0.00,2995.96,0.00,748.99,2246.97,0.00,0.00,0.00
int_queries_insert,24,4,0.00,3155.87,0.00,788.97,2366.90,0.00,0.00,0.00
int_queries_select,2,4,140.93,140.93,140.93,0.00,0.00,28.67,0.00,0.00
int_queries_select,4,4,143.03,143.03,143.03,0.00,0.00,28.67,0.00,0.00
int_queries_select,6,4,144.00,144.00,144.00,0.00,0.00,28.16,0.00,0.00
int_queries_select,8,4,143.00,143.00,143.00,0.00,0.00,28.16,0.00,0.00
int_queries_select,10,4,143.50,143.50,143.50,0.00,0.00,28.16,0.00,0.00
int_queries_select,12,4,143.50,143.50,143.50,0.00,0.00,28.16,0.00,0.00
int_queries_select,14,4,144.00,144.00,144.00,0.00,0.00,28.16,0.00,0.00
int_queries_select,16,4,143.50,143.50,143.50,0.00,0.00,28.16,0.00,0.00
int_queries_select,18,4,143.00,143.00,143.00,0.00,0.00,28.16,0.00,0.00
varchar_queries_1_insert,2,4,0.00,2924.33,0.00,729.08,2195.24,0.00,0.00,0.00
varchar_queries_1_insert,4,4,0.00,2814.79,0.00,703.70,2111.10,0.00,0.00,0.00
varchar_queries_1_insert,6,4,0.00,3160.09,0.00,790.02,2370.06,0.00,0.00,0.00
varchar_queries_1_insert,8,4,0.00,3002.15,0.00,750.54,2251.61,0.00,0.00,0.00
varchar_queries_1_insert,10,4,0.00,3313.95,0.00,828.49,2485.47,0.00,0.00,0.00
varchar_queries_1_insert,12,4,0.00,3210.06,0.00,802.51,2407.54,0.00,0.00,0.00
varchar_queries_1_insert,14,4,0.00,3979.88,0.00,994.97,2984.91,0.00,0.00,0.00
varchar_queries_1_insert,16,4,0.00,4103.84,0.00,1025.96,3077.88,0.00,0.00,0.00
varchar_queries_1_insert,18,4,0.00,3634.18,0.00,908.54,2725.63,0.00,0.00,0.00
varchar_queries_1_insert,20,4,0.00,3610.02,0.00,902.50,2707.51,0.00,0.00,0.00
varchar_queries_1_insert,22,4,0.00,3421.84,0.00,855.46,2566.38,0.00,0.00,0.00
varchar_queries_1_insert,24,4,0.00,3384.08,0.00,846.02,2538.06,0.00,0.00,0.00
varchar_queries_1_select,2,4,122.94,122.94,122.94,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,4,4,124.52,124.52,124.52,0.00,0.00,33.72,0.00,0.00
varchar_queries_1_select,6,4,123.50,123.50,123.50,0.00,0.00,33.12,0.00,0.00
varchar_queries_1_select,8,4,122.50,122.50,122.50,0.00,0.00,34.95,0.00,0.00
varchar_queries_1_select,10,4,124.50,124.50,124.50,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,12,4,124.00,124.00,124.00,0.00,0.00,33.12,0.00,0.00
varchar_queries_1_select,14,4,124.50,124.50,124.50,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,16,4,125.00,125.00,125.00,0.00,0.00,32.53,0.00,0.00
varchar_queries_1_select,18,4,126.00,126.00,126.00,0.00,0.00,32.53,0.00,0.00
varchar_queries_64_insert,2,4,0.00,3330.41,0.00,830.60,2499.81,0.00,0.00,0.00
varchar_queries_64_insert,4,4,0.00,3480.86,0.00,870.22,2610.65,0.00,0.00,0.00
varchar_queries_64_insert,6,4,0.00,3319.39,0.00,829.97,2489.42,0.00,0.00,0.00
varchar_queries_64_insert,8,4,0.00,3194.62,0.00,798.53,2396.09,0.00,0.00,0.00
varchar_queries_64_insert,10,4,0.00,3237.91,0.00,809.48,2428.43,0.00,0.00,0.00
varchar_queries_64_insert,12,4,0.00,3356.09,0.00,839.02,2517.07,0.00,0.00,0.00
varchar_queries_64_insert,14,4,0.00,3401.94,0.00,850.48,2551.45,0.00,0.00,0.00
varchar_queries_64_insert,16,4,0.00,3536.06,0.00,884.01,2652.04,0.00,0.00,0.00
varchar_queries_64_insert,18,4,0.00,3793.84,0.00,948.46,2845.38,0.00,0.00,0.00
varchar_queries_64_insert,20,4,0.00,3342.44,0.00,835.99,2506.46,0.00,0.00,0.00
varchar_queries_64_insert,22,4,0.00,3203.51,0.00,800.50,2403.01,0.00,0.00,0.00
varchar_queries_64_insert,24,4,0.00,3113.94,0.00,778.49,2335.46,0.00,0.00,0.00
varchar_queries_64_insert,26,4,0.00,3083.98,0.00,770.99,2312.98,0.00,0.00,0.00
varchar_queries_64_select,2,4,49.47,49.47,49.47,0.00,0.00,92.42,0.00,0.00
varchar_queries_64_select,4,4,50.51,50.51,50.51,0.00,0.00,80.03,0.00,0.00
varchar_queries_64_select,6,4,52.00,52.00,52.00,0.00,0.00,80.03,0.00,0.00
varchar_queries_64_select,8,4,50.00,50.00,50.00,0.00,0.00,81.48,0.00,0.00
varchar_queries_64_select,10,4,51.50,51.50,51.50,0.00,0.00,81.48,0.00,0.00
varchar_queries_64_select,12,4,50.00,50.00,50.00,0.00,0.00,80.03,0.00,0.00
varchar_queries_64_select,14,4,50.00,50.00,50.00,0.00,0.00,81.48,0.00,0.00
varchar_queries_64_select,16,4,52.00,52.00,52.00,0.00,0.00,81.48,0.00,0.00
varchar_queries_64_select,18,4,50.00,50.00,50.00,0.00,0.00,80.03,0.00,0.00
