Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
int_queries,1,1,139.88,916.16,139.88,772.28,4.00,7.30,0.00,0.00,776.28
int_queries,2,1,141.04,938.43,141.04,797.39,0.00,7.30,0.00,0.00,797.39
int_queries,3,1,141.00,929.00,141.00,788.00,0.00,7.30,0.00,0.00,788.00
int_queries,4,1,142.01,956.00,142.01,813.99,0.00,7.17,0.00,0.00,813.99
int_queries,5,1,140.99,990.95,140.99,849.96,0.00,7.30,0.00,0.00,849.96
int_queries,6,1,143.00,999.00,143.00,856.00,0.00,7.04,0.00,0.00,856.00
int_queries,7,1,142.00,978.05,142.00,836.05,0.00,7.17,0.00,0.00,836.05
int_queries,8,1,143.01,979.99,143.01,836.98,0.00,7.04,0.00,0.00,836.98
varchar_queries_1,1,1,119.90,935.14,119.90,811.24,4.00,8.43,0.00,0.00,815.24
varchar_queries_1,2,1,122.04,891.38,122.04,769.34,0.00,8.43,0.00,0.00,769.34
varchar_queries_1,3,1,123.00,896.00,123.00,773.00,0.00,8.28,0.00,0.00,773.00
varchar_queries_1,4,1,124.00,862.04,124.00,738.04,0.00,8.28,0.00,0.00,738.04
varchar_queries_1,5,1,122.00,905.99,122.00,783.99,0.00,8.43,0.00,0.00,783.99
varchar_queries_1,6,1,124.00,877.96,124.00,753.96,0.00,8.28,0.00,0.00,753.96
varchar_queries_1,7,1,122.00,900.02,122.00,778.02,0.00,8.28,0.00,0.00,778.02
varchar_queries_1,8,1,124.02,850.06,124.02,726.04,0.00,8.28,0.00,0.00,726.04
varchar_queries_64,1,1,92.91,794.21,92.91,697.30,4.00,10.84,0.00,0.00,701.30
varchar_queries_64,2,1,96.06,824.39,96.06,728.33,0.00,10.65,0.00,0.00,728.33
varchar_queries_64,3,1,93.99,910.05,93.99,816.06,0.00,11.04,0.00,0.00,816.06
varchar_queries_64,4,1,95.00,907.97,95.00,812.97,0.00,10.84,0.00,0.00,812.97
varchar_queries_64,5,1,97.01,865.04,97.01,768.03,0.00,10.65,0.00,0.00,768.03
varchar_queries_64,6,1,97.00,921.83,97.00,824.83,0.00,10.46,0.00,0.00,824.83
varchar_queries_64,7,1,96.99,864.11,96.99,767.12,0.00,10.65,0.00,0.00,767.12
varchar_queries_64,8,1,96.00,830.01,96.00,734.01,0.00,11.04,0.00,0.00,734.01
