Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,1,1,0.00,776.28,0.00,772.28,4.00,0.00,0.00,0.00
int_queries_insert,2,1,0.00,797.39,0.00,797.39,0.00,0.00,0.00,0.00
int_queries_insert,3,1,0.00,788.00,0.00,788.00,0.00,0.00,0.00,0.00
int_queries_insert,4,1,0.00,813.99,0.00,813.99,0.00,0.00,0.00,0.00
int_queries_insert,5,1,0.00,849.96,0.00,849.96,0.00,0.00,0.00,0.00
int_queries_insert,6,1,0.00,856.00,0.00,856.00,0.00,0.00,0.00,0.00
int_queries_insert,7,1,0.00,836.05,0.00,836.05,0.00,0.00,0.00,0.00
int_queries_insert,8,1,0.00,836.98,0.00,836.98,0.00,0.00,0.00,0.00
int_queries_insert,9,1,0.00,826.99,0.00,826.99,0.00,0.00,0.00,0.00
int_queries_insert,10,1,0.00,803.00,0.00,803.00,0.00,0.00,0.00,0.00
int_queries_insert,11,1,0.00,947.01,0.00,947.01,0.00,0.00,0.00,0.00
int_queries_select,1,1,139.88,139.88,139.88,0.00,0.00,7.30,0.00,0.00
int_queries_select,2,1,141.04,141.04,141.04,0.00,0.00,7.30,0.00,0.00
int_queries_select,3,1,141.00,141.00,141.00,0.00,0.00,7.30,0.00,0.00
int_queries_select,4,1,142.01,142.01,142.01,0.00,0.00,7.17,0.00,0.00
int_queries_select,5,1,140.99,140.99,140.99,0.00,0.00,7.30,0.00,0.00
int_queries_select,6,1,143.00,143.00,143.00,0.00,0.00,7.04,0.00,0.00
int_queries_select,7,1,142.00,142.00,142.00,0.00,0.00,7.17,0.00,0.00
int_queries_select,8,1,143.01,143.01,143.01,0.00,0.00,7.04,0.00,0.00
varchar_queries_1_insert,1,1,0.00,815.24,0.00,811.24,4.00,0.00,0.00,0.00
varchar_queries_1_insert,2,1,0.00,769.34,0.00,769.34,0.00,0.00,0.00,0.00
varchar_queries_1_insert,3,1,0.00,773.00,0.00,773.00,0.00,0.00,0.00,0.00
varchar_queries_1_insert,4,1,0.00,738.04,0.00,738.04,0.00,0.00,0.00,0.00
varchar_queries_1_insert,5,1,0.00,783.99,0.00,783.99,0.00,0.00,0.00,0.00
varchar_queries_1_insert,6,1,0.00,753.96,0.00,753.96,0.00,0.00,0.00,0.00
varchar_queries_1_insert,7,1,0.00,778.02,0.00,778.02,0.00,0.00,0.00,0.00
varchar_queries_1_insert,8,1,0.00,726.04,0.00,726.04,0.00,0.00,0.00,0.00
