Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
int_queries,1,1,140.89,1478.63,140.89,1333.74,4.00,7.04,0.00,0.00,1337.74
int_queries,2,1,143.04,1494.68,143.04,1351.64,0.00,7.04,0.00,0.00,1351.64
int_queries,3,1,142.00,1487.94,142.00,1345.94,0.00,7.04,0.00,0.00,1345.94
int_queries,4,1,141.01,1502.07,141.01,1361.06,0.00,7.17,0.00,0.00,1361.06
int_queries,5,1,142.99,1517.06,142.99,1374.07,0.00,7.04,0.00,0.00,1374.07
int_queries,6,1,142.01,1504.95,142.01,1362.94,0.00,7.04,0.00,0.00,1362.94
int_queries,7,1,141.98,1507.97,141.98,1365.99,0.00,7.04,0.00,0.00,1365.99
int_queries,8,1,144.02,1353.02,143.02,1208.00,2.00,7353.66,0.00,0.00,1210.00
varchar_queries_1,1,1,123.88,1467.53,123.88,1339.66,4.00,8.13,0.00,0.00,1343.65
varchar_queries_1,2,1,124.05,1469.69,124.05,1345.64,0.00,8.13,0.00,0.00,1345.64
varchar_queries_1,3,1,125.01,1465.05,125.01,1340.04,0.00,7.98,0.00,0.00,1340.04
varchar_queries_1,4,1,124.00,1457.01,124.00,1333.01,0.00,8.13,0.00,0.00,1333.01
varchar_queries_1,5,1,125.01,1466.99,125.01,1341.98,0.00,8.13,0.00,0.00,1341.98
varchar_queries_1,6,1,124.99,1475.91,124.99,1350.92,0.00,7.98,0.00,0.00,1350.92
varchar_queries_1,7,1,126.02,1480.11,126.02,1354.09,0.00,7.98,0.00,0.00,1354.09
varchar_queries_1,8,1,125.99,1293.01,124.99,1166.02,2.00,7488.11,0.00,0.00,1168.02
varchar_queries_64,1,1,96.93,1397.70,96.93,1296.77,4.00,10.27,0.00,0.00,1300.77
varchar_queries_64,2,1,99.03,1382.57,99.03,1283.54,0.00,10.27,0.00,0.00,1283.54
varchar_queries_64,3,1,96.99,1412.01,96.99,1315.02,0.00,10.27,0.00,0.00,1315.02
varchar_queries_64,4,1,98.00,1348.00,98.00,1250.00,0.00,10.27,0.00,0.00,1250.00
varchar_queries_64,5,1,99.00,1350.04,99.00,1251.04,0.00,10.27,0.00,0.00,1251.04
varchar_queries_64,6,1,99.00,1412.02,99.00,1313.02,0.00,10.27,0.00,0.00,1313.02
varchar_queries_64,7,1,98.00,1415.05,98.00,1317.05,0.00,10.27,0.00,0.00,1317.05
varchar_queries_64,8,1,100.00,1220.90,99.00,1119.90,2.00,7764.35,0.00,0.00,1121.90
