Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
int_queries,1,1,323.74,1314.74,323.74,987.00,4.00,3.13,0.00,0.00,991.00
int_queries,2,1,322.09,1456.69,322.09,1134.60,0.00,3.36,0.00,0.00,1134.60
int_queries,3,1,322.99,1442.97,322.99,1119.98,0.00,3.13,0.00,0.00,1119.98
int_queries,4,1,327.01,1396.02,326.01,1068.01,2.00,3709.21,0.00,0.00,1070.01
int_queries,5,1,323.03,1410.99,323.03,1087.96,0.00,3.13,0.00,0.00,1087.96
int_queries,6,1,324.98,1306.02,324.98,981.04,0.00,3.13,0.00,0.00,981.04
int_queries,7,1,327.00,1304.01,327.00,977.01,0.00,3.13,0.00,0.00,977.01
int_queries,8,1,328.99,1241.03,327.99,911.04,2.00,3985.93,0.00,0.00,913.04
varchar_queries_1,1,1,287.72,1203.93,287.72,912.21,4.00,3.49,0.00,0.00,916.21
varchar_queries_1,2,1,288.12,1228.37,288.12,940.25,0.00,3.55,0.00,0.00,940.25
varchar_queries_1,3,1,290.00,1211.13,290.00,921.13,0.00,3.49,0.00,0.00,921.13
varchar_queries_1,4,1,288.02,1267.02,288.02,979.00,0.00,3.55,0.00,0.00,979.00
varchar_queries_1,5,1,289.98,1165.00,288.98,874.02,2.00,4283.87,0.00,0.00,876.02
varchar_queries_1,6,1,288.01,1206.00,288.01,917.99,0.00,3.55,0.00,0.00,917.99
varchar_queries_1,7,1,289.00,1266.98,289.00,977.98,0.00,3.49,0.00,0.00,977.98
varchar_queries_1,8,1,289.00,1251.99,289.00,962.99,0.00,3.55,0.00,0.00,962.99
varchar_queries_64,1,1,216.85,1163.89,216.85,943.04,4.00,4.74,0.00,0.00,947.04
varchar_queries_64,2,1,220.03,1153.50,220.03,933.47,0.00,4.74,0.00,0.00,933.47
varchar_queries_64,3,1,222.03,1157.06,222.03,935.03,0.00,4.65,0.00,0.00,935.03
varchar_queries_64,4,1,222.00,1153.99,222.00,931.99,0.00,4.65,0.00,0.00,931.99
varchar_queries_64,5,1,223.97,1069.98,222.97,845.01,2.00,4284.89,0.00,0.00,847.01
varchar_queries_64,6,1,224.01,1147.01,224.01,923.00,0.00,4.57,0.00,0.00,923.00
varchar_queries_64,7,1,223.00,1126.99,223.00,903.99,0.00,4.57,0.00,0.00,903.99
varchar_queries_64,8,1,223.02,1125.05,223.02,902.03,0.00,4.57,0.00,0.00,902.03
