Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,1,1,0.00,1003.12,0.00,999.12,4.00,0.00,0.00,0.00
int_queries_insert,2,1,0.00,1006.38,0.00,1006.38,0.00,0.00,0.00,0.00
int_queries_insert,3,1,0.00,1044.00,0.00,1044.00,0.00,0.00,0.00,0.00
int_queries_insert,4,1,0.00,866.01,0.00,866.01,0.00,0.00,0.00,0.00
int_queries_insert,5,1,0.00,1039.98,0.00,1039.98,0.00,0.00,0.00,0.00
int_queries_insert,6,1,0.00,1001.07,0.00,1001.07,0.00,0.00,0.00,0.00
int_queries_insert,7,1,0.00,1022.01,0.00,1022.01,0.00,0.00,0.00,0.00
int_queries_insert,8,1,0.00,1031.98,0.00,1031.98,0.00,0.00,0.00,0.00
int_queries_insert,9,1,0.00,1020.99,0.00,1020.99,0.00,0.00,0.00,0.00
int_queries_insert,10,1,0.00,1048.00,0.00,1048.00,0.00,0.00,0.00,0.00
int_queries_insert,11,1,0.00,1039.00,0.00,1039.00,0.00,0.00,0.00,0.00
int_queries_insert,12,1,0.00,1016.05,0.00,1016.05,0.00,0.00,0.00,0.00
int_queries_insert,13,1,0.00,1029.92,0.00,1029.92,0.00,0.00,0.00,0.00
int_queries_insert,14,1,0.00,1074.99,0.00,1074.99,0.00,0.00,0.00,0.00
int_queries_insert,15,1,0.00,1083.01,0.00,1083.01,0.00,0.00,0.00,0.00
int_queries_insert,16,1,0.00,1071.01,0.00,1071.01,0.00,0.00,0.00,0.00
int_queries_insert,17,1,0.00,1038.01,0.00,1038.01,0.00,0.00,0.00,0.00
int_queries_insert,18,1,0.00,1015.96,0.00,1015.96,0.00,0.00,0.00,0.00
int_queries_insert,19,1,0.00,981.03,0.00,981.03,0.00,0.00,0.00,0.00
int_queries_insert,20,1,0.00,954.97,0.00,954.97,0.00,0.00,0.00,0.00
int_queries_insert,21,1,0.00,1019.98,0.00,1019.98,0.00,0.00,0.00,0.00
int_queries_select,1,1,64.94,64.94,64.94,0.00,0.00,15.55,0.00,0.00
int_queries_select,2,1,67.03,67.03,67.03,0.00,0.00,15.27,0.00,0.00
int_queries_select,3,1,64.99,64.99,64.99,0.00,0.00,15.83,0.00,0.00
int_queries_select,4,1,67.00,67.00,67.00,0.00,0.00,15.27,0.00,0.00
int_queries_select,5,1,67.00,67.00,67.00,0.00,0.00,15.55,0.00,0.00
int_queries_select,6,1,66.00,66.00,66.00,0.00,0.00,15.27,0.00,0.00
int_queries_select,7,1,67.00,67.00,67.00,0.00,0.00,15.00,0.00,0.00
int_queries_select,8,1,68.00,68.00,68.00,0.00,0.00,15.00,0.00,0.00
varchar_queries_1_insert,1,1,0.00,1051.00,0.00,1047.01,4.00,0.00,0.00,0.00
varchar_queries_1_insert,2,1,0.00,1062.53,0.00,1062.53,0.00,0.00,0.00,0.00
varchar_queries_1_insert,3,1,0.00,1060.99,0.00,1060.99,0.00,0.00,0.00,0.00
varchar_queries_1_insert,4,1,0.00,1059.01,0.00,1059.01,0.00,0.00,0.00,0.00
varchar_queries_1_insert,5,1,0.00,1059.99,0.00,1059.99,0.00,0.00,0.00,0.00
varchar_queries_1_insert,6,1,0.00,1040.98,0.00,1040.98,0.00,0.00,0.00,0.00
varchar_queries_1_insert,7,1,0.00,1034.00,0.00,1034.00,0.00,0.00,0.00,0.00
varchar_queries_1_insert,8,1,0.00,1034.01,0.00,1034.01,0.00,0.00,0.00,0.00
varchar_queries_1_insert,9,1,0.00,1017.98,0.00,1017.98,0.00,0.00,0.00,0.00
varchar_queries_1_insert,10,1,0.00,1026.02,0.00,1026.02,0.00,0.00,0.00,0.00
varchar_queries_1_insert,11,1,0.00,1004.95,0.00,1004.95,0.00,0.00,0.00,0.00
varchar_queries_1_insert,12,1,0.00,1022.05,0.00,1022.05,0.00,0.00,0.00,0.00
varchar_queries_1_insert,13,1,0.00,1031.01,0.00,1031.01,0.00,0.00,0.00,0.00
varchar_queries_1_insert,14,1,0.00,977.94,0.00,977.94,0.00,0.00,0.00,0.00
varchar_queries_1_insert,15,1,0.00,999.00,0.00,999.00,0.00,0.00,0.00,0.00
varchar_queries_1_insert,16,1,0.00,1010.00,0.00,1010.00,0.00,0.00,0.00,0.00
varchar_queries_1_insert,17,1,0.00,1025.03,0.00,1025.03,0.00,0.00,0.00,0.00
varchar_queries_1_insert,18,1,0.00,1020.99,0.00,1020.99,0.00,0.00,0.00,0.00
