Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
int_queries,2,4,140.94,3001.67,140.94,713.18,2147.55,29.19,0.00,0.00,2860.73
int_queries,4,4,144.02,2890.48,144.02,686.62,2059.85,28.16,0.00,0.00,2746.46
int_queries,6,4,143.00,3092.97,143.00,737.49,2212.48,28.16,0.00,0.00,2949.97
int_queries,8,4,143.00,3047.15,143.00,726.04,2178.12,28.67,0.00,0.00,2904.15
int_queries,10,4,143.50,3227.42,143.50,770.98,2312.94,28.16,0.00,0.00,3083.92
int_queries,12,4,143.50,3031.62,143.50,722.03,2166.09,28.16,0.00,0.00,2888.12
int_queries,14,4,142.00,3045.97,142.00,725.99,2177.98,28.16,0.00,0.00,2903.97
int_queries,16,4,144.00,3046.02,144.00,725.51,2176.52,28.16,0.00,0.00,2902.02
int_queries,18,4,144.00,3215.94,144.00,767.99,2303.96,28.16,0.00,0.00,3071.94
varchar_queries_1,2,4,121.94,2768.18,121.94,659.19,1987.05,33.72,0.00,0.00,2646.24
varchar_queries_1,4,4,124.02,2775.04,124.02,663.13,1987.89,32.53,0.00,0.00,2651.02
varchar_queries_1,6,4,123.50,2853.65,123.50,682.54,2047.62,33.72,0.00,0.00,2730.15
varchar_queries_1,8,4,124.00,2845.83,124.00,680.46,2041.37,32.53,0.00,0.00,2721.83
varchar_queries_1,10,4,125.50,2557.52,125.50,608.01,1824.02,32.53,0.00,0.00,2432.02
varchar_queries_1,12,4,124.50,2432.62,124.50,577.03,1731.09,32.53,0.00,0.00,2308.12
varchar_queries_1,14,4,124.50,2698.41,124.50,643.48,1930.43,32.53,0.00,0.00,2573.91
varchar_queries_1,16,4,124.50,2450.51,124.50,581.50,1744.50,32.53,0.00,0.00,2326.01
varchar_queries_1,18,4,125.50,2649.54,125.50,631.01,1893.03,33.12,0.00,0.00,2524.04
varchar_queries_64,2,4,103.45,3449.70,103.45,834.56,2511.69,38.94,0.00,0.00,3346.25
varchar_queries_64,4,4,104.52,3207.26,104.52,775.68,2327.05,40.37,0.00,0.00,3102.74
varchar_queries_64,6,4,104.00,3328.17,104.00,806.04,2418.13,41.10,0.00,0.00,3224.17
varchar_queries_64,8,4,105.00,3466.85,105.00,840.46,2521.39,38.94,0.00,0.00,3361.85
varchar_queries_64,10,4,104.50,3402.47,104.50,824.49,2473.48,38.94,0.00,0.00,3297.97
varchar_queries_64,12,4,104.00,3544.01,104.00,860.00,2580.00,38.94,0.00,0.00,3440.01
varchar_queries_64,14,4,104.50,3538.52,104.50,858.51,2575.52,38.25,0.00,0.00,3434.02
varchar_queries_64,16,4,104.50,3492.62,104.50,847.03,2541.09,38.94,0.00,0.00,3388.12
varchar_queries_64,18,4,105.00,3451.04,105.00,836.51,2509.53,38.94,0.00,0.00,3346.04
