Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,2,4,0.00,2860.73,0.00,713.18,2147.55,0.00,0.00,0.00
int_queries_insert,4,4,0.00,2746.46,0.00,686.62,2059.85,0.00,0.00,0.00
int_queries_insert,6,4,0.00,2949.97,0.00,737.49,2212.48,0.00,0.00,0.00
int_queries_insert,8,4,0.00,2904.15,0.00,726.04,2178.12,0.00,0.00,0.00
int_queries_insert,10,4,0.00,3083.92,0.00,770.98,2312.94,0.00,0.00,0.00
int_queries_insert,12,4,0.00,2888.12,0.00,722.03,2166.09,0.00,0.00,0.00
int_queries_insert,14,4,0.00,2903.97,0.00,725.99,2177.98,0.00,0.00,0.00
int_queries_insert,16,4,0.00,2902.02,0.00,725.51,2176.52,0.00,0.00,0.00
int_queries_insert,18,4,0.00,3071.94,0.00,767.99,2303.96,0.00,0.00,0.00
int_queries_insert,20,4,0.00,2953.89,0.00,738.47,2215.42,0.00,0.00,0.00
int_queries_insert,22,4,0.00,2928.06,0.00,732.01,2196.04,0.00,0.00,0.00
int_queries_insert,24,4,0.00,2779.97,0.00,694.99,2084.98,0.00,0.00,0.00
int_queries_insert,26,4,0.00,2721.95,0.00,680.49,2041.47,0.00,0.00,0.00
int_queries_insert,28,4,0.00,2988.07,0.00,747.02,2241.05,0.00,0.00,0.00
int_queries_insert,30,4,0.00,2726.11,0.00,681.53,2044.58,0.00,0.00,0.00
int_queries_select,2,4,140.94,140.94,140.94,0.00,0.00,29.19,0.00,0.00
int_queries_select,4,4,144.02,144.02,144.02,0.00,0.00,28.16,0.00,0.00
int_queries_select,6,4,143.00,143.00,143.00,0.00,0.00,28.16,0.00,0.00
int_queries_select,8,4,143.00,143.00,143.00,0.00,0.00,28.67,0.00,0.00
int_queries_select,10,4,143.50,143.50,143.50,0.00,0.00,28.16,0.00,0.00
int_queries_select,12,4,143.50,143.50,143.50,0.00,0.00,28.16,0.00,0.00
int_queries_select,14,4,142.00,142.00,142.00,0.00,0.00,28.16,0.00,0.00
int_queries_select,16,4,144.00,144.00,144.00,0.00,0.00,28.16,0.00,0.00
int_queries_select,18,4,144.00,144.00,144.00,0.00,0.00,28.16,0.00,0.00
varchar_queries_1_insert,2,4,0.00,2646.24,0.00,659.19,1987.05,0.00,0.00,0.00
varchar_queries_1_insert,4,4,0.00,2651.02,0.00,663.13,1987.89,0.00,0.00,0.00
varchar_queries_1_insert,6,4,0.00,2730.15,0.00,682.54,2047.62,0.00,0.00,0.00
varchar_queries_1_insert,8,4,0.00,2721.83,0.00,680.46,2041.37,0.00,0.00,0.00
varchar_queries_1_insert,10,4,0.00,2432.02,0.00,608.01,1824.02,0.00,0.00,0.00
varchar_queries_1_insert,12,4,0.00,2308.12,0.00,577.03,1731.09,0.00,0.00,0.00
varchar_queries_1_insert,14,4,0.00,2573.91,0.00,643.48,1930.43,0.00,0.00,0.00
varchar_queries_1_insert,16,4,0.00,2326.01,0.00,581.50,1744.50,0.00,0.00,0.00
