Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
int_queries,2,4,140.94,4350.73,140.94,1050.45,3159.34,28.67,0.00,0.00,4209.79
int_queries,4,4,138.53,4273.46,138.53,1033.73,3101.20,30.81,0.00,0.00,4134.93
int_queries,6,4,142.00,4585.95,142.00,1110.99,3332.97,28.67,0.00,0.00,4443.95
int_queries,8,4,142.50,4712.70,142.50,1142.55,3427.65,28.67,0.00,0.00,4570.20
int_queries,10,4,143.00,4662.94,143.00,1129.98,3389.95,28.16,0.00,0.00,4519.94
int_queries,12,4,143.50,4575.38,143.50,1107.97,3323.91,28.16,0.00,0.00,4431.88
int_queries,14,4,142.50,4408.62,142.50,1066.53,3199.59,28.67,0.00,0.00,4266.12
int_queries,16,4,144.00,4703.92,144.00,1139.98,3419.94,28.16,0.00,0.00,4559.92
int_queries,18,4,143.50,4537.61,143.50,1098.53,3295.58,28.16,0.00,0.00,4394.11
varchar_queries_1,2,4,69.47,3921.55,69.47,961.02,2891.06,64.47,0.00,0.00,3852.08
varchar_queries_1,4,4,72.01,3854.94,72.01,945.73,2837.20,56.84,0.00,0.00,3782.93
varchar_queries_1,6,4,73.50,3689.49,73.50,904.00,2711.99,56.84,0.00,0.00,3615.99
varchar_queries_1,8,4,71.00,3790.94,71.00,929.99,2789.96,58.92,0.00,0.00,3719.94
varchar_queries_1,10,4,119.00,3821.16,119.00,925.54,2776.62,54.83,0.00,0.00,3702.16
varchar_queries_1,12,4,123.50,3751.33,123.50,906.96,2720.87,34.95,0.00,0.00,3627.83
varchar_queries_1,14,4,122.50,3784.56,122.50,915.51,2746.54,37.56,0.00,0.00,3662.06
varchar_queries_1,16,4,125.50,3639.13,125.50,878.41,2635.22,32.53,0.00,0.00,3513.63
varchar_queries_1,18,4,125.00,3785.28,125.00,915.07,2745.21,31.94,0.00,0.00,3660.28
varchar_queries_64,2,4,102.95,3898.42,102.95,946.99,2848.47,38.94,0.00,0.00,3795.47
varchar_queries_64,4,4,104.02,3779.33,104.02,918.70,2756.61,40.37,0.00,0.00,3675.31
varchar_queries_64,6,4,105.00,3735.11,105.00,907.53,2722.58,40.37,0.00,0.00,3630.11
varchar_queries_64,8,4,104.00,3820.02,104.00,929.01,2787.02,40.37,0.00,0.00,3716.02
varchar_queries_64,10,4,104.50,3712.44,104.50,901.98,2705.95,38.94,0.00,0.00,3607.94
varchar_queries_64,12,4,105.00,3701.13,105.00,899.03,2697.10,38.94,0.00,0.00,3596.13
varchar_queries_64,14,4,104.50,3764.43,104.50,914.98,2744.95,38.94,0.00,0.00,3659.93
varchar_queries_64,16,4,104.00,3784.16,104.00,920.04,2760.12,38.25,0.00,0.00,3680.16
varchar_queries_64,18,4,105.00,3718.80,105.00,903.45,2710.35,38.25,0.00,0.00,3613.80
