Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
int_queries,2,4,73.96,3923.98,73.96,960.50,2889.51,59.99,0.00,0.00,3850.02
int_queries,4,4,77.52,3590.44,77.52,878.23,2634.69,56.84,0.00,0.00,3512.92
int_queries,6,4,77.50,3867.38,77.50,947.47,2842.41,54.83,0.00,0.00,3789.88
int_queries,8,4,77.00,3815.15,77.00,934.54,2803.61,54.83,0.00,0.00,3738.15
int_queries,10,4,76.50,4321.06,76.50,1061.14,3183.42,55.82,0.00,0.00,4244.56
int_queries,12,4,77.50,4210.83,77.50,1033.33,3099.99,53.85,0.00,0.00,4133.33
int_queries,14,4,75.50,3971.41,75.50,973.98,2921.93,54.83,0.00,0.00,3895.91
int_queries,16,4,77.50,3895.65,77.50,954.54,2863.62,56.84,0.00,0.00,3818.15
int_queries,18,4,79.00,3881.38,79.00,950.60,2851.79,55.82,0.00,0.00,3802.38
varchar_queries_1,2,4,121.95,3716.18,121.95,896.56,2697.67,33.12,0.00,0.00,3594.23
varchar_queries_1,4,4,122.52,3535.29,122.52,853.19,2559.57,34.95,0.00,0.00,3412.77
varchar_queries_1,6,4,124.50,3510.57,124.50,846.52,2539.55,32.53,0.00,0.00,3386.07
varchar_queries_1,8,4,122.00,3547.96,122.00,856.49,2569.47,36.89,0.00,0.00,3425.96
varchar_queries_1,10,4,124.50,3526.52,124.50,850.50,2551.51,32.53,0.00,0.00,3402.02
varchar_queries_1,12,4,124.00,3572.00,124.00,862.00,2586.00,33.12,0.00,0.00,3448.00
varchar_queries_1,14,4,124.50,3588.53,124.50,866.01,2598.02,32.53,0.00,0.00,3464.03
varchar_queries_1,16,4,123.00,3502.87,123.00,844.97,2534.90,33.12,0.00,0.00,3379.87
varchar_queries_1,18,4,124.50,3584.47,124.50,864.99,2594.98,32.53,0.00,0.00,3459.97
varchar_queries_64,2,4,47.97,3498.11,47.97,860.54,2589.60,90.78,0.00,0.00,3450.14
varchar_queries_64,4,4,52.01,3398.92,52.01,836.73,2510.18,84.47,0.00,0.00,3346.91
varchar_queries_64,6,4,50.00,3381.98,50.00,832.99,2498.98,81.48,0.00,0.00,3331.98
varchar_queries_64,8,4,50.00,3416.11,50.00,841.53,2524.58,81.48,0.00,0.00,3366.11
varchar_queries_64,10,4,51.00,3426.99,51.00,844.00,2531.99,80.03,0.00,0.00,3375.99
varchar_queries_64,12,4,50.50,3468.54,50.50,854.51,2563.53,78.60,0.00,0.00,3418.04
varchar_queries_64,14,4,51.50,3375.45,51.50,830.99,2492.96,80.03,0.00,0.00,3323.95
varchar_queries_64,16,4,50.50,3408.52,50.50,839.51,2518.52,80.03,0.00,0.00,3358.02
varchar_queries_64,18,4,51.00,3452.87,51.00,850.47,2551.41,78.60,0.00,0.00,3401.87
