Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,2,4,0.00,3850.02,0.00,960.50,2889.51,0.00,0.00,0.00
int_queries_insert,4,4,0.00,3512.92,0.00,878.23,2634.69,0.00,0.00,0.00
int_queries_insert,6,4,0.00,3789.88,0.00,947.47,2842.41,0.00,0.00,0.00
int_queries_insert,8,4,0.00,3738.15,0.00,934.54,2803.61,0.00,0.00,0.00
int_queries_insert,10,4,0.00,4244.56,0.00,1061.14,3183.42,0.00,0.00,0.00
int_queries_insert,12,4,0.00,4133.33,0.00,1033.33,3099.99,0.00,0.00,0.00
int_queries_insert,14,4,0.00,3895.91,0.00,973.98,2921.93,0.00,0.00,0.00
int_queries_insert,16,4,0.00,3818.15,0.00,954.54,2863.62,0.00,0.00,0.00
int_queries_insert,18,4,0.00,3802.38,0.00,950.60,2851.79,0.00,0.00,0.00
int_queries_insert,20,4,0.00,3995.76,0.00,998.94,2996.82,0.00,0.00,0.00
int_queries_insert,22,4,0.00,3905.82,0.00,976.45,2929.36,0.00,0.00,0.00
int_queries_select,2,4,73.96,73.96,73.96,0.00,0.00,59.99,0.00,0.00
int_queries_select,4,4,77.52,77.52,77.52,0.00,0.00,56.84,0.00,0.00
int_queries_select,6,4,77.50,77.50,77.50,0.00,0.00,54.83,0.00,0.00
int_queries_select,8,4,77.00,77.00,77.00,0.00,0.00,54.83,0.00,0.00
int_queries_select,10,4,76.50,76.50,76.50,0.00,0.00,55.82,0.00,0.00
int_queries_select,12,4,77.50,77.50,77.50,0.00,0.00,53.85,0.00,0.00
int_queries_select,14,4,75.50,75.50,75.50,0.00,0.00,54.83,0.00,0.00
int_queries_select,16,4,77.50,77.50,77.50,0.00,0.00,56.84,0.00,0.00
int_queries_select,18,4,79.00,79.00,79.00,0.00,0.00,55.82,0.00,0.00
varchar_queries_1_insert,2,4,0.00,3594.23,0.00,896.56,2697.67,0.00,0.00,0.00
varchar_queries_1_insert,4,4,0.00,3412.77,0.00,853.19,2559.57,0.00,0.00,0.00
varchar_queries_1_insert,6,4,0.00,3386.07,0.00,846.52,2539.55,0.00,0.00,0.00
varchar_queries_1_insert,8,4,0.00,3425.96,0.00,856.49,2569.47,0.00,0.00,0.00
varchar_queries_1_insert,10,4,0.00,3402.02,0.00,850.50,2551.51,0.00,0.00,0.00
varchar_queries_1_insert,12,4,0.00,3448.00,0.00,862.00,2586.00,0.00,0.00,0.00
varchar_queries_1_insert,14,4,0.00,3464.03,0.00,866.01,2598.02,0.00,0.00,0.00
varchar_queries_1_insert,16,4,0.00,3379.87,0.00,844.97,2534.90,0.00,0.00,0.00
varchar_queries_1_insert,18,4,0.00,3459.97,0.00,864.99,2594.98,0.00,0.00,0.00
varchar_queries_1_insert,20,4,0.00,3464.11,0.00,866.03,2598.08,0.00,0.00,0.00
varchar_queries_1_insert,22,4,0.00,3410.06,0.00,852.52,2557.55,0.00,0.00,0.00
varchar_queries_1_insert,24,4,0.00,3425.91,0.00,856.48,2569.43,0.00,0.00,0.00
