Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,1,1,0.00,770.24,0.00,766.25,4.00,0.00,0.00,0.00
int_queries_insert,2,1,0.00,1004.50,0.00,1004.50,0.00,0.00,0.00,0.00
int_queries_insert,3,1,0.00,1063.03,0.00,1063.03,0.00,0.00,0.00,0.00
int_queries_insert,4,1,0.00,1223.99,0.00,1223.99,0.00,0.00,0.00,0.00
int_queries_insert,5,1,0.00,1042.00,0.00,1042.00,0.00,0.00,0.00,0.00
int_queries_insert,6,1,0.00,1089.96,0.00,1089.96,0.00,0.00,0.00,0.00
int_queries_insert,7,1,0.00,1153.05,0.00,1153.05,0.00,0.00,0.00,0.00
int_queries_insert,8,1,0.00,1182.92,0.00,1182.92,0.00,0.00,0.00,0.00
int_queries_insert,9,1,0.00,1170.06,0.00,1170.06,0.00,0.00,0.00,0.00
int_queries_insert,10,1,0.00,1100.98,0.00,1100.98,0.00,0.00,0.00,0.00
int_queries_insert,11,1,0.00,967.99,0.00,967.99,0.00,0.00,0.00,0.00
int_queries_insert,12,1,0.00,1061.05,0.00,1061.05,0.00,0.00,0.00,0.00
int_queries_insert,13,1,0.00,1068.98,0.00,1068.98,0.00,0.00,0.00,0.00
int_queries_insert,14,1,0.00,1136.97,0.00,1136.97,0.00,0.00,0.00,0.00
int_queries_insert,15,1,0.00,1200.05,0.00,1200.05,0.00,0.00,0.00,0.00
int_queries_insert,16,1,0.00,1194.01,0.00,1194.01,0.00,0.00,0.00,0.00
int_queries_insert,17,1,0.00,1052.99,0.00,1052.99,0.00,0.00,0.00,0.00
int_queries_insert,18,1,0.00,948.00,0.00,948.00,0.00,0.00,0.00,0.00
int_queries_insert,19,1,0.00,887.93,0.00,887.93,0.00,0.00,0.00,0.00
int_queries_insert,20,1,0.00,833.01,0.00,833.01,0.00,0.00,0.00,0.00
int_queries_select,1,1,65.95,65.95,65.95,0.00,0.00,15.55,0.00,0.00
int_queries_select,2,1,68.02,68.02,68.02,0.00,0.00,14.73,0.00,0.00
int_queries_select,3,1,68.01,68.01,68.01,0.00,0.00,14.73,0.00,0.00
int_queries_select,4,1,67.00,67.00,67.00,0.00,0.00,15.55,0.00,0.00
int_queries_select,5,1,67.00,67.00,67.00,0.00,0.00,15.00,0.00,0.00
int_queries_select,6,1,68.00,68.00,68.00,0.00,0.00,15.00,0.00,0.00
int_queries_select,7,1,68.00,68.00,68.00,0.00,0.00,15.00,0.00,0.00
int_queries_select,8,1,68.00,68.00,68.00,0.00,0.00,15.00,0.00,0.00
varchar_queries_1_insert,1,1,0.00,1186.79,0.00,1182.80,4.00,0.00,0.00,0.00
varchar_queries_1_insert,2,1,0.00,1141.64,0.00,1141.64,0.00,0.00,0.00,0.00
