Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
int_queries,1,1,64.94,1067.01,64.94,998.07,4.00,15.55,0.00,0.00,1002.07
int_queries,2,1,66.02,1155.56,66.02,1089.54,0.00,15.27,0.00,0.00,1089.54
int_queries,3,1,67.01,1059.01,67.01,992.00,0.00,15.27,0.00,0.00,992.00
int_queries,4,1,65.99,1050.99,65.99,985.00,0.00,15.27,0.00,0.00,985.00
int_queries,5,1,67.00,1078.96,67.00,1011.96,0.00,15.27,0.00,0.00,1011.96
int_queries,6,1,66.00,1044.02,66.00,978.02,0.00,15.55,0.00,0.00,978.02
int_queries,7,1,67.00,1117.03,67.00,1050.03,0.00,15.00,0.00,0.00,1050.03
int_queries,8,1,66.00,1106.00,66.00,1040.00,0.00,15.27,0.00,0.00,1040.00
varchar_queries_1,1,1,57.94,1171.96,57.94,1110.03,4.00,17.01,0.00,0.00,1114.02
varchar_queries_1,2,1,58.03,1192.46,58.03,1134.43,0.00,17.32,0.00,0.00,1134.43
varchar_queries_1,3,1,59.00,1180.96,59.00,1121.96,0.00,17.63,0.00,0.00,1121.96
varchar_queries_1,4,1,57.99,1113.02,57.99,1055.03,0.00,17.32,0.00,0.00,1055.03
varchar_queries_1,5,1,59.01,1108.07,59.01,1049.06,0.00,17.63,0.00,0.00,1049.06
varchar_queries_1,6,1,58.99,1170.93,58.99,1111.94,0.00,17.32,0.00,0.00,1111.94
varchar_queries_1,7,1,59.00,1122.98,59.00,1063.98,0.00,17.01,0.00,0.00,1063.98
varchar_queries_1,8,1,58.00,1138.06,58.00,1080.06,0.00,17.32,0.00,0.00,1080.06
varchar_queries_64,1,1,25.98,978.92,25.98,948.94,4.00,42.61,0.00,0.00,952.94
varchar_queries_64,2,1,26.01,983.61,26.01,957.60,0.00,38.94,0.00,0.00,957.60
varchar_queries_64,3,1,27.00,1024.99,27.00,997.99,0.00,41.10,0.00,0.00,997.99
varchar_queries_64,4,1,27.00,1017.04,27.00,990.04,0.00,41.85,0.00,0.00,990.04
varchar_queries_64,5,1,26.00,1028.96,26.00,1002.96,0.00,38.25,0.00,0.00,1002.96
varchar_queries_64,6,1,27.00,1029.03,27.00,1002.03,0.00,38.25,0.00,0.00,1002.03
varchar_queries_64,7,1,27.00,1005.00,27.00,978.00,0.00,38.25,0.00,0.00,978.00
varchar_queries_64,8,1,26.00,1035.95,26.00,1009.95,0.00,38.25,0.00,0.00,1009.95
