Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,1,1,0.00,707.37,0.00,703.37,4.00,0.00,0.00,0.00
int_queries_insert,2,1,0.00,751.29,0.00,751.29,0.00,0.00,0.00,0.00
int_queries_insert,3,1,0.00,895.02,0.00,895.02,0.00,0.00,0.00,0.00
int_queries_insert,4,1,0.00,677.00,0.00,677.00,0.00,0.00,0.00,0.00
int_queries_insert,5,1,0.00,634.01,0.00,634.01,0.00,0.00,0.00,0.00
int_queries_insert,6,1,0.00,606.98,0.00,606.98,0.00,0.00,0.00,0.00
int_queries_insert,7,1,0.00,668.00,0.00,668.00,0.00,0.00,0.00,0.00
int_queries_insert,8,1,0.00,689.02,0.00,689.02,0.00,0.00,0.00,0.00
int_queries_insert,9,1,0.00,684.00,0.00,684.00,0.00,0.00,0.00,0.00
int_queries_insert,10,1,0.00,660.00,0.00,660.00,0.00,0.00,0.00,0.00
int_queries_insert,11,1,0.00,616.00,0.00,616.00,0.00,0.00,0.00,0.00
int_queries_insert,12,1,0.00,675.99,0.00,675.99,0.00,0.00,0.00,0.00
int_queries_insert,13,1,0.00,792.01,0.00,792.01,0.00,0.00,0.00,0.00
int_queries_insert,14,1,0.00,817.96,0.00,817.96,0.00,0.00,0.00,0.00
int_queries_insert,15,1,0.00,826.03,0.00,826.03,0.00,0.00,0.00,0.00
int_queries_insert,16,1,0.00,772.99,0.00,772.99,0.00,0.00,0.00,0.00
int_queries_insert,17,1,0.00,759.95,0.00,759.95,0.00,0.00,0.00,0.00
int_queries_insert,18,1,0.00,746.02,0.00,746.02,0.00,0.00,0.00,0.00
int_queries_insert,19,1,0.00,694.00,0.00,694.00,0.00,0.00,0.00,0.00
int_queries_insert,20,1,0.00,645.01,0.00,645.01,0.00,0.00,0.00,0.00
int_queries_insert,21,1,0.00,647.01,0.00,647.01,0.00,0.00,0.00,0.00
int_queries_insert,22,1,0.00,683.99,0.00,683.99,0.00,0.00,0.00,0.00
int_queries_insert,23,1,0.00,586.97,0.00,586.97,0.00,0.00,0.00,0.00
int_queries_insert,24,1,0.00,580.04,0.00,580.04,0.00,0.00,0.00,0.00
int_queries_insert,25,1,0.00,685.98,0.00,685.98,0.00,0.00,0.00,0.00
int_queries_insert,26,1,0.00,714.00,0.00,714.00,0.00,0.00,0.00,0.00
int_queries_insert,27,1,0.00,716.00,0.00,716.00,0.00,0.00,0.00,0.00
int_queries_insert,28,1,0.00,692.01,0.00,692.01,0.00,0.00,0.00,0.00
int_queries_insert,29,1,0.00,646.89,0.00,646.89,0.00,0.00,0.00,0.00
int_queries_insert,30,1,0.00,568.09,0.00,568.09,0.00,0.00,0.00,0.00
int_queries_insert,31,1,0.00,652.01,0.00,652.01,0.00,0.00,0.00,0.00
int_queries_select,1,1,65.94,65.94,65.94,0.00,0.00,15.27,0.00,0.00
int_queries_select,2,1,67.02,67.02,67.02,0.00,0.00,15.27,0.00,0.00
int_queries_select,3,1,67.00,67.00,67.00,0.00,0.00,15.83,0.00,0.00
int_queries_select,4,1,67.00,67.00,67.00,0.00,0.00,15.00,0.00,0.00
int_queries_select,5,1,66.00,66.00,66.00,0.00,0.00,15.00,0.00,0.00
int_queries_select,6,1,67.00,67.00,67.00,0.00,0.00,15.27,0.00,0.00
int_queries_select,7,1,67.00,67.00,67.00,0.00,0.00,15.27,0.00,0.00
int_queries_select,8,1,67.00,67.00,67.00,0.00,0.00,15.00,0.00,0.00
varchar_queries_1_insert,1,1,0.00,799.30,0.00,795.30,4.00,0.00,0.00,0.00
varchar_queries_1_insert,2,1,0.00,767.34,0.00,767.34,0.00,0.00,0.00,0.00
varchar_queries_1_insert,3,1,0.00,638.97,0.00,638.97,0.00,0.00,0.00,0.00
varchar_queries_1_insert,4,1,0.00,687.00,0.00,687.00,0.00,0.00,0.00,0.00
varchar_queries_1_insert,5,1,0.00,685.99,0.00,685.99,0.00,0.00,0.00,0.00
varchar_queries_1_insert,6,1,0.00,750.04,0.00,750.04,0.00,0.00,0.00,0.00
varchar_queries_1_insert,7,1,0.00,656.99,0.00,656.99,0.00,0.00,0.00,0.00
varchar_queries_1_insert,8,1,0.00,707.01,0.00,707.01,0.00,0.00,0.00,0.00
varchar_queries_1_insert,9,1,0.00,757.99,0.00,757.99,0.00,0.00,0.00,0.00
varchar_queries_1_insert,10,1,0.00,790.00,0.00,790.00,0.00,0.00,0.00,0.00
varchar_queries_1_insert,11,1,0.00,737.00,0.00,737.00,0.00,0.00,0.00,0.00
varchar_queries_1_insert,12,1,0.00,643.02,0.00,643.02,0.00,0.00,0.00,0.00
varchar_queries_1_insert,13,1,0.00,559.98,0.00,559.98,0.00,0.00,0.00,0.00
varchar_queries_1_insert,14,1,0.00,598.02,0.00,598.02,0.00,0.00,0.00,0.00
varchar_queries_1_insert,15,1,0.00,623.97,0.00,623.97,0.00,0.00,0.00,0.00
varchar_queries_1_insert,16,1,0.00,579.02,0.00,579.02,0.00,0.00,0.00,0.00
varchar_queries_1_insert,17,1,0.00,634.99,0.00,634.99,0.00,0.00,0.00,0.00
varchar_queries_1_insert,18,1,0.00,569.01,0.00,569.01,0.00,0.00,0.00,0.00
varchar_queries_1_insert,19,1,0.00,619.99,0.00,619.99,0.00,0.00,0.00,0.00
varchar_queries_1_insert,20,1,0.00,592.03,0.00,592.03,0.00,0.00,0.00,0.00
varchar_queries_1_insert,21,1,0.00,600.97,0.00,600.97,0.00,0.00,0.00,0.00
varchar_queries_1_insert,22,1,0.00,624.01,0.00,624.01,0.00,0.00,0.00,0.00
varchar_queries_1_insert,23,1,0.00,706.95,0.00,706.95,0.00,0.00,0.00,0.00
varchar_queries_1_insert,24,1,0.00,694.06,0.00,694.06,0.00,0.00,0.00,0.00
varchar_queries_1_insert,25,1,0.00,649.99,0.00,649.99,0.00,0.00,0.00,0.00
varchar_queries_1_insert,26,1,0.00,595.00,0.00,595.00,0.00,0.00,0.00,0.00
varchar_queries_1_insert,27,1,0.00,622.01,0.00,622.01,0.00,0.00,0.00,0.00
varchar_queries_1_insert,28,1,0.00,691.00,0.00,691.00,0.00,0.00,0.00,0.00
varchar_queries_1_insert,29,1,0.00,634.97,0.00,634.97,0.00,0.00,0.00,0.00
varchar_queries_1_insert,30,1,0.00,639.01,0.00,639.01,0.00,0.00,0.00,0.00
varchar_queries_1_insert,31,1,0.00,656.98,0.00,656.98,0.00,0.00,0.00,0.00
varchar_queries_1_insert,32,1,0.00,719.00,0.00,719.00,0.00,0.00,0.00,0.00
varchar_queries_1_insert,33,1,0.00,758.02,0.00,758.02,0.00,0.00,0.00,0.00
varchar_queries_1_select,1,1,58.94,58.94,58.94,0.00,0.00,16.71,0.00,0.00
varchar_queries_1_select,2,1,60.03,60.03,60.03,0.00,0.00,17.01,0.00,0.00
varchar_queries_1_select,3,1,59.00,59.00,59.00,0.00,0.00,17.63,0.00,0.00
varchar_queries_1_select,4,1,61.00,61.00,61.00,0.00,0.00,16.71,0.00,0.00
varchar_queries_1_select,5,1,60.00,60.00,60.00,0.00,0.00,16.71,0.00,0.00
varchar_queries_1_select,6,1,60.00,60.00,60.00,0.00,0.00,16.71,0.00,0.00
varchar_queries_1_select,7,1,60.00,60.00,60.00,0.00,0.00,16.71,0.00,0.00
varchar_queries_1_select,8,1,60.00,60.00,60.00,0.00,0.00,16.71,0.00,0.00
varchar_queries_64_insert,1,1,0.00,709.37,0.00,705.37,4.00,0.00,0.00,0.00
varchar_queries_64_insert,2,1,0.00,677.32,0.00,677.32,0.00,0.00,0.00,0.00
varchar_queries_64_insert,3,1,0.00,606.00,0.00,606.00,0.00,0.00,0.00,0.00
varchar_queries_64_insert,4,1,0.00,634.98,0.00,634.98,0.00,0.00,0.00,0.00
varchar_queries_64_insert,5,1,0.00,1084.98,0.00,1084.98,0.00,0.00,0.00,0.00
varchar_queries_64_insert,6,1,0.00,1165.98,0.00,1165.98,0.00,0.00,0.00,0.00
varchar_queries_64_insert,7,1,0.00,1045.02,0.00,1045.02,0.00,0.00,0.00,0.00
varchar_queries_64_insert,8,1,0.00,1081.01,0.00,1081.01,0.00,0.00,0.00,0.00
varchar_queries_64_insert,9,1,0.00,956.01,0.00,956.01,0.00,0.00,0.00,0.00
varchar_queries_64_insert,10,1,0.00,778.98,0.00,778.98,0.00,0.00,0.00,0.00
varchar_queries_64_insert,11,1,0.00,717.00,0.00,717.00,0.00,0.00,0.00,0.00
varchar_queries_64_insert,12,1,0.00,729.02,0.00,729.02,0.00,0.00,0.00,0.00
varchar_queries_64_insert,13,1,0.00,697.99,0.00,697.99,0.00,0.00,0.00,0.00
varchar_queries_64_insert,14,1,0.00,683.01,0.00,683.01,0.00,0.00,0.00,0.00
varchar_queries_64_insert,15,1,0.00,630.00,0.00,630.00,0.00,0.00,0.00,0.00
varchar_queries_64_insert,16,1,0.00,798.01,0.00,798.01,0.00,0.00,0.00,0.00
varchar_queries_64_insert,17,1,0.00,881.00,0.00,881.00,0.00,0.00,0.00,0.00
varchar_queries_64_insert,18,1,0.00,774.00,0.00,774.00,0.00,0.00,0.00,0.00
varchar_queries_64_insert,19,1,0.00,759.02,0.00,759.02,0.00,0.00,0.00,0.00
varchar_queries_64_insert,20,1,0.00,635.96,0.00,635.96,0.00,0.00,0.00,0.00
varchar_queries_64_insert,21,1,0.00,763.04,0.00,763.04,0.00,0.00,0.00,0.00
varchar_queries_64_insert,22,1,0.00,752.01,0.00,752.01,0.00,0.00,0.00,0.00
varchar_queries_64_insert,23,1,0.00,735.97,0.00,735.97,0.00,0.00,0.00,0.00
varchar_queries_64_insert,24,1,0.00,956.99,0.00,956.99,0.00,0.00,0.00,0.00
varchar_queries_64_insert,25,1,0.00,1137.02,0.00,1137.02,0.00,0.00,0.00,0.00
varchar_queries_64_insert,26,1,0.00,1025.03,0.00,1025.03,0.00,0.00,0.00,0.00
varchar_queries_64_select,1,1,50.95,50.95,50.95,0.00,0.00,19.65,0.00,0.00
varchar_queries_64_select,2,1,51.03,51.03,51.03,0.00,0.00,20.00,0.00,0.00
varchar_queries_64_select,3,1,51.00,51.00,51.00,0.00,0.00,19.29,0.00,0.00
varchar_queries_64_select,4,1,52.00,52.00,52.00,0.00,0.00,19.65,0.00,0.00
varchar_queries_64_select,5,1,51.00,51.00,51.00,0.00,0.00,20.00,0.00,0.00
varchar_queries_64_select,6,1,51.00,51.00,51.00,0.00,0.00,19.65,0.00,0.00
varchar_queries_64_select,7,1,52.00,52.00,52.00,0.00,0.00,19.29,0.00,0.00
varchar_queries_64_select,8,1,51.00,51.00,51.00,0.00,0.00,19.65,0.00,0.00
