Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,2,4,0.00,3803.50,0.00,949.00,2854.50,0.00,0.00,0.00
int_queries_insert,4,4,0.00,3757.39,0.00,939.22,2818.17,0.00,0.00,0.00
int_queries_insert,6,4,0.00,2836.13,0.00,709.03,2127.10,0.00,0.00,0.00
int_queries_insert,8,4,0.00,2653.92,0.00,663.48,1990.44,0.00,0.00,0.00
int_queries_insert,10,4,0.00,2756.08,0.00,689.02,2067.06,0.00,0.00,0.00
int_queries_insert,12,4,0.00,2815.90,0.00,703.97,2111.92,0.00,0.00,0.00
int_queries_insert,14,4,0.00,2626.14,0.00,656.53,1969.60,0.00,0.00,0.00
int_queries_insert,16,4,0.00,2711.92,0.00,677.98,2033.94,0.00,0.00,0.00
int_queries_insert,18,4,0.00,2730.03,0.00,682.51,2047.52,0.00,0.00,0.00
int_queries_insert,20,4,0.00,2638.03,0.00,659.51,1978.53,0.00,0.00,0.00
int_queries_insert,22,4,0.00,2637.99,0.00,659.50,1978.49,0.00,0.00,0.00
int_queries_insert,24,4,0.00,2607.97,0.00,651.99,1955.98,0.00,0.00,0.00
int_queries_insert,26,4,0.00,2623.90,0.00,655.97,1967.92,0.00,0.00,0.00
int_queries_insert,28,4,0.00,2952.13,0.00,738.03,2214.09,0.00,0.00,0.00
int_queries_insert,30,4,0.00,3137.91,0.00,784.48,2353.43,0.00,0.00,0.00
int_queries_select,2,4,140.44,140.44,140.44,0.00,0.00,28.67,0.00,0.00
int_queries_select,4,4,143.02,143.02,143.02,0.00,0.00,28.67,0.00,0.00
int_queries_select,6,4,141.50,141.50,141.50,0.00,0.00,30.81,0.00,0.00
int_queries_select,8,4,142.50,142.50,142.50,0.00,0.00,28.67,0.00,0.00
int_queries_select,10,4,143.50,143.50,143.50,0.00,0.00,28.16,0.00,0.00
int_queries_select,12,4,143.50,143.50,143.50,0.00,0.00,28.16,0.00,0.00
int_queries_select,14,4,142.50,142.50,142.50,0.00,0.00,28.16,0.00,0.00
int_queries_select,16,4,144.00,144.00,144.00,0.00,0.00,28.16,0.00,0.00
int_queries_select,18,4,142.50,142.50,142.50,0.00,0.00,29.19,0.00,0.00
varchar_queries_1_insert,2,4,0.00,2644.75,0.00,659.19,1985.56,0.00,0.00,0.00
varchar_queries_1_insert,4,4,0.00,2496.60,0.00,624.15,1872.45,0.00,0.00,0.00
varchar_queries_1_insert,6,4,0.00,2746.03,0.00,686.51,2059.52,0.00,0.00,0.00
varchar_queries_1_insert,8,4,0.00,2965.93,0.00,741.48,2224.45,0.00,0.00,0.00
varchar_queries_1_insert,10,4,0.00,2983.84,0.00,745.96,2237.88,0.00,0.00,0.00
varchar_queries_1_insert,12,4,0.00,2894.11,0.00,723.53,2170.58,0.00,0.00,0.00
varchar_queries_1_insert,14,4,0.00,2918.11,0.00,729.53,2188.58,0.00,0.00,0.00
varchar_queries_1_insert,16,4,0.00,2997.98,0.00,749.49,2248.48,0.00,0.00,0.00
varchar_queries_1_insert,18,4,0.00,2955.42,0.00,738.98,2216.44,0.00,0.00,0.00
varchar_queries_1_insert,20,4,0.00,2703.90,0.00,675.47,2028.42,0.00,0.00,0.00
varchar_queries_1_insert,22,4,0.00,2968.60,0.00,742.53,2226.08,0.00,0.00,0.00
