Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
int_queries,2,4,141.44,3386.03,141.44,809.15,2435.44,28.67,0.00,0.00,3244.59
int_queries,4,4,142.52,3496.06,142.52,838.63,2514.90,28.67,0.00,0.00,3353.54
int_queries,6,4,144.00,3603.13,144.00,864.53,2594.60,28.16,0.00,0.00,3459.13
int_queries,8,4,143.00,3018.92,143.00,718.98,2156.94,28.16,0.00,0.00,2875.92
int_queries,10,4,144.00,3316.01,144.00,793.00,2379.01,28.16,0.00,0.00,3172.01
int_queries,12,4,144.00,2444.01,144.00,575.00,1725.00,28.16,0.00,0.00,2300.01
int_queries,14,4,144.00,3154.07,144.00,752.52,2257.55,28.16,0.00,0.00,3010.07
int_queries,16,4,142.50,2572.42,142.50,607.48,1822.44,28.67,0.00,0.00,2429.92
int_queries,18,4,143.50,2779.57,143.50,659.02,1977.05,28.16,0.00,0.00,2636.07
varchar_queries_1,2,4,122.44,3210.35,122.44,770.10,2317.81,33.12,0.00,0.00,3087.91
varchar_queries_1,4,4,125.52,3304.84,125.52,794.70,2384.61,32.53,0.00,0.00,3179.32
varchar_queries_1,6,4,124.50,3238.52,124.50,778.51,2335.52,32.53,0.00,0.00,3114.02
varchar_queries_1,8,4,125.00,2748.98,125.00,656.00,1967.99,32.53,0.00,0.00,2623.98
varchar_queries_1,10,4,124.50,2790.54,124.50,666.51,1999.53,32.53,0.00,0.00,2666.04
varchar_queries_1,12,4,125.50,2723.48,125.50,649.50,1948.49,32.53,0.00,0.00,2597.98
varchar_queries_1,14,4,125.50,2613.57,125.50,622.02,1866.05,32.53,0.00,0.00,2488.07
varchar_queries_1,16,4,125.00,2702.99,125.00,644.50,1933.49,32.53,0.00,0.00,2577.99
varchar_queries_1,18,4,125.00,2532.97,125.00,601.99,1805.97,32.53,0.00,0.00,2407.97
varchar_queries_64,2,4,100.45,2309.42,100.45,550.24,1658.73,51.02,0.00,0.00,2208.97
varchar_queries_64,4,4,102.02,2158.53,102.02,514.13,1542.38,44.17,0.00,0.00,2056.51
varchar_queries_64,6,4,105.00,3448.83,105.00,835.96,2507.87,38.94,0.00,0.00,3343.83
varchar_queries_64,8,4,103.50,3567.60,103.50,866.03,2598.08,40.37,0.00,0.00,3464.10
varchar_queries_64,10,4,104.50,2736.49,104.50,658.00,1973.99,38.25,0.00,0.00,2631.99
varchar_queries_64,12,4,105.50,2573.55,105.50,617.01,1851.04,38.94,0.00,0.00,2468.05
varchar_queries_64,14,4,105.00,2264.96,105.00,539.99,1619.97,38.94,0.00,0.00,2159.96
varchar_queries_64,16,4,104.00,2659.97,104.00,638.99,1916.97,38.94,0.00,0.00,2555.97
varchar_queries_64,18,4,105.00,2743.05,105.00,659.51,1978.54,39.65,0.00,0.00,2638.05
