Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
int_queries,2,4,141.44,3353.96,141.44,801.13,2411.39,28.16,0.00,0.00,3212.52
int_queries,4,4,143.02,3787.73,143.02,911.18,2733.53,28.67,0.00,0.00,3644.71
int_queries,6,4,143.50,3552.52,143.50,852.50,2556.51,28.67,0.00,0.00,3409.02
int_queries,8,4,143.50,3286.45,143.50,785.49,2357.46,28.16,0.00,0.00,3142.95
int_queries,10,4,143.50,3567.63,143.50,856.03,2568.09,28.16,0.00,0.00,3424.13
int_queries,12,4,143.50,3913.49,143.50,942.50,2827.49,28.67,0.00,0.00,3769.99
int_queries,14,4,143.00,3473.05,143.00,832.51,2497.54,28.16,0.00,0.00,3330.05
int_queries,16,4,143.50,3379.49,143.50,809.00,2426.99,28.67,0.00,0.00,3235.99
int_queries,18,4,144.50,3992.36,144.50,961.97,2885.90,28.16,0.00,0.00,3847.86
varchar_queries_1,2,4,68.97,3553.56,68.97,872.02,2612.57,59.99,0.50,0.00,3484.59
varchar_queries_1,4,4,70.52,3259.46,70.52,797.24,2391.71,59.99,0.00,0.00,3188.94
varchar_queries_1,6,4,70.00,3247.93,70.00,794.48,2383.44,61.08,0.00,0.00,3177.93
varchar_queries_1,8,4,94.50,3362.56,94.50,817.02,2451.05,56.84,0.00,0.00,3268.06
varchar_queries_1,10,4,124.50,3348.53,124.50,806.01,2418.02,32.53,0.00,0.00,3224.03
varchar_queries_1,12,4,125.00,3438.45,125.00,828.49,2484.96,32.53,0.00,0.00,3313.45
varchar_queries_1,14,4,124.50,3400.43,124.50,818.48,2457.45,32.53,0.00,0.00,3275.93
varchar_queries_1,16,4,124.50,3169.00,124.50,761.50,2283.00,32.53,0.00,0.00,3044.50
varchar_queries_1,18,4,124.00,3315.96,124.00,797.99,2393.97,32.53,0.00,0.00,3191.96
varchar_queries_64,2,4,102.95,3369.35,102.95,814.60,2451.80,41.10,0.00,0.00,3266.40
varchar_queries_64,4,4,104.02,3317.07,104.02,803.64,2409.41,40.37,0.00,0.00,3213.05
varchar_queries_64,6,4,104.50,3684.25,104.50,894.56,2685.19,38.94,0.00,0.00,3579.75
varchar_queries_64,8,4,106.00,3704.00,106.00,899.50,2698.50,38.94,0.00,0.00,3598.00
varchar_queries_64,10,4,103.50,3231.43,103.50,781.98,2345.94,39.65,0.00,0.00,3127.93
varchar_queries_64,12,4,105.00,3325.15,105.00,805.04,2415.11,38.25,0.00,0.00,3220.15
varchar_queries_64,14,4,104.00,3287.98,104.00,796.00,2387.99,41.10,0.00,0.00,3183.98
varchar_queries_64,16,4,104.50,3288.41,104.50,795.98,2387.93,38.25,0.00,0.00,3183.91
varchar_queries_64,18,4,105.50,3383.93,105.50,819.98,2458.45,38.25,0.00,0.00,3278.43
