Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
int_queries,2,4,138.94,4578.45,138.94,1107.88,3331.63,30.81,0.00,0.00,4439.51
int_queries,4,4,143.52,4610.89,143.52,1116.84,3350.53,28.67,0.00,0.00,4467.37
int_queries,6,4,143.00,4608.93,143.00,1116.48,3349.45,29.19,0.00,0.00,4465.93
int_queries,8,4,143.50,4742.53,143.50,1150.01,3449.03,28.16,0.00,0.00,4599.03
int_queries,10,4,142.50,4376.81,142.50,1058.33,3175.98,28.16,0.00,0.00,4234.31
int_queries,12,4,143.00,4579.71,143.00,1109.18,3327.53,28.16,0.00,0.00,4436.71
int_queries,14,4,144.00,4731.99,144.00,1147.00,3440.99,28.16,0.00,0.00,4587.99
int_queries,16,4,143.50,4713.69,143.50,1142.55,3427.64,28.16,0.00,0.00,4570.19
int_queries,18,4,144.00,4690.81,144.00,1136.95,3409.86,28.16,0.00,0.00,4546.81
varchar_queries_1,2,4,70.46,3724.60,70.46,911.54,2742.61,63.32,0.00,0.00,3654.14
varchar_queries_1,4,4,72.02,3783.12,72.02,927.77,2783.32,59.99,0.00,0.00,3711.10
varchar_queries_1,6,4,72.50,3814.25,72.50,935.44,2806.32,54.83,0.00,0.00,3741.75
varchar_queries_1,8,4,73.50,3905.14,73.50,958.04,2873.61,55.82,0.00,0.00,3831.64
varchar_queries_1,10,4,119.00,3775.51,119.00,914.00,2742.51,54.83,0.00,0.00,3656.51
varchar_queries_1,12,4,124.00,3882.00,124.00,939.50,2818.50,33.12,0.00,0.00,3758.00
varchar_queries_1,14,4,125.50,3808.99,125.50,921.00,2762.49,32.53,0.00,0.00,3683.49
varchar_queries_1,16,4,124.00,3716.54,124.00,898.01,2694.53,34.33,0.00,0.00,3592.54
varchar_queries_1,18,4,125.50,3699.44,125.50,893.48,2680.45,31.94,0.00,0.00,3573.94
varchar_queries_64,2,4,50.98,3779.08,50.98,930.03,2798.08,87.56,0.00,0.00,3728.10
varchar_queries_64,4,4,52.51,3636.91,52.51,896.22,2688.17,81.48,0.00,0.00,3584.40
varchar_queries_64,6,4,52.00,3690.43,52.00,909.48,2728.95,77.19,0.00,0.00,3638.43
varchar_queries_64,8,4,52.50,3718.48,52.50,916.50,2749.49,78.60,0.00,0.00,3665.98
varchar_queries_64,10,4,52.50,3692.67,52.50,910.04,2730.12,77.19,0.00,0.00,3640.17
varchar_queries_64,12,4,52.50,3660.41,52.50,901.98,2705.93,77.19,0.00,0.00,3607.91
varchar_queries_64,14,4,53.00,3703.83,53.00,912.96,2737.87,77.19,0.00,0.00,3650.83
varchar_queries_64,16,4,52.00,3743.18,52.00,922.55,2768.64,77.19,0.00,0.00,3691.18
varchar_queries_64,18,4,53.00,3718.96,53.00,916.49,2749.47,77.19,0.00,0.00,3665.96
