Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,2,4,0.00,4183.87,0.00,1043.97,3139.90,0.00,0.00,0.00
int_queries_insert,4,4,0.00,3918.31,0.00,979.20,2939.11,0.00,0.00,0.00
int_queries_insert,6,4,0.00,3914.48,0.00,978.99,2935.48,0.00,0.00,0.00
int_queries_insert,8,4,0.00,3720.05,0.00,930.01,2790.04,0.00,0.00,0.00
int_queries_insert,10,4,0.00,4152.00,0.00,1038.00,3114.00,0.00,0.00,0.00
int_queries_insert,12,4,0.00,4257.96,0.00,1064.49,3193.47,0.00,0.00,0.00
int_queries_insert,14,4,0.00,3822.03,0.00,955.51,2866.52,0.00,0.00,0.00
int_queries_insert,16,4,0.00,4050.04,0.00,1012.51,3037.53,0.00,0.00,0.00
int_queries_insert,18,4,0.00,3780.37,0.00,945.47,2834.90,0.00,0.00,0.00
int_queries_insert,20,4,0.00,3781.72,0.00,945.06,2836.67,0.00,0.00,0.00
int_queries_insert,22,4,0.00,3881.98,0.00,970.50,2911.49,0.00,0.00,0.00
int_queries_select,2,4,79.46,79.46,79.46,0.00,0.00,57.87,0.00,0.00
int_queries_select,4,4,81.02,81.02,81.02,0.00,0.00,52.89,0.00,0.00
int_queries_select,6,4,81.00,81.00,81.00,0.00,0.00,52.89,0.00,0.00
int_queries_select,8,4,81.50,81.50,81.50,0.00,0.00,52.89,0.00,0.00
int_queries_select,10,4,81.50,81.50,81.50,0.00,0.00,51.02,0.00,0.00
int_queries_select,12,4,82.00,82.00,82.00,0.00,0.00,51.02,0.00,0.00
int_queries_select,14,4,81.00,81.00,81.00,0.00,0.00,51.94,0.00,0.00
int_queries_select,16,4,82.00,82.00,82.00,0.00,0.00,50.11,0.00,0.00
int_queries_select,18,4,81.50,81.50,81.50,0.00,0.00,52.89,0.00,0.00
