Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_length_10,1,1,1604.82,5710.80,4549.68,980.26,180.86,14.43,0.00,0.00
with_index_length_10,2,1,1646.42,5837.50,4667.16,990.29,180.05,14.14,0.00,0.00
with_index_length_10,3,1,1578.03,5600.09,4476.09,952.00,172.00,14.73,0.00,0.00
with_index_length_10,4,1,1641.94,5827.84,4656.83,991.01,180.00,14.15,0.00,0.00
with_index_length_10,5,1,1619.87,5759.57,4589.62,989.96,179.99,14.68,0.00,0.00
with_index_length_10,6,1,1639.01,5868.01,4628.03,1047.99,192.00,12.80,0.00,0.00
with_index_length_10,7,1,1588.05,5658.16,4499.15,981.01,178.00,14.69,0.00,0.00
with_index_length_40,1,1,1490.91,5443.77,4400.80,992.02,50.95,47.38,0.00,0.00
with_index_length_40,2,1,1516.35,5506.52,4479.02,979.47,48.02,46.53,0.00,0.00
with_index_length_40,3,1,1521.08,5468.23,4495.24,928.99,44.00,51.76,0.00,0.00
with_index_length_40,4,1,1533.96,5578.89,4527.88,1001.01,50.00,46.53,0.00,0.00
with_index_length_40,5,1,1524.92,5566.76,4499.77,1017.99,49.00,44.91,0.00,0.00
with_index_length_40,6,1,1504.00,5511.02,4438.99,1023.03,49.00,49.09,0.00,0.00
with_index_length_40,7,1,1530.14,5493.38,4522.42,924.96,46.00,53.63,0.00,0.00
without_index_length_10,1,1,1664.60,5861.13,4736.00,950.26,174.86,14.62,0.00,0.00
without_index_length_10,2,1,1661.45,5923.63,4704.27,1031.30,188.06,13.70,0.00,0.00
without_index_length_10,3,1,1653.14,5799.43,4707.42,924.01,168.00,14.40,0.00,0.00
without_index_length_10,4,1,1671.98,5896.89,4750.93,969.97,175.99,14.91,0.00,0.00
without_index_length_10,5,1,1596.03,5673.15,4520.09,975.05,178.01,14.19,0.00,0.00
without_index_length_10,6,1,1639.98,5835.92,4647.93,1005.99,182.00,13.48,0.00,0.00
without_index_length_10,7,1,1635.98,5878.91,4616.95,1067.97,193.99,12.81,0.00,0.00
without_index_length_10,8,1,1665.00,5964.98,4703.99,1066.99,194.00,13.22,0.00,0.00
without_index_length_40,1,1,1440.99,5258.10,4255.03,954.12,48.95,48.22,0.00,0.00
without_index_length_40,2,1,1495.35,5438.49,4415.02,975.44,48.02,49.96,0.00,0.00
without_index_length_40,3,1,1498.89,5454.71,4422.67,984.04,48.00,48.20,0.00,0.00
without_index_length_40,4,1,1488.06,5438.11,4394.19,995.93,48.00,45.73,0.00,0.00
without_index_length_40,5,1,1489.07,5448.16,4394.21,1005.95,48.00,48.22,0.00,0.00
without_index_length_40,6,1,1491.00,5458.08,4399.01,1009.07,50.00,45.73,0.00,0.00
without_index_length_40,7,1,1491.97,5427.91,4403.92,975.99,48.00,46.54,0.00,0.00
