Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_length_10_insert,1,1,73.94,966.24,0.00,815.36,150.88,16.71,0.00,0.00
with_index_length_10_insert,2,1,84.03,1088.37,0.00,921.31,167.06,14.73,0.00,0.00
with_index_length_10_insert,3,1,84.00,1097.02,0.00,928.02,169.00,14.73,0.00,0.00
with_index_length_10_insert,4,1,83.99,1096.91,0.00,928.93,167.99,15.27,0.00,0.00
with_index_length_10_insert,5,1,90.00,1169.06,0.00,989.05,180.01,14.73,0.00,0.00
with_index_length_10_insert,6,1,83.00,1080.95,0.00,914.96,165.99,15.83,0.00,0.00
with_index_length_10_insert,7,1,97.00,1252.02,0.00,1058.02,194.00,11.65,0.00,0.00
with_index_length_10_insert,8,1,96.00,1248.99,0.00,1056.99,192.00,12.75,0.00,0.00
with_index_length_10_select,1,1,1492.92,4478.75,4478.75,0.00,0.00,0.75,0.00,0.00
with_index_length_10_select,2,1,1547.24,4642.73,4642.73,0.00,0.00,0.72,0.00,0.00
with_index_length_10_select,3,1,1541.12,4623.37,4623.37,0.00,0.00,0.72,0.00,0.00
with_index_length_10_select,4,1,1514.05,4542.16,4542.16,0.00,0.00,0.73,0.00,0.00
with_index_length_10_select,5,1,1416.83,4251.49,4251.49,0.00,0.00,0.80,0.00,0.00
with_index_length_10_select,6,1,1494.18,4481.55,4481.55,0.00,0.00,0.73,0.00,0.00
with_index_length_10_select,7,1,1540.84,4622.51,4622.51,0.00,0.00,0.73,0.00,0.00
with_index_length_10_select,8,1,1541.12,4623.37,4623.37,0.00,0.00,0.72,0.00,0.00
with_index_length_40_insert,1,1,20.98,905.11,0.00,860.15,44.96,62.19,0.00,0.00
with_index_length_40_insert,2,1,23.01,994.46,0.00,948.44,46.02,51.94,0.00,0.00
with_index_length_40_insert,3,1,24.00,1055.03,0.00,1007.03,48.00,47.47,0.00,0.00
with_index_length_40_insert,4,1,23.00,984.95,0.00,938.96,46.00,51.94,0.00,0.00
with_index_length_40_insert,5,1,22.00,921.03,0.00,878.03,43.00,51.02,0.00,0.00
with_index_length_40_insert,6,1,21.00,919.98,0.00,876.98,43.00,52.89,0.00,0.00
with_index_length_40_insert,7,1,23.00,978.96,0.00,932.97,46.00,53.85,0.00,0.00
with_index_length_40_insert,8,1,23.00,992.02,0.00,946.02,46.00,50.11,0.00,0.00
with_index_length_40_select,1,1,1449.72,4351.17,4351.17,0.00,0.00,0.77,0.00,0.00
with_index_length_40_select,2,1,1461.58,4383.75,4383.75,0.00,0.00,0.75,0.00,0.00
with_index_length_40_select,3,1,1459.91,4378.74,4378.74,0.00,0.00,0.75,0.00,0.00
with_index_length_40_select,4,1,1456.06,4369.17,4369.17,0.00,0.00,0.75,0.00,0.00
with_index_length_40_select,5,1,1429.04,4287.13,4287.13,0.00,0.00,0.77,0.00,0.00
with_index_length_40_select,6,1,1464.02,4393.05,4393.05,0.00,0.00,0.75,0.00,0.00
with_index_length_40_select,7,1,1446.01,4336.02,4336.02,0.00,0.00,0.77,0.00,0.00
with_index_length_40_select,8,1,1455.97,4367.90,4367.90,0.00,0.00,0.77,0.00,0.00
without_index_length_10_insert,1,1,85.93,1129.05,0.00,954.20,174.85,13.95,0.00,0.00
without_index_length_10_insert,2,1,85.03,1097.36,0.00,927.30,170.06,14.46,0.00,0.00
without_index_length_10_insert,3,1,83.00,1083.03,0.00,917.03,166.00,15.27,0.00,0.00
without_index_length_10_insert,4,1,82.00,1069.00,0.00,905.00,164.00,15.27,0.00,0.00
without_index_length_10_insert,5,1,88.00,1137.99,0.00,961.99,176.00,14.21,0.00,0.00
without_index_length_10_insert,6,1,83.00,1078.01,0.00,912.01,166.00,14.73,0.00,0.00
without_index_length_10_insert,7,1,87.00,1135.00,0.00,961.00,174.00,15.00,0.00,0.00
without_index_length_10_insert,8,1,83.00,1079.04,0.00,913.04,166.01,13.95,0.00,0.00
without_index_length_10_select,1,1,1530.92,4594.75,4594.75,0.00,0.00,0.72,0.00,0.00
without_index_length_10_select,2,1,1553.38,4660.13,4660.13,0.00,0.00,0.72,0.00,0.00
without_index_length_10_select,3,1,1580.02,4739.05,4739.05,0.00,0.00,0.70,0.00,0.00
without_index_length_10_select,4,1,1556.01,4667.03,4667.03,0.00,0.00,0.74,0.00,0.00
without_index_length_10_select,5,1,1545.97,4638.90,4638.90,0.00,0.00,0.73,0.00,0.00
without_index_length_10_select,6,1,1522.00,4566.01,4566.01,0.00,0.00,0.73,0.00,0.00
without_index_length_10_select,7,1,1571.89,4714.66,4714.66,0.00,0.00,0.72,0.00,0.00
without_index_length_40_insert,1,1,19.98,892.20,0.00,849.24,42.96,94.10,0.00,0.00
without_index_length_40_insert,2,1,23.01,966.41,0.00,920.39,46.02,49.21,0.00,0.00
without_index_length_40_insert,3,1,23.00,1000.03,0.00,954.02,46.00,47.47,0.00,0.00
without_index_length_40_insert,4,1,23.00,968.94,0.00,923.94,45.00,49.21,0.00,0.00
without_index_length_40_insert,5,1,24.00,1057.05,0.00,1008.05,49.00,44.17,0.00,0.00
without_index_length_40_insert,6,1,24.00,1024.05,0.00,976.04,48.00,48.34,0.00,0.00
without_index_length_40_insert,7,1,23.00,994.03,0.00,948.03,46.00,49.21,0.00,0.00
without_index_length_40_insert,8,1,22.00,926.93,0.00,882.93,44.00,55.82,0.00,0.00
without_index_length_40_select,1,1,1436.79,4310.37,4310.37,0.00,0.00,0.75,0.00,0.00
without_index_length_40_select,2,1,1452.50,4359.50,4359.50,0.00,0.00,0.77,0.00,0.00
without_index_length_40_select,3,1,1452.92,4358.76,4358.76,0.00,0.00,0.75,0.00,0.00
without_index_length_40_select,4,1,1467.08,4401.25,4401.25,0.00,0.00,0.75,0.00,0.00
without_index_length_40_select,5,1,1436.01,4308.02,4308.02,0.00,0.00,0.77,0.00,0.00
without_index_length_40_select,6,1,1467.99,4402.97,4402.97,0.00,0.00,0.75,0.00,0.00
without_index_length_40_select,7,1,1462.90,4388.71,4388.71,0.00,0.00,0.77,0.00,0.00
without_index_length_40_select,8,1,1468.08,4405.25,4405.25,0.00,0.00,0.75,0.00,0.00
