Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_length_10,3.00,4.00,3964.42,14541.44,11313.14,1116.31,2111.99,38.26,156.62,0.00
with_index_length_10,6.00,4.00,4009.81,14558.13,11456.34,1074.82,2026.96,37.58,149.02,0.00
with_index_length_10,9.00,4.00,4033.95,14802.51,11493.59,1105.53,2203.39,38.90,163.31,0.00
with_index_length_10,12.00,4.00,3993.03,14440.71,11447.71,1085.12,1907.88,43.19,149.35,0.00
with_index_length_10,15.00,4.00,4019.66,14576.35,11508.30,1072.02,1996.03,44.71,154.00,0.00
with_index_length_10,18.00,4.00,4011.34,14557.63,11473.03,1065.31,2019.29,37.58,145.00,0.00
with_index_length_10,21.00,4.00,4033.02,14824.13,11478.02,1134.37,2211.74,32.13,159.67,0.00
with_index_length_10,24.00,4.00,3980.30,14315.85,11413.54,1013.33,1888.99,44.76,138.67,0.00
with_index_length_10,27.00,4.00,4037.34,14806.68,11510.68,1157.67,2138.33,35.67,157.33,0.00
with_index_length_10,30.00,4.00,4076.35,15194.73,11575.06,1297.00,2322.67,35.04,173.67,0.00
with_index_length_10,33.00,4.00,4072.32,14926.92,11630.31,1162.65,2133.96,38.88,164.33,0.00
with_index_length_10,36.00,4.00,4077.36,14925.84,11632.08,1123.36,2170.39,38.21,158.34,0.00
with_index_length_10,39.00,4.00,4014.65,14552.28,11488.94,1089.00,1974.34,39.59,148.33,0.00
with_index_length_10,42.00,4.00,4013.99,14560.92,11494.01,1095.97,1970.95,42.42,150.33,0.00
with_index_length_10,45.00,4.00,4096.38,14897.82,11703.80,1113.01,2081.01,38.21,155.00,0.00
with_index_length_10,48.00,4.00,4003.35,14507.06,11448.71,1041.34,2017.01,41.74,148.00,0.00
with_index_length_10,51.00,4.00,4027.26,14688.40,11506.11,1124.98,2057.31,38.90,156.33,0.00
with_index_length_10,54.00,4.00,3983.69,14415.12,11409.05,1089.69,1916.38,43.98,147.67,0.00
with_index_length_10,57.00,4.00,3994.33,14438.22,11438.00,1064.63,1935.59,41.02,145.33,0.00
with_index_length_10,60.00,4.00,3978.68,14315.15,11411.03,1046.38,1857.74,46.32,140.67,0.00
with_index_length_40,3.00,4.00,3644.19,13655.10,10774.95,913.40,1966.75,118.24,68.31,0.00
with_index_length_40,6.00,4.00,3685.81,13694.00,10923.09,1056.09,1714.82,138.79,70.67,0.00
with_index_length_40,9.00,4.00,3737.31,14770.35,11016.27,1289.69,2464.39,104.39,91.67,0.00
with_index_length_40,12.00,4.00,3785.66,14577.62,11177.99,1230.65,2168.98,116.11,76.33,0.00
with_index_length_40,15.00,4.00,3712.67,13972.99,10985.99,1059.00,1928.00,138.77,76.00,0.00
with_index_length_40,18.00,4.00,3716.32,13792.40,11014.98,1065.37,1712.05,165.87,70.00,0.00
with_index_length_40,21.00,4.00,3695.35,14040.30,10923.40,1019.64,2097.27,129.23,72.00,0.00
with_index_length_40,24.00,4.00,3735.65,14479.59,11033.96,1218.65,2226.97,124.70,75.33,0.00
with_index_length_40,27.00,4.00,3737.31,14571.67,11026.28,1249.69,2295.71,110.07,85.00,0.00
with_index_length_40,30.00,4.00,3719.36,14097.45,11001.07,1144.02,1952.36,122.47,70.33,0.00
with_index_length_40,33.00,4.00,3721.99,14035.88,11006.98,1034.30,1994.60,122.50,74.00,0.00
with_index_length_40,36.00,4.00,3708.03,13983.10,10972.42,1121.34,1889.34,120.31,75.67,0.00
with_index_length_40,39.00,4.00,3739.64,14043.93,11061.26,987.33,1995.33,124.67,69.67,0.00
with_index_length_40,42.00,4.00,3704.99,13912.64,10959.62,990.67,1962.34,131.55,74.33,0.00
with_index_length_40,45.00,4.00,3692.34,13916.70,10924.33,1073.68,1918.69,141.27,74.33,0.00
with_index_length_40,48.00,4.00,3713.36,14076.67,10989.07,1107.31,1980.29,124.67,76.33,0.00
with_index_length_40,51.00,4.00,3709.64,14136.94,10969.59,1120.67,2046.68,129.23,79.67,0.00
with_index_length_40,54.00,4.00,3717.00,14023.95,11000.34,1173.98,1849.63,131.52,74.33,0.00
with_index_length_40,57.00,4.00,3638.02,14163.40,10731.71,1212.34,2219.35,120.42,73.33,0.00
with_index_length_40,60.00,4.00,3724.66,14263.97,10999.31,1155.33,2109.33,124.70,69.00,0.00
without_index_length_10,3.00,4.00,4081.74,14921.16,11657.04,1126.36,2137.76,39.59,158.62,0.00
without_index_length_10,6.00,4.00,4128.12,14830.65,11835.64,1057.12,1937.89,40.28,141.02,0.00
without_index_length_10,9.00,4.00,4153.33,14892.36,11913.67,988.68,1990.02,40.26,146.33,0.00
without_index_length_10,12.00,4.00,4168.34,14879.61,11983.34,1021.64,1874.62,43.17,145.00,0.00
without_index_length_10,15.00,4.00,4178.66,14978.28,11983.31,1040.65,1954.31,41.67,144.00,0.00
without_index_length_10,18.00,4.00,4166.34,14983.71,11932.69,1007.67,2043.35,35.04,145.00,0.00
without_index_length_10,21.00,4.00,4194.19,15599.57,11936.89,1380.00,2282.67,35.65,181.67,0.00
without_index_length_10,24.00,4.00,4192.80,15395.67,11973.07,1283.31,2139.29,39.55,161.66,0.00
without_index_length_10,27.00,4.00,4207.68,15436.76,12016.35,1276.69,2143.71,38.86,165.00,0.00
without_index_length_10,30.00,4.00,4172.66,15296.99,11914.96,1222.35,2159.69,40.97,166.00,0.00
without_index_length_10,33.00,4.00,4181.66,15166.65,11964.63,1126.01,2076.01,40.26,152.67,0.00
without_index_length_10,36.00,4.00,4198.98,15066.60,12051.96,1022.32,1992.31,42.37,152.67,0.00
without_index_length_10,39.00,4.00,4165.70,14943.09,11956.42,1038.67,1948.00,40.95,143.00,0.00
without_index_length_10,42.00,4.00,4194.68,15182.65,12006.37,1118.65,2057.63,38.19,155.33,0.00
without_index_length_10,45.00,4.00,4172.34,15075.34,11950.68,1056.00,2068.66,41.67,151.67,0.00
without_index_length_10,48.00,4.00,4179.33,14968.67,12012.63,1059.02,1897.03,43.91,147.67,0.00
without_index_length_10,51.00,4.00,4174.68,15074.04,11947.04,1031.33,2095.67,35.65,153.00,0.00
without_index_length_10,54.00,4.00,4194.32,15021.65,12053.63,1043.67,1924.35,44.69,146.33,0.00
without_index_length_10,57.00,4.00,4240.01,15401.38,12127.71,1141.00,2132.67,39.55,158.67,0.00
without_index_length_10,60.00,4.00,4149.04,14817.46,11932.10,1071.01,1814.35,45.49,143.00,0.00
without_index_length_40,3.00,4.00,3534.54,13636.48,10445.01,1111.92,2079.55,124.78,73.97,0.00
without_index_length_40,6.00,4.00,3598.07,13740.46,10627.18,1124.55,1988.73,122.58,73.35,0.00
without_index_length_40,9.00,4.00,3615.01,13822.59,10686.35,1140.30,1995.94,122.58,74.33,0.00
without_index_length_40,12.00,4.00,3609.67,13664.03,10665.66,1025.01,1973.36,120.42,73.00,0.00
without_index_length_40,15.00,4.00,3602.33,13644.05,10645.97,1031.70,1966.39,122.55,71.00,0.00
without_index_length_40,18.00,4.00,3601.00,13718.29,10640.67,1095.32,1982.31,116.19,76.00,0.00
without_index_length_40,21.00,4.00,3616.66,13926.71,10678.97,1096.03,2151.72,114.11,80.67,0.00
without_index_length_40,24.00,4.00,3664.34,14244.93,10823.38,1218.62,2202.92,122.55,83.33,0.00
without_index_length_40,27.00,4.00,3613.05,13878.82,10671.50,1155.66,2051.66,114.11,81.00,0.00
without_index_length_40,30.00,4.00,3595.03,13777.09,10618.76,1135.00,2023.33,122.55,75.00,0.00
without_index_length_40,33.00,4.00,3621.58,13841.57,10698.41,1047.72,2095.44,124.72,77.34,0.00
without_index_length_40,36.00,4.00,3622.75,13945.81,10695.57,1118.64,2131.61,118.24,80.66,0.00
without_index_length_40,39.00,4.00,3640.64,14187.20,10742.25,1170.32,2274.63,114.11,82.67,0.00
without_index_length_40,42.00,4.00,3634.65,13987.57,10738.61,1146.65,2102.31,120.34,78.67,0.00
without_index_length_40,45.00,4.00,3621.48,14072.46,10694.43,1209.01,2169.02,114.11,85.00,0.00
without_index_length_40,48.00,4.00,3587.60,13727.86,10603.79,1094.36,2029.71,126.96,77.34,0.00
without_index_length_40,51.00,4.00,3612.55,14040.88,10671.67,1263.95,2105.25,126.96,87.33,0.00
without_index_length_40,54.00,4.00,3615.69,13965.10,10690.08,1211.34,2063.68,118.22,80.33,0.00
without_index_length_40,57.00,4.00,3597.66,13972.70,10619.64,1185.02,2168.04,118.24,80.33,0.00
