Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_length_10,1.00,1.00,1614.51,5745.78,4573.78,989.16,182.84,14.94,0.00,0.00
with_index_length_10,2.00,1.00,1582.75,5693.58,4468.12,1037.39,188.07,13.04,0.00,0.00
with_index_length_10,3.00,1.00,1551.97,5573.93,4378.92,1011.01,184.00,13.72,0.00,0.00
with_index_length_10,4.00,1.00,1609.99,5776.03,4546.98,1041.04,188.01,13.03,0.00,0.00
with_index_length_10,5.00,1.00,1602.07,5737.15,4524.21,1024.95,187.99,13.26,0.00,0.00
with_index_length_10,6.00,1.00,1629.82,5848.45,4606.46,1051.99,190.00,12.81,0.00,0.00
with_index_length_10,7.00,1.00,1647.11,5909.37,4649.32,1066.04,194.01,12.60,0.00,0.00
with_index_length_40,1.00,1.00,1480.96,5263.03,4382.93,837.14,42.96,55.58,0.00,0.00
with_index_length_40,2.00,1.00,1490.39,5391.70,4403.13,942.54,46.03,49.09,0.00,0.00
with_index_length_40,3.00,1.00,1455.87,5258.60,4302.60,912.00,44.00,52.71,0.00,0.00
with_index_length_40,4.00,1.00,1487.09,5290.25,4398.26,849.99,42.00,56.57,0.00,0.00
with_index_length_40,5.00,1.00,1485.91,5277.73,4396.72,841.01,40.00,57.59,0.00,0.00
with_index_length_40,6.00,1.00,1471.11,5283.29,4346.33,892.96,44.00,55.60,0.00,0.00
with_index_length_40,7.00,1.00,1494.89,5397.71,4417.68,934.03,46.00,50.86,0.00,0.00
with_index_length_40,8.00,1.00,1493.13,5435.38,4405.38,982.00,48.00,47.38,0.00,0.00
without_index_length_10,1.00,1.00,1639.81,5791.73,4663.65,953.22,174.86,15.72,0.00,0.00
without_index_length_10,2.00,1.00,1631.29,5723.13,4643.79,913.28,166.05,17.13,0.00,0.00
without_index_length_10,3.00,1.00,1662.12,5928.40,4705.37,1035.02,188.00,13.94,0.00,0.00
without_index_length_10,4.00,1.00,1647.03,5809.07,4680.09,954.99,174.00,14.67,0.00,0.00
without_index_length_10,5.00,1.00,1660.96,5888.91,4708.88,998.03,182.00,14.18,0.00,0.00
without_index_length_10,6.00,1.00,1658.89,5820.70,4725.66,927.03,168.01,15.45,0.00,0.00
without_index_length_10,7.00,1.00,1639.14,5765.35,4657.44,937.93,169.99,15.73,0.00,0.00
without_index_length_40,1.00,1.00,1469.72,5269.31,4346.23,878.13,44.96,51.77,0.00,0.00
without_index_length_40,2.00,1.00,1487.57,5349.14,4398.69,906.43,44.02,49.96,0.00,0.00
without_index_length_40,3.00,1.00,1484.87,5305.61,4391.60,872.01,42.00,56.57,0.00,0.00
without_index_length_40,4.00,1.00,1480.10,5339.28,4369.28,924.00,46.00,59.72,0.00,0.00
without_index_length_40,5.00,1.00,1502.03,5648.08,4422.09,1170.00,56.00,41.10,0.00,0.00
without_index_length_40,6.00,1.00,1486.86,5457.50,4385.57,1021.93,50.00,58.62,0.00,0.00
without_index_length_40,7.00,1.00,1468.02,5500.14,4320.07,1124.07,56.00,42.62,0.00,0.00
without_index_length_40,8.00,1.00,1491.07,5552.25,4393.21,1105.04,54.00,40.40,0.00,0.00
