Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_length_10,1,1,1619.87,5771.94,4587.81,1000.27,183.87,14.72,0.00,0.00,1184.13
with_index_length_10,2,1,1651.07,5878.44,4677.15,1016.24,185.04,13.68,0.00,0.00,1201.29
with_index_length_10,3,1,1558.25,5490.73,4427.74,898.99,164.00,15.48,0.00,0.00,1062.99
with_index_length_10,4,1,1542.93,5509.77,4364.78,968.99,176.00,16.57,0.00,0.00,1144.99
with_index_length_10,5,1,1602.05,5723.11,4531.14,1008.97,183.00,14.20,0.00,0.00,1191.97
with_index_length_10,6,1,1622.10,5810.33,4585.26,1036.06,189.01,13.25,0.00,0.00,1225.07
with_index_length_10,7,1,1625.96,5818.83,4594.87,1035.96,187.99,13.70,0.00,0.00,1223.96
with_index_length_10,8,1,1593.99,5701.00,4504.97,1012.03,184.01,14.96,0.00,0.00,1196.03
with_index_length_40,1,1,1469.97,5403.04,4337.96,1014.13,50.96,46.56,0.00,0.00,1065.08
with_index_length_40,2,1,1509.21,5559.03,4451.60,1055.41,52.02,44.91,0.00,0.00,1107.43
with_index_length_40,3,1,1526.07,5638.20,4495.21,1088.99,54.00,41.10,0.00,0.00,1142.99
with_index_length_40,4,1,1486.07,5518.24,4382.21,1084.03,52.00,41.85,0.00,0.00,1136.03
with_index_length_40,5,1,1505.99,5500.97,4441.98,1008.99,50.00,48.21,0.00,0.00,1058.99
with_index_length_40,6,1,1487.10,5439.28,4390.29,1000.99,48.00,48.22,0.00,0.00,1048.99
with_index_length_40,7,1,1487.89,5488.68,4385.68,1051.00,52.00,42.60,0.00,0.00,1103.00
with_index_length_40,8,1,1516.00,5517.95,4474.99,994.96,48.00,45.73,0.00,0.00,1042.96
without_index_length_10,1,1,1654.79,5891.54,4688.62,1016.09,186.83,14.42,0.00,0.00,1202.92
without_index_length_10,2,1,1654.47,5927.81,4672.28,1062.45,193.08,13.71,0.00,0.00,1255.53
without_index_length_10,3,1,1682.96,6003.83,4763.88,1048.96,190.99,14.38,0.00,0.00,1239.95
without_index_length_10,4,1,1667.02,5957.11,4713.07,1052.04,192.01,13.22,0.00,0.00,1244.04
without_index_length_10,5,1,1663.99,5899.96,4721.96,998.00,180.00,15.72,0.00,0.00,1178.00
without_index_length_10,6,1,1663.93,5942.80,4707.80,1045.00,190.00,13.24,0.00,0.00,1235.00
without_index_length_10,7,1,1676.16,5933.52,4756.49,995.02,182.00,14.16,0.00,0.00,1177.03
without_index_length_10,8,1,1687.78,6029.33,4770.35,1064.98,194.00,13.45,0.00,0.00,1258.98
without_index_length_40,1,1,1500.91,5544.84,4424.78,1065.11,54.95,42.59,0.00,0.00,1120.06
without_index_length_40,2,1,1472.40,5493.63,4341.18,1100.43,52.02,41.14,0.00,0.00,1152.45
without_index_length_40,3,1,1485.90,5516.69,4374.70,1087.99,54.00,41.85,0.00,0.00,1141.99
without_index_length_40,4,1,1467.99,5437.96,4326.96,1059.00,52.00,42.62,0.00,0.00,1111.00
without_index_length_40,5,1,1474.14,5452.48,4343.43,1058.04,51.00,44.95,0.00,0.00,1109.05
without_index_length_40,6,1,1487.98,5514.87,4385.94,1075.93,53.00,42.60,0.00,0.00,1128.93
without_index_length_40,7,1,1457.88,5406.60,4297.63,1056.97,52.00,44.22,0.00,0.00,1108.97
without_index_length_40,8,1,1514.10,5601.34,4464.31,1085.03,52.00,41.84,0.00,0.00,1137.03
