Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_length_10_insert,1,1,90.93,1184.13,0.00,1000.27,183.87,13.95,0.00,0.00
with_index_length_10_insert,2,1,92.02,1201.29,0.00,1016.24,185.04,12.98,0.00,0.00
with_index_length_10_insert,3,1,82.00,1062.99,0.00,898.99,164.00,14.73,0.00,0.00
with_index_length_10_insert,4,1,88.00,1144.99,0.00,968.99,176.00,15.83,0.00,0.00
with_index_length_10_insert,5,1,92.00,1191.97,0.00,1008.97,183.00,13.46,0.00,0.00
with_index_length_10_insert,6,1,94.01,1225.07,0.00,1036.06,189.01,12.52,0.00,0.00
with_index_length_10_insert,7,1,94.00,1223.96,0.00,1035.96,187.99,12.98,0.00,0.00
with_index_length_10_insert,8,1,92.00,1196.03,0.00,1012.03,184.01,14.21,0.00,0.00
with_index_length_10_select,1,1,1528.94,4587.81,4587.81,0.00,0.00,0.77,0.00,0.00
with_index_length_10_select,2,1,1559.05,4677.15,4677.15,0.00,0.00,0.70,0.00,0.00
with_index_length_10_select,3,1,1476.25,4427.74,4427.74,0.00,0.00,0.75,0.00,0.00
with_index_length_10_select,4,1,1454.93,4364.78,4364.78,0.00,0.00,0.74,0.00,0.00
with_index_length_10_select,5,1,1510.05,4531.14,4531.14,0.00,0.00,0.74,0.00,0.00
with_index_length_10_select,6,1,1528.09,4585.26,4585.26,0.00,0.00,0.73,0.00,0.00
with_index_length_10_select,7,1,1531.96,4594.87,4594.87,0.00,0.00,0.72,0.00,0.00
with_index_length_10_select,8,1,1501.99,4504.97,4504.97,0.00,0.00,0.75,0.00,0.00
with_index_length_40_insert,1,1,23.98,1065.08,0.00,1014.13,50.96,45.79,0.00,0.00
with_index_length_40_insert,2,1,26.01,1107.43,0.00,1055.41,52.02,44.17,0.00,0.00
with_index_length_40_insert,3,1,27.00,1142.99,0.00,1088.99,54.00,40.37,0.00,0.00
with_index_length_40_insert,4,1,26.00,1136.03,0.00,1084.03,52.00,41.10,0.00,0.00
with_index_length_40_insert,5,1,25.00,1058.99,0.00,1008.99,50.00,47.47,0.00,0.00
with_index_length_40_insert,6,1,24.00,1048.99,0.00,1000.99,48.00,47.47,0.00,0.00
with_index_length_40_insert,7,1,26.00,1103.00,0.00,1051.00,52.00,41.85,0.00,0.00
with_index_length_40_insert,8,1,24.00,1042.96,0.00,994.96,48.00,44.98,0.00,0.00
with_index_length_40_select,1,1,1445.99,4337.96,4337.96,0.00,0.00,0.77,0.00,0.00
with_index_length_40_select,2,1,1483.20,4451.60,4451.60,0.00,0.00,0.74,0.00,0.00
with_index_length_40_select,3,1,1499.07,4495.21,4495.21,0.00,0.00,0.73,0.00,0.00
with_index_length_40_select,4,1,1460.07,4382.21,4382.21,0.00,0.00,0.75,0.00,0.00
with_index_length_40_select,5,1,1480.99,4441.98,4441.98,0.00,0.00,0.74,0.00,0.00
with_index_length_40_select,6,1,1463.10,4390.29,4390.29,0.00,0.00,0.75,0.00,0.00
with_index_length_40_select,7,1,1461.89,4385.68,4385.68,0.00,0.00,0.75,0.00,0.00
with_index_length_40_select,8,1,1492.00,4474.99,4474.99,0.00,0.00,0.75,0.00,0.00
without_index_length_10_insert,1,1,91.92,1202.92,0.00,1016.09,186.83,13.70,0.00,0.00
without_index_length_10_insert,2,1,97.04,1255.53,0.00,1062.45,193.08,12.98,0.00,0.00
without_index_length_10_insert,3,1,95.00,1239.95,0.00,1048.96,190.99,13.70,0.00,0.00
without_index_length_10_insert,4,1,96.00,1244.04,0.00,1052.04,192.01,12.52,0.00,0.00
without_index_length_10_insert,5,1,90.00,1178.00,0.00,998.00,180.00,15.00,0.00,0.00
without_index_length_10_insert,6,1,95.00,1235.00,0.00,1045.00,190.00,12.52,0.00,0.00
without_index_length_10_insert,7,1,91.00,1177.03,0.00,995.02,182.00,13.46,0.00,0.00
without_index_length_10_insert,8,1,97.00,1258.98,0.00,1064.98,194.00,12.75,0.00,0.00
without_index_length_10_select,1,1,1562.87,4688.62,4688.62,0.00,0.00,0.72,0.00,0.00
without_index_length_10_select,2,1,1557.43,4672.28,4672.28,0.00,0.00,0.73,0.00,0.00
without_index_length_10_select,3,1,1587.96,4763.88,4763.88,0.00,0.00,0.68,0.00,0.00
without_index_length_10_select,4,1,1571.02,4713.07,4713.07,0.00,0.00,0.70,0.00,0.00
without_index_length_10_select,5,1,1573.99,4721.96,4721.96,0.00,0.00,0.72,0.00,0.00
without_index_length_10_select,6,1,1568.93,4707.80,4707.80,0.00,0.00,0.72,0.00,0.00
without_index_length_10_select,7,1,1585.16,4756.49,4756.49,0.00,0.00,0.70,0.00,0.00
without_index_length_10_select,8,1,1590.78,4770.35,4770.35,0.00,0.00,0.70,0.00,0.00
without_index_length_40_insert,1,1,25.98,1120.06,0.00,1065.11,54.95,41.85,0.00,0.00
without_index_length_40_insert,2,1,26.01,1152.45,0.00,1100.43,52.02,40.37,0.00,0.00
without_index_length_40_insert,3,1,27.00,1141.99,0.00,1087.99,54.00,41.10,0.00,0.00
without_index_length_40_insert,4,1,26.00,1111.00,0.00,1059.00,52.00,41.85,0.00,0.00
without_index_length_40_insert,5,1,26.00,1109.05,0.00,1058.04,51.00,44.17,0.00,0.00
without_index_length_40_insert,6,1,26.00,1128.93,0.00,1075.93,53.00,41.85,0.00,0.00
without_index_length_40_insert,7,1,26.00,1108.97,0.00,1056.97,52.00,43.39,0.00,0.00
without_index_length_40_insert,8,1,26.00,1137.03,0.00,1085.03,52.00,41.10,0.00,0.00
without_index_length_40_select,1,1,1474.93,4424.78,4424.78,0.00,0.00,0.74,0.00,0.00
without_index_length_40_select,2,1,1446.39,4341.18,4341.18,0.00,0.00,0.77,0.00,0.00
without_index_length_40_select,3,1,1458.90,4374.70,4374.70,0.00,0.00,0.75,0.00,0.00
without_index_length_40_select,4,1,1441.99,4326.96,4326.96,0.00,0.00,0.77,0.00,0.00
without_index_length_40_select,5,1,1448.14,4343.43,4343.43,0.00,0.00,0.78,0.00,0.00
without_index_length_40_select,6,1,1461.98,4385.94,4385.94,0.00,0.00,0.75,0.00,0.00
without_index_length_40_select,7,1,1431.88,4297.63,4297.63,0.00,0.00,0.83,0.00,0.00
without_index_length_40_select,8,1,1488.10,4464.31,4464.31,0.00,0.00,0.74,0.00,0.00
