Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_length_10_insert,1,1,76.94,1007.16,0.00,850.29,156.87,15.27,0.00,0.00
with_index_length_10_insert,2,1,76.03,984.35,0.00,832.30,152.05,15.27,0.00,0.00
with_index_length_10_insert,3,1,80.00,1043.01,0.00,883.01,160.00,14.46,0.00,0.00
with_index_length_10_insert,4,1,83.00,1079.00,0.00,913.00,166.00,14.21,0.00,0.00
with_index_length_10_insert,5,1,79.00,1029.94,0.00,871.95,157.99,14.46,0.00,0.00
with_index_length_10_insert,6,1,84.00,1087.03,0.00,919.02,168.00,14.73,0.00,0.00
with_index_length_10_insert,7,1,83.00,1076.97,0.00,911.97,164.99,14.46,0.00,0.00
with_index_length_10_insert,8,1,92.00,1200.03,0.00,1015.02,185.00,12.75,0.00,0.00
with_index_length_10_select,1,1,1501.96,4507.88,4507.88,0.00,0.00,0.73,0.00,0.00
with_index_length_10_select,2,1,1576.34,4727.03,4727.03,0.00,0.00,0.70,0.00,0.00
with_index_length_10_select,3,1,1531.95,4596.86,4596.86,0.00,0.00,0.73,0.00,0.00
with_index_length_10_select,4,1,1540.06,4620.17,4620.17,0.00,0.00,0.72,0.00,0.00
with_index_length_10_select,5,1,1526.03,4579.10,4579.10,0.00,0.00,0.77,0.00,0.00
with_index_length_10_select,6,1,1506.89,4520.68,4520.68,0.00,0.00,0.74,0.00,0.00
with_index_length_10_select,7,1,1526.94,4579.81,4579.81,0.00,0.00,0.78,0.00,0.00
with_index_length_10_select,8,1,1510.02,4530.06,4530.06,0.00,0.00,0.73,0.00,0.00
with_index_length_40_insert,1,1,20.98,941.21,0.00,896.25,44.96,51.94,0.00,0.00
with_index_length_40_insert,2,1,23.01,952.36,0.00,907.34,45.02,49.21,0.00,0.00
with_index_length_40_insert,3,1,21.00,907.01,0.00,864.01,43.00,51.02,0.00,0.00
with_index_length_40_insert,4,1,21.00,932.98,0.00,890.98,42.00,50.11,0.00,0.00
with_index_length_40_insert,5,1,22.00,917.01,0.00,873.01,44.00,51.02,0.00,0.00
with_index_length_40_insert,6,1,21.00,936.01,0.00,894.01,42.00,51.02,0.00,0.00
with_index_length_40_insert,7,1,21.00,903.99,0.00,861.99,42.00,51.02,0.00,0.00
with_index_length_40_insert,8,1,21.00,887.94,0.00,845.94,42.00,53.85,0.00,0.00
with_index_length_40_select,1,1,1451.95,4355.85,4355.85,0.00,0.00,0.77,0.00,0.00
with_index_length_40_select,2,1,1475.35,4427.04,4427.04,0.00,0.00,0.75,0.00,0.00
with_index_length_40_select,3,1,1474.99,4424.98,4424.98,0.00,0.00,0.75,0.00,0.00
with_index_length_40_select,4,1,1464.90,4395.71,4395.71,0.00,0.00,0.75,0.00,0.00
with_index_length_40_select,5,1,1476.08,4428.24,4428.24,0.00,0.00,0.75,0.00,0.00
with_index_length_40_select,6,1,1461.88,4385.65,4385.65,0.00,0.00,0.77,0.00,0.00
with_index_length_40_select,7,1,1419.10,4255.31,4255.31,0.00,0.00,0.78,0.00,0.00
with_index_length_40_select,8,1,1493.90,4481.71,4481.71,0.00,0.00,0.73,0.00,0.00
without_index_length_10_insert,1,1,81.93,1067.09,0.00,901.23,165.86,16.12,0.00,0.00
without_index_length_10_insert,2,1,83.03,1079.41,0.00,913.35,166.06,13.95,0.00,0.00
without_index_length_10_insert,3,1,80.00,1043.06,0.00,882.05,161.01,15.00,0.00,0.00
without_index_length_10_insert,4,1,79.99,1041.93,0.00,881.94,159.99,15.27,0.00,0.00
without_index_length_10_insert,5,1,88.00,1142.01,0.00,966.01,176.00,15.27,0.00,0.00
without_index_length_10_insert,6,1,100.00,1300.97,0.00,1100.98,200.00,13.46,0.00,0.00
without_index_length_10_insert,7,1,97.00,1259.04,0.00,1065.03,194.01,12.30,0.00,0.00
without_index_length_10_insert,8,1,96.00,1248.05,0.00,1056.04,192.01,12.30,0.00,0.00
without_index_length_10_select,1,1,1577.81,4734.43,4734.43,0.00,0.00,0.68,0.00,0.00
without_index_length_10_select,2,1,1589.41,4769.22,4769.22,0.00,0.00,0.69,0.00,0.00
without_index_length_10_select,3,1,1578.89,4736.68,4736.68,0.00,0.00,0.70,0.00,0.00
without_index_length_10_select,4,1,1594.13,4781.39,4781.39,0.00,0.00,0.69,0.00,0.00
without_index_length_10_select,5,1,1574.02,4721.05,4721.05,0.00,0.00,0.72,0.00,0.00
without_index_length_10_select,6,1,1539.86,4621.59,4621.59,0.00,0.00,0.72,0.00,0.00
without_index_length_10_select,7,1,1579.00,4736.01,4736.01,0.00,0.00,0.72,0.00,0.00
without_index_length_10_select,8,1,1586.13,4758.38,4758.38,0.00,0.00,0.70,0.00,0.00
without_index_length_40_insert,1,1,21.98,982.12,0.00,935.16,46.96,49.21,0.00,0.00
without_index_length_40_insert,2,1,23.01,969.39,0.00,923.37,46.02,49.21,0.00,0.00
without_index_length_40_insert,3,1,22.00,934.98,0.00,890.98,44.00,50.11,0.00,0.00
without_index_length_40_insert,4,1,22.00,973.00,0.00,929.00,44.00,48.34,0.00,0.00
without_index_length_40_insert,5,1,22.00,953.02,0.00,909.02,44.00,51.02,0.00,0.00
without_index_length_40_insert,6,1,22.00,932.06,0.00,888.06,44.00,51.02,0.00,0.00
without_index_length_40_insert,7,1,22.00,925.94,0.00,881.94,44.00,51.02,0.00,0.00
without_index_length_40_insert,8,1,22.00,945.99,0.00,901.99,44.00,49.21,0.00,0.00
without_index_length_40_select,1,1,1463.79,4393.37,4393.37,0.00,0.00,0.74,0.00,0.00
without_index_length_40_select,2,1,1471.46,4414.37,4414.37,0.00,0.00,0.75,0.00,0.00
without_index_length_40_select,3,1,1451.96,4353.88,4353.88,0.00,0.00,0.77,0.00,0.00
without_index_length_40_select,4,1,1457.12,4372.37,4372.37,0.00,0.00,0.75,0.00,0.00
without_index_length_40_select,5,1,1441.88,4324.63,4324.63,0.00,0.00,0.77,0.00,0.00
without_index_length_40_select,6,1,1474.12,4422.35,4422.35,0.00,0.00,0.75,0.00,0.00
without_index_length_40_select,7,1,1477.98,4433.94,4433.94,0.00,0.00,0.73,0.00,0.00
without_index_length_40_select,8,1,1425.91,4279.73,4279.73,0.00,0.00,0.77,0.00,0.00
