Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_length_10,1,1,1550.93,5336.21,4449.98,747.35,138.88,21.85,0.00,0.00,886.23
with_index_length_10,2,1,1618.35,5580.30,4639.99,796.26,144.05,17.40,0.00,0.00,940.31
with_index_length_10,3,1,1566.01,5332.06,4509.04,697.01,126.00,22.63,0.00,0.00,823.02
with_index_length_10,4,1,1586.00,5403.99,4561.99,712.00,130.00,20.38,0.00,0.00,842.00
with_index_length_10,5,1,1549.00,5401.99,4423.00,828.99,150.00,18.72,0.00,0.00,978.99
with_index_length_10,6,1,1585.00,5424.01,4554.01,736.00,134.00,20.03,0.00,0.00,870.00
with_index_length_10,7,1,1581.89,5390.69,4549.67,711.02,130.00,21.10,0.00,0.00,841.02
with_index_length_10,8,1,1592.11,5409.34,4587.34,696.00,126.00,20.38,0.00,0.00,822.00
with_index_length_40,1,1,1486.64,5182.28,4410.96,734.36,36.97,61.83,0.00,0.00,771.32
with_index_length_40,2,1,1505.66,5264.26,4457.93,768.32,38.02,58.62,0.00,0.00,806.33
with_index_length_40,3,1,1494.04,5249.08,4425.12,785.96,38.00,56.56,0.00,0.00,823.96
with_index_length_40,4,1,1515.89,5321.73,4487.68,794.04,40.00,57.58,0.00,0.00,834.05
with_index_length_40,5,1,1503.09,5261.26,4453.27,770.99,37.00,58.62,0.00,0.00,807.99
with_index_length_40,6,1,1485.98,5204.95,4404.94,763.01,37.00,61.83,0.00,0.00,800.01
with_index_length_40,7,1,1520.02,5298.05,4501.07,758.98,38.00,67.58,0.00,0.00,796.98
with_index_length_40,8,1,1520.85,5276.58,4508.56,733.02,35.00,64.06,0.00,0.00,768.02
without_index_length_10,1,1,1621.68,5516.47,4675.19,710.39,130.89,20.01,0.00,0.00,841.28
without_index_length_10,2,1,1646.56,5598.92,4736.62,729.25,133.05,19.65,0.00,0.00,862.30
without_index_length_10,3,1,1618.87,5554.64,4650.61,765.03,139.00,19.01,0.00,0.00,904.03
without_index_length_10,4,1,1635.14,5560.44,4708.43,721.01,131.00,19.33,0.00,0.00,852.01
without_index_length_10,5,1,1593.87,5425.57,4588.61,707.97,128.99,20.73,0.00,0.00,836.96
without_index_length_10,6,1,1606.11,5466.33,4624.34,711.99,130.00,20.73,0.00,0.00,841.99
without_index_length_10,7,1,1638.90,5604.72,4708.70,758.01,138.00,18.98,0.00,0.00,896.02
without_index_length_10,8,1,1623.08,5577.24,4660.24,777.00,140.00,18.67,0.00,0.00,917.00
without_index_length_40,1,1,1431.93,5249.96,4226.86,974.15,48.96,53.69,0.00,0.00,1023.10
without_index_length_40,2,1,1444.26,5317.16,4257.74,1009.40,50.02,45.76,0.00,0.00,1059.42
without_index_length_40,3,1,1413.12,5144.42,4171.37,927.04,46.00,54.71,0.00,0.00,973.05
without_index_length_40,4,1,1415.90,5096.70,4183.69,871.01,42.00,58.73,0.00,0.00,913.01
without_index_length_40,5,1,1462.03,5184.08,4327.10,816.98,40.00,62.96,0.00,0.00,856.98
without_index_length_40,6,1,1467.96,5236.87,4340.88,853.99,42.00,60.77,0.00,0.00,895.99
without_index_length_40,7,1,1441.04,5035.13,4273.13,728.00,34.00,65.24,0.00,0.00,762.00
without_index_length_40,8,1,1464.07,5113.16,4337.21,739.95,36.00,67.59,0.00,0.00,775.95
