Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_length_10,1.00,1.00,1382.02,4680.63,3988.18,583.54,108.91,23.88,0.00,0.00
with_index_length_10,2.00,1.00,1386.19,4760.73,3978.50,662.20,120.04,22.30,0.00,0.00
with_index_length_10,3.00,1.00,1392.69,4821.05,3985.06,707.99,128.00,21.89,0.00,0.00
with_index_length_10,4.00,1.00,1403.43,4852.30,4018.28,706.01,128.00,19.39,0.00,0.00
with_index_length_10,5.00,1.00,1389.04,4791.15,3979.13,686.02,126.00,22.30,0.00,0.00
with_index_length_10,6.00,1.00,1380.85,4734.57,3965.56,651.01,118.00,21.55,0.00,0.00
with_index_length_10,7.00,1.00,1395.00,4819.01,3995.99,697.02,126.00,19.41,0.00,0.00
with_index_length_10,8.00,1.00,1394.02,4811.04,3993.07,691.98,126.00,20.07,0.00,0.00
with_index_length_40,1.00,1.00,1299.14,4438.86,3860.44,549.45,28.97,89.97,0.00,0.00
with_index_length_40,2.00,1.00,1296.25,4469.07,3841.73,598.32,29.02,75.29,0.00,0.00
with_index_length_40,3.00,1.00,1303.10,4555.29,3863.29,659.00,33.00,93.25,0.00,0.00
with_index_length_40,4.00,1.00,1307.96,4567.89,3875.87,660.02,32.00,73.94,0.00,0.00
with_index_length_40,5.00,1.00,1304.83,4416.51,3878.50,514.01,24.00,98.36,0.00,0.00
with_index_length_40,6.00,1.00,1306.00,4713.95,3857.00,816.95,40.00,73.96,0.00,0.00
with_index_length_40,7.00,1.00,1315.15,4894.44,3874.44,972.00,48.00,46.60,0.00,0.00
with_index_length_40,8.00,1.00,1316.88,4860.64,3880.65,933.99,46.00,53.70,0.00,0.00
without_index_length_10,1.00,1.00,1419.96,5000.21,4043.05,808.29,148.87,19.38,0.00,0.00
without_index_length_10,2.00,1.00,1418.27,4984.06,4033.73,804.28,146.05,19.06,0.00,0.00
without_index_length_10,3.00,1.00,1420.03,4914.06,4063.10,718.97,131.99,20.07,0.00,0.00
without_index_length_10,4.00,1.00,1399.00,4762.05,4030.00,620.04,112.01,29.99,0.00,0.00
without_index_length_10,5.00,1.00,1397.96,4832.91,4001.88,703.03,128.00,19.78,0.00,0.00
without_index_length_10,6.00,1.00,1416.93,4989.73,4026.83,814.91,147.98,17.81,0.00,0.00
without_index_length_10,7.00,1.00,1419.06,4954.22,4048.17,766.04,140.01,19.39,0.00,0.00
without_index_length_10,8.00,1.00,1416.04,4859.10,4065.13,671.98,122.00,21.15,0.00,0.00
without_index_length_40,1.00,1.00,1239.91,4370.11,3673.78,661.36,34.97,67.90,0.00,0.00
without_index_length_40,2.00,1.00,1256.56,4400.96,3719.64,650.31,31.01,74.00,0.00,0.00
without_index_length_40,3.00,1.00,1259.84,4444.47,3733.51,677.96,33.00,75.38,0.00,0.00
without_index_length_40,4.00,1.00,1286.02,4459.05,3811.06,617.99,30.00,83.79,0.00,0.00
without_index_length_40,5.00,1.00,1275.12,4458.35,3778.36,647.99,32.00,73.96,0.00,0.00
without_index_length_40,6.00,1.00,1270.91,4359.79,3770.73,561.05,28.00,100.17,0.00,0.00
without_index_length_40,7.00,1.00,1283.10,4539.30,3799.30,706.00,34.00,72.66,0.00,0.00
without_index_length_40,8.00,1.00,1284.01,4602.04,3794.03,770.01,38.00,64.15,0.00,0.00
