Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_length_10_insert,1,1,52.96,692.45,0.00,583.54,108.91,23.10,0.00,0.00
with_index_length_10_insert,2,1,60.02,782.23,0.00,662.20,120.04,21.50,0.00,0.00
with_index_length_10_insert,3,1,64.00,835.99,0.00,707.99,128.00,21.11,0.00,0.00
with_index_length_10_insert,4,1,64.00,834.02,0.00,706.01,128.00,18.61,0.00,0.00
with_index_length_10_insert,5,1,63.00,812.02,0.00,686.02,126.00,21.50,0.00,0.00
with_index_length_10_insert,6,1,59.00,769.01,0.00,651.01,118.00,20.74,0.00,0.00
with_index_length_10_insert,7,1,63.00,823.02,0.00,697.02,126.00,18.61,0.00,0.00
with_index_length_10_insert,8,1,63.00,817.97,0.00,691.98,126.00,19.29,0.00,0.00
with_index_length_10_select,1,1,1329.06,3988.18,3988.18,0.00,0.00,0.78,0.00,0.00
with_index_length_10_select,2,1,1326.17,3978.50,3978.50,0.00,0.00,0.80,0.00,0.00
with_index_length_10_select,3,1,1328.69,3985.06,3985.06,0.00,0.00,0.78,0.00,0.00
with_index_length_10_select,4,1,1339.43,4018.28,4018.28,0.00,0.00,0.78,0.00,0.00
with_index_length_10_select,5,1,1326.04,3979.13,3979.13,0.00,0.00,0.80,0.00,0.00
with_index_length_10_select,6,1,1321.85,3965.56,3965.56,0.00,0.00,0.81,0.00,0.00
with_index_length_10_select,7,1,1332.00,3995.99,3995.99,0.00,0.00,0.80,0.00,0.00
with_index_length_10_select,8,1,1331.02,3993.07,3993.07,0.00,0.00,0.78,0.00,0.00
with_index_length_40_insert,1,1,12.99,578.42,0.00,549.45,28.97,89.16,0.00,0.00
with_index_length_40_insert,2,1,15.01,627.34,0.00,598.32,29.02,74.46,0.00,0.00
with_index_length_40_insert,3,1,16.00,692.00,0.00,659.00,33.00,92.42,0.00,0.00
with_index_length_40_insert,4,1,16.00,692.02,0.00,660.02,32.00,73.13,0.00,0.00
with_index_length_40_insert,5,1,12.00,538.01,0.00,514.01,24.00,97.55,0.00,0.00
with_index_length_40_insert,6,1,20.00,856.95,0.00,816.95,40.00,73.13,0.00,0.00
with_index_length_40_insert,7,1,24.00,1020.00,0.00,972.00,48.00,45.79,0.00,0.00
with_index_length_40_insert,8,1,23.00,979.99,0.00,933.99,46.00,52.89,0.00,0.00
with_index_length_40_select,1,1,1286.15,3860.44,3860.44,0.00,0.00,0.81,0.00,0.00
with_index_length_40_select,2,1,1281.24,3841.73,3841.73,0.00,0.00,0.83,0.00,0.00
with_index_length_40_select,3,1,1287.10,3863.29,3863.29,0.00,0.00,0.83,0.00,0.00
with_index_length_40_select,4,1,1291.96,3875.87,3875.87,0.00,0.00,0.81,0.00,0.00
with_index_length_40_select,5,1,1292.83,3878.50,3878.50,0.00,0.00,0.81,0.00,0.00
with_index_length_40_select,6,1,1286.00,3857.00,3857.00,0.00,0.00,0.83,0.00,0.00
with_index_length_40_select,7,1,1291.15,3874.44,3874.44,0.00,0.00,0.81,0.00,0.00
with_index_length_40_select,8,1,1293.88,3880.65,3880.65,0.00,0.00,0.81,0.00,0.00
without_index_length_10_insert,1,1,72.94,957.16,0.00,808.29,148.87,18.61,0.00,0.00
without_index_length_10_insert,2,1,73.03,950.33,0.00,804.28,146.05,18.28,0.00,0.00
without_index_length_10_insert,3,1,66.00,850.96,0.00,718.97,131.99,19.29,0.00,0.00
without_index_length_10_insert,4,1,56.00,732.05,0.00,620.04,112.01,29.19,0.00,0.00
without_index_length_10_insert,5,1,64.00,831.03,0.00,703.03,128.00,18.95,0.00,0.00
without_index_length_10_insert,6,1,73.99,962.90,0.00,814.91,147.98,17.01,0.00,0.00
without_index_length_10_insert,7,1,70.00,906.05,0.00,766.04,140.01,18.61,0.00,0.00
without_index_length_10_insert,8,1,61.00,793.97,0.00,671.98,122.00,20.37,0.00,0.00
without_index_length_10_select,1,1,1347.02,4043.05,4043.05,0.00,0.00,0.77,0.00,0.00
without_index_length_10_select,2,1,1345.24,4033.73,4033.73,0.00,0.00,0.78,0.00,0.00
without_index_length_10_select,3,1,1354.03,4063.10,4063.10,0.00,0.00,0.78,0.00,0.00
without_index_length_10_select,4,1,1343.00,4030.00,4030.00,0.00,0.00,0.80,0.00,0.00
without_index_length_10_select,5,1,1333.96,4001.88,4001.88,0.00,0.00,0.83,0.00,0.00
without_index_length_10_select,6,1,1342.94,4026.83,4026.83,0.00,0.00,0.80,0.00,0.00
without_index_length_10_select,7,1,1349.06,4048.17,4048.17,0.00,0.00,0.78,0.00,0.00
without_index_length_10_select,8,1,1355.04,4065.13,4065.13,0.00,0.00,0.78,0.00,0.00
without_index_length_40_insert,1,1,15.98,696.33,0.00,661.36,34.97,66.84,0.00,0.00
without_index_length_40_insert,2,1,16.01,681.32,0.00,650.31,31.01,73.13,0.00,0.00
without_index_length_40_insert,3,1,16.00,710.96,0.00,677.96,33.00,74.46,0.00,0.00
without_index_length_40_insert,4,1,15.00,647.99,0.00,617.99,30.00,82.96,0.00,0.00
without_index_length_40_insert,5,1,16.00,679.99,0.00,647.99,32.00,73.13,0.00,0.00
without_index_length_40_insert,6,1,14.00,589.06,0.00,561.05,28.00,99.33,0.00,0.00
without_index_length_40_insert,7,1,17.00,740.00,0.00,706.00,34.00,71.83,0.00,0.00
without_index_length_40_insert,8,1,19.00,808.01,0.00,770.01,38.00,63.32,0.00,0.00
without_index_length_40_select,1,1,1223.93,3673.78,3673.78,0.00,0.00,1.06,0.00,0.00
without_index_length_40_select,2,1,1240.55,3719.64,3719.64,0.00,0.00,0.87,0.00,0.00
without_index_length_40_select,3,1,1243.84,3733.51,3733.51,0.00,0.00,0.92,0.00,0.00
without_index_length_40_select,4,1,1271.02,3811.06,3811.06,0.00,0.00,0.83,0.00,0.00
without_index_length_40_select,5,1,1259.12,3778.36,3778.36,0.00,0.00,0.83,0.00,0.00
without_index_length_40_select,6,1,1256.91,3770.73,3770.73,0.00,0.00,0.84,0.00,0.00
without_index_length_40_select,7,1,1266.10,3799.30,3799.30,0.00,0.00,0.83,0.00,0.00
without_index_length_40_select,8,1,1265.01,3794.03,3794.03,0.00,0.00,0.83,0.00,0.00
