Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_10,2,4,4058.29,14219.70,11675.55,905.20,1638.95,45.47,124.96,0.00,2544.15
with_index_10,4,4,4047.58,14313.32,11609.20,955.04,1749.08,39.59,136.01,0.00,2704.12
with_index_10,6,4,4117.00,15020.17,11695.47,1182.07,2142.63,37.56,160.01,0.00,3324.70
with_index_10,8,4,4095.99,14784.35,11744.99,1301.94,1737.42,46.28,164.49,0.00,3039.36
with_index_10,10,4,4154.73,14992.28,11862.16,1180.05,1950.08,38.86,156.51,0.00,3130.12
with_index_10,12,4,4126.75,14732.71,11823.74,1120.99,1787.98,44.69,138.50,0.00,2908.97
with_index_10,14,4,4142.54,14950.67,11829.12,1162.52,1959.03,40.24,159.50,0.00,3121.55
with_index_10,16,4,4147.99,15155.34,11804.51,1213.94,2136.89,39.55,173.99,0.00,3350.83
with_index_10,18,4,4139.50,14966.44,11818.49,1159.48,1988.47,42.37,155.50,0.00,3147.95
with_index_50,2,4,3660.38,14311.49,10841.70,1247.39,2222.41,162.90,67.97,0.00,3469.79
with_index_50,4,4,3667.59,13693.98,10870.73,982.76,1840.49,149.03,56.51,0.00,2823.25
with_index_50,6,4,3666.00,13458.85,10879.01,781.45,1798.39,108.17,60.00,0.00,2579.84
with_index_50,8,4,3688.03,13398.64,10940.60,732.01,1726.03,129.20,43.00,0.00,2458.04
with_index_50,10,4,3685.48,13334.94,10942.44,860.00,1532.50,149.03,41.50,0.00,2392.50
with_index_50,12,4,3745.49,13720.04,11116.48,905.52,1698.04,151.68,50.00,0.00,2603.56
with_index_50,14,4,3705.50,14354.91,10973.00,1320.46,2061.44,143.78,67.50,0.00,3381.91
with_index_50,16,4,3697.50,14237.92,10956.49,1121.98,2159.45,146.36,67.50,0.00,3281.43
with_index_50,18,4,3648.39,14132.67,10802.18,1110.50,2219.99,133.96,71.00,0.00,3330.49
without_index_10,2,4,4191.21,15006.16,12015.83,1130.56,1859.77,41.62,155.44,0.00,2990.33
without_index_10,4,4,4219.64,15160.82,12064.82,1153.68,1942.31,39.50,157.03,0.00,3096.00
without_index_10,6,4,4185.97,14956.86,12004.45,1156.47,1795.95,50.51,150.50,0.00,2952.41
without_index_10,8,4,4257.51,15393.49,12135.03,1165.48,2092.97,37.49,162.50,0.00,3258.46
without_index_10,10,4,4201.52,14985.01,12049.05,1109.49,1826.48,43.91,153.50,0.00,2935.96
without_index_10,12,4,4207.04,14865.28,12077.59,1021.57,1766.12,41.64,142.01,0.00,2787.69
without_index_10,14,4,4222.94,14768.70,12165.85,966.44,1636.40,42.37,129.99,0.00,2602.85
without_index_10,16,4,4230.55,15079.23,12123.63,1092.54,1863.06,42.35,151.51,0.00,2955.60
without_index_10,18,4,4252.46,15330.46,12141.86,1173.04,2015.57,38.83,160.01,0.00,3188.60
without_index_50,2,4,3499.87,13266.58,10375.16,1137.38,1754.04,178.17,48.47,0.00,2891.42
without_index_50,4,4,3496.06,13359.50,10332.14,911.76,2115.60,124.78,55.52,0.00,3027.36
without_index_50,6,4,3454.51,13233.05,10218.02,940.01,2075.02,127.04,52.00,0.00,3015.03
without_index_50,8,4,3526.03,13538.57,10426.58,1018.50,2093.50,141.32,55.50,0.00,3111.99
without_index_50,10,4,3526.97,13303.92,10430.42,874.50,1999.00,116.19,52.50,0.00,2873.50
without_index_50,12,4,3526.50,13028.46,10461.00,916.48,1650.97,165.92,50.00,0.00,2567.46
without_index_50,14,4,3527.02,13200.09,10447.57,871.01,1881.51,120.39,52.00,0.00,2752.52
without_index_50,16,4,3534.49,13128.00,10479.48,912.01,1736.51,136.37,47.50,0.00,2648.52
without_index_50,18,4,3558.09,13362.66,10533.78,943.46,1885.42,116.16,54.00,0.00,2828.88
