Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_10_insert,2,4,166.94,2544.15,0.00,905.20,1638.95,44.17,124.96,0.00
with_index_10_insert,4,4,178.01,2704.12,0.00,955.04,1749.08,38.25,136.01,0.00
with_index_10_insert,6,4,219.01,3324.70,0.00,1182.07,2142.63,36.24,160.01,0.00
with_index_10_insert,8,4,180.49,3039.36,0.00,1301.94,1737.42,44.98,164.49,0.00
with_index_10_insert,10,4,200.51,3130.12,0.00,1180.05,1950.08,37.56,156.51,0.00
with_index_10_insert,12,4,185.50,2908.97,0.00,1120.99,1787.98,43.39,138.50,0.00
with_index_10_insert,14,4,200.00,3121.55,0.00,1162.52,1959.03,38.94,159.50,0.00
with_index_10_insert,16,4,212.99,3350.83,0.00,1213.94,2136.89,38.25,173.99,0.00
with_index_10_insert,18,4,200.00,3147.95,0.00,1159.48,1988.47,41.10,155.50,0.00
with_index_10_select,2,4,3891.35,11675.55,11675.55,0.00,0.00,1.30,0.00,0.00
with_index_10_select,4,4,3869.57,11609.20,11609.20,0.00,0.00,1.34,0.00,0.00
with_index_10_select,6,4,3897.99,11695.47,11695.47,0.00,0.00,1.32,0.00,0.00
with_index_10_select,8,4,3915.50,11744.99,11744.99,0.00,0.00,1.30,0.00,0.00
with_index_10_select,10,4,3954.22,11862.16,11862.16,0.00,0.00,1.30,0.00,0.00
with_index_10_select,12,4,3941.25,11823.74,11823.74,0.00,0.00,1.30,0.00,0.00
with_index_10_select,14,4,3942.54,11829.12,11829.12,0.00,0.00,1.30,0.00,0.00
with_index_10_select,16,4,3935.00,11804.51,11804.51,0.00,0.00,1.30,0.00,0.00
with_index_10_select,18,4,3939.50,11818.49,11818.49,0.00,0.00,1.27,0.00,0.00
with_index_50_insert,2,4,47.48,3469.79,0.00,1247.39,2222.41,161.51,67.97,0.00
with_index_50_insert,4,4,43.51,2823.25,0.00,982.76,1840.49,147.61,56.51,0.00
with_index_50_insert,6,4,40.00,2579.84,0.00,781.45,1798.39,106.75,60.00,0.00
with_index_50_insert,8,4,41.00,2458.04,0.00,732.01,1726.03,127.81,43.00,0.00
with_index_50_insert,10,4,38.00,2392.50,0.00,860.00,1532.50,147.61,41.50,0.00
with_index_50_insert,12,4,40.00,2603.56,0.00,905.52,1698.04,150.29,50.00,0.00
with_index_50_insert,14,4,47.50,3381.91,0.00,1320.46,2061.44,142.39,67.50,0.00
with_index_50_insert,16,4,45.50,3281.43,0.00,1121.98,2159.45,144.97,67.50,0.00
with_index_50_insert,18,4,47.50,3330.49,0.00,1110.50,2219.99,132.49,71.00,0.00
with_index_50_select,2,4,3612.90,10841.70,10841.70,0.00,0.00,1.39,0.00,0.00
with_index_50_select,4,4,3624.08,10870.73,10870.73,0.00,0.00,1.42,0.00,0.00
with_index_50_select,6,4,3626.00,10879.01,10879.01,0.00,0.00,1.42,0.00,0.00
with_index_50_select,8,4,3647.03,10940.60,10940.60,0.00,0.00,1.39,0.00,0.00
with_index_50_select,10,4,3647.48,10942.44,10942.44,0.00,0.00,1.42,0.00,0.00
with_index_50_select,12,4,3705.49,11116.48,11116.48,0.00,0.00,1.39,0.00,0.00
with_index_50_select,14,4,3658.00,10973.00,10973.00,0.00,0.00,1.39,0.00,0.00
with_index_50_select,16,4,3652.00,10956.49,10956.49,0.00,0.00,1.39,0.00,0.00
with_index_50_select,18,4,3600.89,10802.18,10802.18,0.00,0.00,1.47,0.00,0.00
without_index_10_insert,2,4,186.43,2990.33,0.00,1130.56,1859.77,40.37,155.44,0.00
without_index_10_insert,4,4,198.03,3096.00,0.00,1153.68,1942.31,38.25,157.03,0.00
without_index_10_insert,6,4,184.49,2952.41,0.00,1156.47,1795.95,49.21,150.50,0.00
without_index_10_insert,8,4,213.00,3258.46,0.00,1165.48,2092.97,36.24,162.50,0.00
without_index_10_insert,10,4,184.50,2935.96,0.00,1109.49,1826.48,42.61,153.50,0.00
without_index_10_insert,12,4,181.51,2787.69,0.00,1021.57,1766.12,40.37,142.01,0.00
without_index_10_insert,14,4,167.99,2602.85,0.00,966.44,1636.40,41.10,129.99,0.00
without_index_10_insert,16,4,189.51,2955.60,0.00,1092.54,1863.06,41.10,151.51,0.00
without_index_10_insert,18,4,205.01,3188.60,0.00,1173.04,2015.57,37.56,160.01,0.00
without_index_10_select,2,4,4004.78,12015.83,12015.83,0.00,0.00,1.25,0.00,0.00
without_index_10_select,4,4,4021.61,12064.82,12064.82,0.00,0.00,1.25,0.00,0.00
without_index_10_select,6,4,4001.48,12004.45,12004.45,0.00,0.00,1.30,0.00,0.00
without_index_10_select,8,4,4044.51,12135.03,12135.03,0.00,0.00,1.25,0.00,0.00
without_index_10_select,10,4,4017.02,12049.05,12049.05,0.00,0.00,1.30,0.00,0.00
without_index_10_select,12,4,4025.53,12077.59,12077.59,0.00,0.00,1.27,0.00,0.00
without_index_10_select,14,4,4054.95,12165.85,12165.85,0.00,0.00,1.27,0.00,0.00
without_index_10_select,16,4,4041.04,12123.63,12123.63,0.00,0.00,1.25,0.00,0.00
without_index_10_select,18,4,4047.45,12141.86,12141.86,0.00,0.00,1.27,0.00,0.00
without_index_50_insert,2,4,41.98,2891.42,0.00,1137.38,1754.04,176.73,48.47,0.00
without_index_50_insert,4,4,52.51,3027.36,0.00,911.76,2115.60,123.28,55.52,0.00
without_index_50_insert,6,4,48.00,3015.03,0.00,940.01,2075.02,125.52,52.00,0.00
without_index_50_insert,8,4,51.00,3111.99,0.00,1018.50,2093.50,139.85,55.50,0.00
without_index_50_insert,10,4,49.50,2873.50,0.00,874.50,1999.00,114.72,52.50,0.00
without_index_50_insert,12,4,39.50,2567.46,0.00,916.48,1650.97,164.45,50.00,0.00
without_index_50_insert,14,4,45.00,2752.52,0.00,871.01,1881.51,118.92,52.00,0.00
without_index_50_insert,16,4,41.50,2648.52,0.00,912.01,1736.51,134.90,47.50,0.00
without_index_50_insert,18,4,46.50,2828.88,0.00,943.46,1885.42,114.72,54.00,0.00
without_index_50_select,2,4,3457.89,10375.16,10375.16,0.00,0.00,1.44,0.00,0.00
without_index_50_select,4,4,3443.55,10332.14,10332.14,0.00,0.00,1.50,0.00,0.00
without_index_50_select,6,4,3406.51,10218.02,10218.02,0.00,0.00,1.52,0.00,0.00
without_index_50_select,8,4,3475.03,10426.58,10426.58,0.00,0.00,1.47,0.00,0.00
without_index_50_select,10,4,3477.47,10430.42,10430.42,0.00,0.00,1.47,0.00,0.00
without_index_50_select,12,4,3487.00,10461.00,10461.00,0.00,0.00,1.47,0.00,0.00
without_index_50_select,14,4,3482.02,10447.57,10447.57,0.00,0.00,1.47,0.00,0.00
without_index_50_select,16,4,3492.99,10479.48,10479.48,0.00,0.00,1.47,0.00,0.00
without_index_50_select,18,4,3511.59,10533.78,10533.78,0.00,0.00,1.44,0.00,0.00
